,Ticker,P/L,No.of trades,Return (%),Win %,Avg_win_value,Avg_loss_value
0,RELIANCE.NS,3568.35,51,3.57,35.71,66353.0,-17038.61
1,ACHC,7714.06,51,7.71,51.85,101649.21,-50129.46
2,ADBE,434.76,72,0.43,43.59,44525.0,-32429.5
3,AMD,-10830.97,52,-10.83,14.29,161273.25,-72007.92
4,AMTX,-3599.26,64,-3.6,44.12,101463.47,-99046.21
5,GOOG,4830.69,46,4.83,52.0,65342.23,-30531.67
6,AMZN,-406.36,42,-0.41,30.43,47663.86,-23392.69
7,AAL,14828.07,61,14.83,37.5,218446.17,-56927.35
8,AEP,-2990.62,58,-2.99,21.88,33772.29,-21418.72
9,AMGN,-965.18,54,-0.97,41.38,31320.42,-27786.06
10,AAPL,3083.0,55,3.08,51.72,51542.87,-33203.07
11,ARCB,2026.38,52,2.03,34.48,107483.4,-45905.05
12,BIDU,642.17,47,0.64,45.83,49353.18,-36820.62
13,OZK,-4824.54,50,-4.82,27.59,33394.12,-35695.57
14,BECN,-2871.18,53,-2.87,35.71,40150.6,-38256.89
15,AVGO,5843.7,65,5.84,40.54,98152.67,-40360.0
16,CZR,-9254.04,57,-9.25,20.0,75274.0,-57377.0
17,CASY,362.49,31,0.36,31.25,73334.8,-30038.64
18,CPRX,774.19,69,0.77,44.44,74049.69,-55368.8
19,CAKE,-1831.18,39,-1.83,33.33,132575.57,-79367.64
20,CAAS,-3331.05,12,-3.33,28.57,195803.0,-144942.2
21,CHNR,2010.64,8,2.01,40.0,323642.0,-148740.0
22,CSCO,-119.57,57,-0.12,40.0,40177.92,-27449.56
23,CTSH,-227.33,84,-0.23,35.56,42988.62,-24501.76
24,CMCSA,-2496.87,54,-2.5,32.26,45020.7,-33328.29
25,COST,-321.32,35,-0.32,42.11,32351.75,-26449.64
26,DLTR,1490.94,52,1.49,42.86,53249.25,-30618.56
27,DBX,-2493.15,55,-2.49,27.59,66356.0,-37150.62
28,ETSY,-2244.24,52,-2.24,35.71,72254.2,-52609.22
