,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,181.41,180.99,551.0,long,-231.42,-0.23142,99768.58,,-231.42
2,180.78,181.12,551.0,long,187.34,0.1877745478586545,99955.92,sl,187.34
3,180.46,181.16,551.0,short,385.7,0.3858700915363492,100341.62,sl,385.7
4,182.6,181.69,549.0,long,-499.59,-0.4978891112182562,99842.03,sl,-499.59
5,181.48,180.98,550.0,long,-275.0,-0.275435104835108,99567.03,sl,-275.0
6,180.42,181.04,551.0,long,341.62,0.343105544074178,99908.65,sl,341.62
7,178.23,176.0,560.0,long,-1248.8,-1.249941821854264,98659.84999999999,sl,-1248.8
8,174.95,173.94,563.0,long,-568.63,-0.5763540082414478,98091.21999999999,sl,-568.63
9,170.5,170.1,575.0,long,-230.0,-0.2344756238122026,97861.21999999999,sl,-230.0
10,169.75,170.13,575.0,short,218.5,0.2232753689357235,98079.71999999999,sl,218.5
11,169.17,169.77,579.0,long,347.4,0.3542016637078491,98427.11999999998,sl,347.4
12,172.36,171.29,574.0,short,-614.18,-0.6239946876429993,97812.93999999999,sl,-614.18
13,172.73,173.33,564.0,short,338.4,0.3459664948216463,98151.33999999998,sl,338.4
14,173.04,172.68,568.0,short,-204.48,-0.20833133811520047,97946.85999999999,sl,-204.48
15,171.47,171.6,570.0,short,74.1,0.07565326749627299,98020.95999999999,sl,74.1
16,173.04,173.6,564.0,short,315.84,0.3222167993457726,98336.79999999999,sl,315.84
17,175.27,176.78,556.0,short,839.56,0.8537597318603006,99176.35999999999,sl,839.56
18,174.08,175.32,565.0,short,700.6,0.7064183440489247,99876.95999999999,sl,700.6
19,175.27,174.9,571.0,short,-211.27,-0.2115302668403204,99665.68999999999,sl,-211.27
20,176.4,176.2,565.0,short,-113.0,-0.11337903746013298,99552.68999999999,sl,-113.0
21,176.27,175.9,565.0,short,-209.05,-0.20998930315192893,99343.63999999998,sl,-209.05
22,176.69,176.66,562.0,short,-16.86,-0.01697139343796946,99326.77999999998,sl,-16.86
23,177.0,177.97,558.0,short,541.26,0.5449285681062047,99868.03999999998,sl,541.26
24,171.3,170.18,583.0,long,-652.96,-0.6538227845464878,99215.07999999997,sl,-652.96
25,172.67,172.11,576.0,short,-322.56,-0.32511186807489356,98892.51999999997,sl,-322.56
26,172.91,172.74,572.0,short,-97.24,-0.0983289737181336,98795.27999999997,sl,-97.24
27,171.16,171.07,577.0,short,-51.93,-0.05256323986328093,98743.34999999998,sl,-51.93
28,170.59,170.45,579.0,short,-81.06,-0.08209160414346892,98662.28999999998,sl,-81.06
29,172.35,172.44,572.0,short,51.48,0.05217799019260551,98713.76999999997,sl,51.48
30,171.17,173.29,569.0,short,1206.28,1.2219977010299579,99920.04999999997,sl,1206.28
31,170.13,168.71,587.0,long,-833.54,-0.8342069484552902,99086.50999999998,sl,-833.54
32,168.85,168.74,586.0,long,-64.46,-0.06505426419802252,99022.04999999997,sl,-64.46
33,170.21,170.29,581.0,short,46.48,0.04693904034505447,99068.52999999997,sl,46.48
34,170.12,169.04,582.0,long,-628.56,-0.6344698967472316,98439.96999999997,sl,-628.56
35,168.65,168.49,583.0,long,-93.28,-0.09475825724042788,98346.68999999997,sl,-93.28
36,169.2,169.95,578.0,short,433.5,0.4407875852252883,98780.18999999997,sl,433.5
37,168.84,169.11,584.0,short,157.68,0.1596271479129571,98937.86999999997,sl,157.68
38,175.2,174.24,564.0,long,-541.44,-0.5472525333322824,98396.42999999996,sl,-541.44
39,169.25,169.35,581.0,long,58.1,0.059046857695955045,98454.52999999997,sl,58.1
40,168.2,167.7,585.0,long,-292.5,-0.29709145937723747,98162.02999999997,sl,-292.5
41,165.63,167.17,587.0,short,903.98,0.9209059755589817,99066.00999999997,sl,903.98
42,164.72,164.88,601.0,long,96.16,0.09706659226509681,99162.16999999997,sl,96.16
43,168.38,167.54,591.0,short,-496.44,-0.500634465744346,98665.72999999997,sl,-496.44
44,168.79,169.02,583.0,short,134.09,0.1359033171902747,98799.81999999996,sl,134.09
45,168.68,169.1,584.0,short,245.28,0.24825956160648885,99045.09999999996,sl,245.28
46,169.97,169.93,582.0,short,-23.28,-0.02350444393513663,99021.81999999996,sl,-23.28
47,169.76,170.84,579.0,short,625.32,0.6314971791065851,99647.13999999997,sl,625.32
48,174.36,174.32,571.0,long,-22.84,-0.022920878612271267,99624.29999999997,sl,-22.84
49,173.16,173.76,575.0,long,345.0,0.34630105305633274,99969.29999999997,sl,345.0
50,173.4,173.2,576.0,long,-115.2,-0.1152353772608191,99854.09999999998,sl,-115.2
51,171.42,170.88,584.0,short,-315.36,-0.31582078252169926,99538.73999999998,sl,-315.36
52,171.96,172.49,577.0,short,305.81,0.30722711579431294,99844.54999999997,sl,305.81
53,184.32,185.19,541.0,long,470.67,0.4714027956458316,100315.21999999997,sl,470.67
54,181.89,182.07,551.0,long,99.18,0.0988683471959689,100414.39999999997,sl,99.18
55,182.9,182.9,549.0,short,0.0,0.0,100414.39999999997,sl,0.0
56,183.76,183.49,547.0,short,-147.69,-0.14708049841457008,100266.70999999996,sl,-147.69
57,184.49,184.54,543.0,short,27.15,0.027077780850693126,100293.85999999996,sl,27.15
58,190.01,189.37,529.0,short,-338.56,-0.337568022608762,99955.29999999996,sl,-338.56
59,190.5,190.38,525.0,short,-63.0,-0.06302817359359636,99892.29999999996,sl,-63.0
60,189.74,189.91,525.0,short,89.25,0.08934622588527848,99981.54999999996,sl,89.25
