,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,79.85,80.65,1239.0,short,991.2,0.9912000000000001,100991.2,,991.2
2,79.91,79.66,1267.0,short,-316.75,-0.3136411885391994,100674.45,sl,-316.75
3,80.19,79.85,1260.0,short,-428.4,-0.4255300128284783,100246.05,sl,-428.4
4,76.71,78.52,1276.0,short,2309.56,2.3038912755165915,102555.61,sl,2309.56
5,78.67,77.15,1329.0,short,-2020.08,-1.96974109948739,100535.53,sl,-2020.08
6,79.19,78.36,1282.0,short,-1064.06,-1.05839199335797,99471.47,sl,-1064.06
7,78.27,78.93,1260.0,short,831.6,0.8360186091549667,100303.07,sl,831.6
8,77.68,77.34,1296.0,short,-440.64,-0.43930858746397294,99862.43000000001,sl,-440.64
9,78.23,77.84,1282.0,short,-499.98,-0.500668770026926,99362.45000000001,sl,-499.98
10,78.29,78.25,1269.0,short,-50.76,-0.05108569686033304,99311.69000000002,sl,-50.76
11,78.35,78.32,1268.0,short,-38.04,-0.03830364783843673,99273.65000000002,sl,-38.04
12,78.65,78.35,1267.0,short,-380.1,-0.382881056554282,98893.55000000002,sl,-380.1
13,78.46,78.47,1260.0,short,12.6,0.012740972490116896,98906.15000000002,sl,12.6
14,77.07,77.04,1283.0,short,-38.49,-0.03891567915645285,98867.66000000002,sl,-38.49
15,76.39,76.86,1286.0,short,604.42,0.6113424753857832,99472.08000000002,sl,604.42
16,76.02,76.17,1305.0,short,195.75,0.19678888789698576,99667.83000000002,sl,195.75
17,75.81,75.91,1312.0,short,131.2,0.1316372594848307,99799.03000000001,sl,131.2
18,75.82,75.85,1315.0,short,39.45,0.039529442320230965,99838.48000000001,sl,39.45
19,75.96,75.81,1316.0,short,-197.4,-0.1977193563043027,99641.08000000002,sl,-197.4
20,75.71,75.98,1311.0,short,353.97,0.3552450455173709,99995.05000000002,sl,353.97
21,76.16,75.66,1321.0,short,-660.5,-0.6605326963684701,99334.55000000002,sl,-660.5
22,76.39,76.27,1302.0,short,-156.24,-0.15728666410629533,99178.31000000001,sl,-156.24
23,76.23,76.28,1300.0,short,65.0,0.06553852349369534,99243.31000000001,sl,65.0
24,76.44,76.23,1301.0,short,-273.21,-0.27529311547549146,98970.1,sl,-273.21
25,76.47,76.44,1294.0,short,-38.82,-0.039223967642752704,98931.28,sl,-38.82
26,76.42,76.45,1294.0,short,38.82,0.039239358876181525,98970.1,sl,38.82
27,76.35,76.47,1294.0,short,155.28,0.15689587057101081,99125.38,sl,155.28
28,76.21,76.21,0.0,long,0.0,0.0,99125.38,sl,0.0
29,76.21,76.44,1300.0,long,299.0,0.3016381879191787,99424.38,sl,299.0
30,76.42,76.61,1301.0,long,247.19,0.24862111284978594,99671.57,sl,247.19
31,76.25,76.42,1307.0,long,222.19,0.22292214319489498,99893.76000000001,sl,222.19
32,75.32,75.82,1317.0,short,658.5,0.659200334435304,100552.26000000001,sl,658.5
33,75.54,75.37,1334.0,short,-226.78,-0.22553446337257857,100325.48000000001,sl,-226.78
34,75.21,75.5,1328.0,short,385.12,0.38387057804258695,100710.6,sl,385.12
35,75.69,75.22,1338.0,short,-628.86,-0.624422851219236,100081.74,sl,-628.86
36,75.6,75.68,1322.0,short,105.76,0.10567362238106573,100187.5,sl,105.76
37,75.74,75.61,1325.0,short,-172.25,-0.17192763568309422,100015.25,sl,-172.25
38,75.93,76.26,1311.0,short,432.63,0.43256403398481735,100447.88,sl,432.63
39,76.08,76.04,1320.0,short,-52.8,-0.05256457378692313,100395.08,sl,-52.8
40,76.42,76.23,1317.0,short,-250.23,-0.24924528174089805,100144.85,sl,-250.23
41,73.2,73.5,1362.0,short,408.6,0.40800899896499915,100553.45000000001,sl,408.6
42,72.87,73.23,1373.0,short,494.28,0.49155946414568563,101047.73000000001,sl,494.28
