,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,85.54,86.05,1162.0,short,592.62,0.59262,100592.62,,592.62
2,86.04,85.71,1173.0,short,-387.09,-0.38480954169401294,100205.53,sl,-387.09
3,83.94,83.1,1193.0,long,-1002.12,-1.000064567294839,99203.41,sl,-1002.12
4,83.19,83.28,1192.0,long,107.28,0.10814144392818753,99310.69,sl,107.28
5,84.8,84.54,1174.0,short,-305.24,-0.3073586539374563,99005.45,sl,-305.24
6,85.64,85.46,1158.0,short,-208.44,-0.21053386454988085,98797.01,sl,-208.44
7,85.65,85.68,1153.0,short,34.59,0.03501118100638876,98831.59999999999,sl,34.59
8,84.32,84.98,1172.0,long,773.52,0.7826646538151766,99605.12,sl,773.52
9,84.81,84.87,1174.0,long,70.44,0.07071925619887813,99675.56,sl,70.44
10,84.3,83.68,1182.0,long,-732.84,-0.7352253651747731,98942.72,sl,-732.84
11,83.29,83.08,1187.0,long,-249.27,-0.2519336440316175,98693.45,sl,-249.27
12,80.78,81.5,1210.0,short,871.2,0.882733352618639,99564.65,sl,871.2
13,79.43,79.41,1253.0,long,-25.06,-0.025169575748019004,99539.59,sl,-25.06
14,77.0,78.69,1292.0,long,2183.48,2.1935794591880478,101723.06999999999,sl,2183.48
15,77.28,78.19,1316.0,long,1197.56,1.1772747322706638,102920.62999999999,sl,1197.56
16,77.59,77.87,1321.0,short,369.88,0.35938373093907416,103290.51,sl,369.88
17,78.66,78.58,1314.0,short,-105.12,-0.10177120821651478,103185.39,sl,-105.12
18,77.39,76.71,1333.0,long,-906.44,-0.8784576963851182,102278.95,sl,-906.44
19,75.8,75.53,1349.0,long,-364.23,-0.35611433242128515,101914.72,sl,-364.23
20,76.47,76.35,1334.0,short,-160.08,-0.1570725014011715,101754.64,sl,-160.08
21,76.3,76.26,1333.0,long,-53.32,-0.05240055883446691,101701.31999999999,sl,-53.32
22,77.53,78.09,1302.0,short,729.12,0.7169228481990204,102430.43999999999,sl,729.12
23,78.75,78.47,1305.0,short,-365.4,-0.3567298939651143,102065.04,sl,-365.4
24,75.74,75.78,1346.0,short,53.84,0.05275067741118801,102118.87999999999,sl,53.84
25,76.07,75.65,1349.0,short,-566.58,-0.554823946365256,101552.29999999999,sl,-566.58
26,75.8,75.67,1342.0,short,-174.46,-0.17179325332858048,101377.83999999998,sl,-174.46
27,75.22,75.51,1347.0,long,390.63,0.3853208945860358,101768.46999999999,sl,390.63
28,75.03,74.76,1356.0,long,-366.12,-0.3597577913866643,101402.34999999999,sl,-366.12
29,75.62,75.88,1336.0,short,347.36,0.34255616363920566,101749.70999999999,sl,347.36
30,75.19,76.14,1353.0,long,1285.35,1.2632468436519377,103035.06,sl,1285.35
31,76.29,76.52,1346.0,short,309.58,0.3004608334289319,103344.64,sl,309.58
32,75.67,75.55,1365.0,long,-163.8,-0.15849878619732966,103180.84,sl,-163.8
33,74.64,74.11,1382.0,long,-732.46,-0.7098798575394425,102448.37999999999,sl,-732.46
34,73.88,73.69,1386.0,long,-263.34,-0.2570465243081443,102185.04,sl,-263.34
35,72.87,73.22,1395.0,short,488.25,0.47780966763823746,102673.29,sl,488.25
36,71.82,71.75,1429.0,long,-100.03,-0.09742553296967499,102573.26,sl,-100.03
37,70.44,70.36,1456.0,long,-116.48,-0.11355786098638185,102456.78,sl,-116.48
38,70.58,70.49,1453.0,short,-130.77,-0.12763430589952174,102326.01,sl,-130.77
39,70.81,70.86,1444.0,short,72.2,0.07055879536395487,102398.20999999999,sl,72.2
40,70.9,70.82,1445.0,short,-115.6,-0.11289259841553873,102282.60999999999,sl,-115.6
41,71.02,71.0,1440.0,short,-28.8,-0.028157279130831728,102253.80999999998,sl,-28.8
42,71.09,71.14,1437.0,short,71.85,0.07026633041839712,102325.65999999999,sl,71.85
43,73.75,74.37,1387.0,long,859.94,0.8403952635145477,103185.59999999999,sl,859.94
44,74.45,74.93,1377.0,short,660.96,0.6405544959761829,103846.56,sl,660.96
45,74.15,74.0,1403.0,short,-210.45,-0.20265476295026047,103636.11,sl,-210.45
46,68.83,66.96,1505.0,long,-2814.35,-2.7156075232850787,100821.76,sl,-2814.35
47,68.03,67.36,1496.0,short,-1002.32,-0.9941504691050821,99819.43999999999,sl,-1002.32
48,67.64,68.0,1475.0,long,531.0,0.5319605078930517,100350.43999999999,sl,531.0
49,68.57,68.44,1466.0,short,-190.58,-0.18991446375322324,100159.85999999999,sl,-190.58
50,66.76,66.32,1500.0,long,-660.0,-0.6589466079525272,99499.85999999999,sl,-660.0
51,65.43,65.38,1520.0,long,-76.0,-0.07638201701992346,99423.85999999999,sl,-76.0
52,68.67,68.33,1455.0,short,-494.7,-0.4975666806740354,98929.15999999999,sl,-494.7
53,68.93,68.79,1438.0,short,-201.32,-0.20349915030108418,98727.83999999998,sl,-201.32
54,71.84,71.75,1375.0,short,-123.75,-0.12534458365543094,98604.08999999998,sl,-123.75
55,66.96,66.55,1472.0,long,-603.52,-0.6120638606370182,98000.56999999998,sl,-603.52
56,66.6,66.26,1471.0,long,-500.14,-0.5103439704483352,97500.42999999998,sl,-500.14
57,65.64,66.71,1485.0,long,1588.95,1.6296851203630593,99089.37999999998,sl,1588.95
