,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,551.76,556.4,179.0,short,830.56,0.83056,100830.56,,830.56
2,557.84,557.29,180.0,short,-99.0,-0.09818451866180254,100731.56,sl,-99.0
3,560.94,561.2,179.0,short,46.54,0.04620200461503823,100778.09999999999,sl,46.54
4,567.32,566.33,177.0,short,-175.23,-0.17387706257609542,100602.87,sl,-175.23
5,566.51,564.4,177.0,long,-373.47,-0.3712319539194061,100229.4,sl,-373.47
6,568.14,567.63,176.0,short,-89.76,-0.08955456183515018,100139.64,sl,-89.76
7,567.59,567.81,176.0,short,38.72,0.03866600678812107,100178.36,sl,38.72
8,552.42,544.03,181.0,long,-1518.59,-1.5158862652572869,98659.77,sl,-1518.59
9,546.57,544.62,180.0,long,-351.0,-0.35576811095343114,98308.77,sl,-351.0
10,540.12,542.68,182.0,long,465.92,0.47393533659306286,98774.69,sl,465.92
11,557.79,556.94,177.0,short,-150.45,-0.15231634743677758,98624.24,sl,-150.45
12,555.21,554.21,177.0,long,-177.0,-0.17946906358923526,98447.24,sl,-177.0
13,553.34,555.3,177.0,long,346.92,0.352391798896546,98794.16,sl,346.92
14,575.69,572.01,171.0,long,-629.28,-0.6369607272332696,98164.88,sl,-629.28
15,496.48,485.46,197.0,long,-2170.94,-2.2115241214576944,95993.94,sl,-2170.94
16,520.84,517.97,185.0,short,-530.95,-0.5531078315985364,95462.99,sl,-530.95
17,516.65,523.86,182.0,short,1312.22,1.3745850617082076,96775.21,sl,1312.22
18,515.93,516.29,187.0,short,67.32,0.06956326935379421,96842.53000000001,sl,67.32
19,510.0,508.32,189.0,long,-317.52,-0.32787247503756867,96525.01000000001,sl,-317.52
20,503.67,499.82,191.0,long,-735.35,-0.7618232828983907,95789.66,sl,-735.35
21,505.68,505.54,189.0,long,-26.46,-0.02762302319477906,95763.2,sl,-26.46
22,506.55,501.2,189.0,long,-1011.15,-1.0558857682282965,94752.05,sl,-1011.15
23,502.4,500.16,188.0,long,-421.12,-0.44444420991419187,94330.93000000001,sl,-421.12
24,496.88,497.33,189.0,long,85.05,0.09016130764320886,94415.98000000001,sl,85.05
25,498.2,497.04,189.0,short,-219.24,-0.23220645488189604,94196.74,sl,-219.24
26,497.6,499.98,189.0,long,449.82,0.4775324496367921,94646.56000000001,sl,449.82
27,492.26,487.72,192.0,long,-871.68,-0.9209843442804471,93774.88000000002,sl,-871.68
28,483.94,483.78,193.0,short,-30.88,-0.032929927502973064,93744.00000000001,sl,-30.88
29,485.93,488.14,192.0,short,424.32,0.45263696876600096,94168.32000000002,sl,424.32
30,489.49,491.24,191.0,short,334.25,0.35494952017833586,94502.57000000002,sl,334.25
31,489.49,490.53,192.0,short,199.68,0.21129584094908738,94702.25000000001,sl,199.68
32,473.0,470.58,200.0,long,-484.0,-0.5110755024299845,94218.25000000001,sl,-484.0
33,469.63,475.61,200.0,long,1196.0,1.269393137741361,95414.25000000001,sl,1196.0
34,475.44,474.17,201.0,short,-255.27,-0.2675386538174329,95158.98000000001,sl,-255.27
35,470.34,472.92,201.0,short,518.58,0.5449617051380753,95677.56000000001,sl,518.58
36,465.87,464.55,205.0,long,-270.6,-0.28282493826138544,95406.96,sl,-270.6
37,463.77,465.04,205.0,long,260.35,0.2728836554481979,95667.31000000001,sl,260.35
38,464.53,465.64,205.0,long,227.55,0.23785554334077125,95894.86000000002,sl,227.55
39,471.29,469.83,204.0,short,-297.84,-0.3105901609325046,95597.02000000002,sl,-297.84
40,474.27,474.17,201.0,short,-20.1,-0.021025760008000247,95576.92000000001,sl,-20.1
41,476.24,476.05,200.0,short,-38.0,-0.039758552587800484,95538.92000000001,sl,-38.0
42,469.38,471.72,203.0,long,475.02,0.49720051262877984,96013.94000000002,sl,475.02
43,478.22,481.1,199.0,short,573.12,0.596913323211192,96587.06000000001,sl,573.12
44,477.63,476.05,202.0,long,-319.16,-0.3304376383337478,96267.90000000001,sl,-319.16
45,473.06,471.08,203.0,long,-401.94,-0.41752235168732255,95865.96,sl,-401.94
46,471.8,469.57,203.0,long,-452.69,-0.4722114085124688,95413.27,sl,-452.69
47,470.18,468.33,202.0,long,-373.7,-0.39166459759737815,95039.57,sl,-373.7
48,467.36,466.02,203.0,long,-272.02,-0.28621762493243597,94767.55,sl,-272.02
49,475.22,470.75,199.0,long,-889.53,-0.9386440822834398,93878.02,sl,-889.53
50,485.01,484.71,193.0,short,-57.9,-0.06167577884578307,93820.12000000001,sl,-57.9
51,486.34,485.48,193.0,short,-165.98,-0.17691301183584074,93654.14000000001,sl,-165.98
52,492.4,494.89,189.0,short,470.61,0.5024978073580089,94124.75000000001,sl,470.61
53,492.8,490.49,190.0,long,-438.9,-0.4662960592192807,93685.85000000002,sl,-438.9
54,490.18,492.68,191.0,long,477.5,0.5096820917993484,94163.35000000002,sl,477.5
55,483.4,482.87,194.0,long,-102.82,-0.10919322645169269,94060.53000000001,sl,-102.82
56,485.17,483.99,193.0,long,-227.74,-0.242120685477745,93832.79000000001,sl,-227.74
57,483.78,479.29,193.0,long,-866.57,-0.9235257738792589,92966.22,sl,-866.57
58,475.39,471.53,195.0,long,-752.7,-0.8096489240930739,92213.52,sl,-752.7
59,486.71,486.04,189.0,short,-126.63,-0.13732259651296252,92086.89,sl,-126.63
60,482.93,482.92,190.0,short,-1.9,-0.002063268723702147,92084.99,sl,-1.9
