,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,83.25,82.81,1201.0,long,-528.44,-0.52844,99471.56,,-528.44
2,83.18,83.01,1198.0,short,-203.66,-0.2047419382987459,99267.9,sl,-203.66
3,84.51,84.77,1171.0,short,304.46,0.3067053901613714,99572.36,sl,304.46
4,84.84,84.84,1173.0,short,0.0,0.0,99572.36,sl,0.0
5,84.7,84.29,1181.0,short,-484.21,-0.4862895687116385,99088.15,sl,-484.21
6,84.82,85.36,1168.0,long,630.72,0.6365241454200125,99718.87,sl,630.72
7,84.66,85.86,1161.0,short,1393.2,1.3971277452301656,101112.06999999999,sl,1393.2
8,84.65,84.92,1190.0,short,321.3,0.3177662172280718,101433.37,sl,321.3
9,84.03,84.76,1207.0,long,881.11,0.8686589038696043,102314.48,sl,881.11
10,85.08,84.76,1207.0,short,-386.24,-0.3775027738009322,101928.23999999999,sl,-386.24
11,84.47,84.42,1206.0,long,-60.3,-0.05915926734337805,101867.93999999999,sl,-60.3
12,83.39,83.74,1216.0,short,425.6,0.41779582467261056,102293.54,sl,425.6
13,82.64,83.59,1237.0,long,1175.15,1.148801771842093,103468.68999999999,sl,1175.15
14,82.0,81.52,1261.0,long,-605.28,-0.5849885603074708,102863.40999999999,sl,-605.28
15,81.33,81.25,1264.0,long,-101.12,-0.09830512132545481,102762.29,sl,-101.12
16,83.05,82.89,1239.0,short,-198.24,-0.1929112323207278,102564.04999999999,sl,-198.24
17,82.41,83.05,1234.0,short,789.76,0.7700163946334023,103353.80999999998,sl,789.76
18,83.09,83.9,1231.0,short,997.11,0.9647539843959311,104350.91999999998,sl,997.11
19,82.95,83.22,1257.0,long,339.39,0.32523910666048755,104690.30999999998,sl,339.39
20,83.44,83.32,1256.0,short,-150.72,-0.14396747893859518,104539.58999999998,sl,-150.72
21,83.21,83.06,1256.0,long,-188.4,-0.1802188051435825,104351.18999999999,sl,-188.4
22,82.82,82.63,1259.0,long,-239.21,-0.22923552668637515,104111.97999999998,sl,-239.21
23,82.48,82.31,1262.0,long,-214.54,-0.2060665833077039,103897.43999999999,sl,-214.54
24,84.22,84.06,1235.0,short,-197.6,-0.19018755418805317,103699.83999999998,sl,-197.6
25,85.8,85.56,1212.0,short,-290.88,-0.2805018792700163,103408.95999999998,sl,-290.88
26,84.55,84.05,1223.0,long,-611.5,-0.5913414079398924,102797.45999999998,sl,-611.5
27,85.09,85.44,1203.0,short,421.05,0.4095918323273748,103218.50999999998,sl,421.05
28,84.76,84.41,1222.0,short,-427.7,-0.41436366403661523,102790.80999999998,sl,-427.7
29,83.77,83.63,1227.0,long,-171.78,-0.16711610697493293,102619.02999999998,sl,-171.78
30,83.95,83.8,1224.0,short,-183.6,-0.17891418385069516,102435.42999999998,sl,-183.6
31,84.39,84.28,1215.0,short,-133.65,-0.13047243517208842,102301.77999999998,sl,-133.65
32,85.16,84.96,1204.0,short,-240.8,-0.23538202365589342,102060.97999999998,sl,-240.8
33,82.76,83.27,1233.0,long,628.83,0.6161316499214491,102689.80999999998,sl,628.83
34,81.61,81.52,1259.0,short,-113.31,-0.11034200959179885,102576.49999999999,sl,-113.31
35,82.26,81.9,1252.0,short,-450.72,-0.43939888765945423,102125.77999999998,sl,-450.72
36,84.46,84.39,1210.0,short,-84.7,-0.08293694305198943,102041.07999999999,sl,-84.7
37,84.55,84.45,1208.0,short,-120.8,-0.11838369409653447,101920.27999999998,sl,-120.8
38,84.88,85.28,1200.0,long,480.0,0.47095631997871285,102400.27999999998,sl,480.0
39,85.83,85.83,1193.0,short,0.0,0.0,102400.27999999998,sl,0.0
40,85.44,86.77,1198.0,long,1593.34,1.555991839084815,103993.61999999998,sl,1593.34
41,85.76,85.7,1212.0,long,-72.72,-0.06992736669807245,103920.89999999998,sl,-72.72
42,87.5,87.76,1184.0,short,307.84,0.29622530212883075,104228.73999999998,sl,307.84
43,88.45,88.36,1179.0,short,-106.11,-0.10180493403259026,104122.62999999998,sl,-106.11
44,88.69,88.45,1177.0,short,-282.48,-0.2712954907112893,103840.14999999998,sl,-282.48
45,88.19,89.0,1166.0,short,944.46,0.9095325844579387,104784.60999999999,sl,944.46
46,88.86,89.04,1179.0,long,212.22,0.20252974172447652,104996.82999999999,sl,212.22
47,89.86,89.59,1171.0,short,-316.17,-0.3011233767724226,104680.65999999999,sl,-316.17
48,90.22,90.23,1160.0,short,11.6,0.011081321038671326,104692.26,sl,11.6
49,90.29,90.48,1159.0,long,220.21,0.21034028685597198,104912.47,sl,220.21
50,91.19,91.03,1152.0,short,-184.32,-0.17568931510238964,104728.15,sl,-184.32
51,91.67,91.64,1142.0,short,-34.26,-0.032713267636256343,104693.89,sl,-34.26
52,91.83,90.78,1153.0,short,-1210.65,-1.1563712075270105,103483.24,sl,-1210.65
53,92.33,91.99,1124.0,short,-382.16,-0.3692965160348671,103101.08,sl,-382.16
54,92.0,92.38,1116.0,short,424.08,0.4113244982496788,103525.16,sl,424.08
55,92.17,92.25,1122.0,short,89.76,0.08670356075759748,103614.92,sl,89.76
56,92.55,92.47,1120.0,short,-89.6,-0.086474032890244,103525.31999999999,sl,-89.6
57,92.64,92.57,1118.0,short,-78.26,-0.07559503317642487,103447.06,sl,-78.26
