,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,210.76,211.35,474.0,long,279.66,0.27966,100279.66,,279.66
2,202.0,209.59,478.0,short,3628.02,3.6179021747780156,103907.68000000001,sl,3628.02
3,202.15,202.25,513.0,short,51.3,0.04937074911113403,103958.98000000001,sl,51.3
4,199.85,200.62,518.0,short,398.86,0.38367055929175137,104357.84000000001,sl,398.86
5,198.42,199.42,523.0,short,523.0,0.5011602386557636,104880.84000000001,sl,523.0
6,197.13,198.43,528.0,short,686.4,0.6544570009164685,105567.24,sl,686.4
7,199.89,198.4,532.0,short,-792.68,-0.7508768818811592,104774.56000000001,sl,-792.68
8,201.86,199.19,526.0,short,-1404.42,-1.340420804439551,103370.14000000001,sl,-1404.42
9,194.93,192.09,538.0,short,-1527.92,-1.4781057663267168,101842.22000000002,sl,-1527.92
10,188.36,194.15,524.0,short,3033.96,2.9790788142677953,104876.18000000002,sl,3033.96
11,186.04,187.76,558.0,short,959.76,0.9151363064520465,105835.94000000002,sl,959.76
12,186.9,186.26,568.0,short,-363.52,-0.343475004804606,105472.42000000001,sl,-363.52
13,189.71,187.48,562.0,short,-1253.26,-1.1882348010977655,104219.16000000002,sl,-1253.26
14,192.14,189.43,550.0,short,-1490.5,-1.4301592912474057,102728.66000000002,sl,-1490.5
15,193.36,192.97,532.0,short,-207.48,-0.20196895394138303,102521.18000000002,sl,-207.48
16,190.73,192.82,531.0,short,1109.79,1.082498270113551,103630.97000000002,sl,1109.79
17,181.32,182.96,566.0,short,928.24,0.8957167919976046,104559.21000000002,sl,928.24
18,175.45,181.4,576.0,short,3427.2,3.2777600366337882,107986.41000000002,sl,3427.2
19,177.95,176.61,611.0,short,-818.74,-0.7581879979156636,107167.67000000001,sl,-818.74
20,180.18,178.43,600.0,short,-1050.0,-0.9797730976142338,106117.67000000001,sl,-1050.0
21,183.24,179.67,590.0,short,-2106.3,-1.984872076441181,104011.37000000001,sl,-2106.3
22,180.57,180.53,576.0,short,-23.04,-0.022151424406773985,103988.33000000002,sl,-23.04
23,182.28,180.72,575.0,short,-897.0,-0.8625967933132495,103091.33000000002,sl,-897.0
24,177.97,179.74,579.0,long,1024.83,0.9940991158034336,104116.16000000002,sl,1024.83
25,180.19,180.19,0.0,long,0.0,0.0,104116.16000000002,sl,0.0
26,180.19,179.24,577.0,long,-548.15,-0.526479270845179,103568.01000000002,sl,-548.15
27,178.9,178.9,0.0,long,0.0,0.0,103568.01000000002,sl,0.0
28,178.9,177.86,578.0,long,-601.12,-0.5804108816998607,102966.89000000003,sl,-601.12
29,178.04,178.04,0.0,long,0.0,0.0,102966.89000000003,sl,0.0
30,178.04,180.26,578.0,long,1283.16,1.2461870024432122,104250.05000000003,sl,1283.16
31,178.94,180.19,578.0,short,722.5,0.6930452311533661,104972.55000000003,sl,722.5
32,175.66,179.97,597.0,long,2573.07,2.4511836665871214,107545.62000000004,sl,2573.07
33,171.22,172.47,623.0,short,778.75,0.7241113120180995,108324.37000000004,sl,778.75
34,169.1,171.23,632.0,short,1346.16,1.2427120508524534,109670.53000000004,sl,1346.16
35,170.09,169.84,645.0,short,-161.25,-0.1470312945510521,109509.28000000004,sl,-161.25
36,170.49,170.16,643.0,short,-212.19,-0.19376440060604902,109297.09000000004,sl,-212.19
37,170.29,170.3,641.0,short,6.41,0.005864749006583797,109303.50000000004,sl,6.41
38,171.01,169.97,643.0,short,-668.72,-0.6118010859670548,108634.78000000004,sl,-668.72
39,169.33,169.73,640.0,short,256.0,0.2356519707592724,108890.78000000004,sl,256.0
40,169.5,169.27,643.0,short,-147.89,-0.13581498819275603,108742.89000000004,sl,-147.89
41,169.63,169.54,641.0,short,-57.69,-0.05305174434852704,108685.20000000004,sl,-57.69
42,166.7,170.16,638.0,short,2207.48,2.031076908355507,110892.68000000004,sl,2207.48
43,169.57,167.63,661.0,short,-1282.34,-1.1563793029440712,109610.34000000004,sl,-1282.34
44,167.82,168.8,649.0,short,636.02,0.5802554758976204,110246.36000000004,sl,636.02
45,165.68,167.7,657.0,short,1327.14,1.203794846378601,111573.50000000004,sl,1327.14
46,165.51,165.2,675.0,short,-209.25,-0.1875445334241553,111364.25000000004,sl,-209.25
47,154.83,156.1,713.0,short,905.51,0.8131065400251873,112269.76000000004,sl,905.51
48,154.92,154.64,726.0,short,-203.28,-0.18106389467653616,112066.48000000004,sl,-203.28
49,153.05,154.73,724.0,short,1216.32,1.0853557638287554,113282.80000000005,sl,1216.32
50,149.07,152.77,741.0,short,2741.7,2.4202261949739934,116024.50000000004,sl,2741.7
51,146.97,149.46,776.0,short,1932.24,1.6653723997948702,117956.74000000005,sl,1932.24
52,149.03,148.19,795.0,short,-667.8,-0.5661397559817266,117288.94000000005,sl,-667.8
53,147.54,149.82,782.0,short,1782.96,1.5201433315025266,119071.90000000005,sl,1782.96
54,147.7,147.08,809.0,short,-501.58,-0.4212412836277911,118570.32000000005,sl,-501.58
55,148.91,147.95,801.0,short,-768.96,-0.6485265452602301,117801.36000000004,sl,-768.96
56,150.4,149.25,789.0,short,-907.35,-0.7702372875830973,116894.01000000004,sl,-907.35
57,153.0,151.89,769.0,short,-853.59,-0.7302256120737065,116040.42000000004,sl,-853.59
58,153.35,152.71,759.0,short,-485.76,-0.4186127557966438,115554.66000000005,sl,-485.76
59,152.43,152.6,758.0,long,128.86,0.11151432577448626,115683.52000000005,sl,128.86
60,152.56,154.1,758.0,long,1167.32,1.0090633480032414,116850.84000000005,sl,1167.32
61,154.08,151.9,758.0,long,-1652.44,-1.4141447335765829,115198.40000000005,sl,-1652.44
62,151.76,151.08,759.0,long,-516.12,-0.4480270559313322,114682.28000000006,sl,-516.12
63,151.18,149.52,758.0,long,-1258.28,-1.0971878131477673,113424.00000000006,sl,-1258.28
64,160.16,156.74,723.0,short,-2472.66,-2.1800148116800666,110951.34000000005,sl,-2472.66
65,158.23,159.03,701.0,long,560.8,0.5054468021747188,111512.14000000006,sl,560.8
66,159.62,159.44,698.0,long,-125.64,-0.11266934703252933,111386.50000000006,sl,-125.64
