,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,280.3,279.57,357.0,short,-260.61,-0.26061,99739.39,,-260.61
2,279.64,280.82,355.0,short,418.9,0.4199945477909981,100158.29,sl,418.9
3,278.05,278.41,360.0,long,129.6,0.12939518036899392,100287.89,sl,129.6
4,281.79,281.06,356.0,short,-259.88,-0.2591339791873176,100028.01,sl,-259.88
5,281.18,281.53,355.0,short,124.25,0.12421520732042955,100152.26,sl,124.25
6,276.89,276.48,361.0,long,-148.01,-0.14778498258551528,100004.25,sl,-148.01
7,276.48,277.92,359.0,short,516.96,0.5169380301337193,100521.21,sl,516.96
8,273.61,273.75,367.0,long,51.38,0.05111359085311449,100572.59000000001,sl,51.38
9,273.6,274.39,367.0,long,289.93,0.2882793413195384,100862.52,sl,289.93
10,273.98,275.07,368.0,long,401.12,0.397689845544212,101263.64,sl,401.12
11,277.77,277.76,364.0,short,-3.64,-0.0035945774811176057,101260.0,sl,-3.64
12,273.04,272.18,370.0,long,-318.2,-0.31424056883270785,100941.8,sl,-318.2
13,273.21,273.03,369.0,short,-66.42,-0.06580029284201391,100875.38,sl,-66.42
14,272.24,272.34,370.0,short,37.0,0.03667892006949565,100912.38,sl,37.0
15,276.98,275.62,366.0,short,-497.76,-0.49325959807904635,100414.62000000001,sl,-497.76
16,276.62,276.44,363.0,short,-65.34,-0.06507020591224665,100349.28000000001,sl,-65.34
17,279.11,278.48,360.0,short,-226.8,-0.22601059021051267,100122.48000000001,sl,-226.8
18,284.68,284.58,351.0,long,-35.1,-0.03505706211032727,100087.38,sl,-35.1
19,277.59,277.09,360.0,long,-180.0,-0.17984285331477357,99907.38,sl,-180.0
20,274.55,275.97,362.0,short,514.04,0.5145165452241866,100421.42,sl,514.04
21,273.3,272.83,367.0,long,-172.49,-0.17176614311966512,100248.93,sl,-172.49
22,268.91,268.77,372.0,long,-52.08,-0.051950679174331334,100196.84999999999,sl,-52.08
23,267.96,269.71,371.0,short,649.25,0.6479744622710196,100846.09999999999,sl,649.25
24,269.02,270.23,374.0,long,452.54,0.4487431839208458,101298.63999999998,sl,452.54
25,266.38,266.77,380.0,long,148.2,0.14630008853031,101446.83999999998,sl,148.2
26,265.76,267.83,378.0,short,782.46,0.7713005156198066,102229.29999999999,sl,782.46
27,266.68,266.01,384.0,short,-257.28,-0.25166953114224594,101972.01999999999,sl,-257.28
28,271.47,272.53,374.0,short,396.44,0.3887733125223959,102368.45999999999,sl,396.44
29,272.75,273.45,374.0,short,261.8,0.2557428332906444,102630.26,sl,261.8
30,273.89,273.04,375.0,short,-318.75,-0.3105809144398543,102311.51,sl,-318.75
31,273.98,273.71,373.0,short,-100.71,-0.09843467269713838,102210.79999999999,sl,-100.71
32,274.12,273.89,372.0,long,-85.56,-0.08370935361038169,102125.23999999999,sl,-85.56
33,274.2,274.15,372.0,short,-18.6,-0.018212931494702,102106.63999999998,sl,-18.6
34,268.28,268.54,380.0,long,98.8,0.0967615818128968,102205.43999999999,sl,98.8
35,270.04,270.01,378.0,short,-11.34,-0.01109529981965735,102194.09999999999,sl,-11.34
36,274.61,273.53,373.0,short,-402.84,-0.3941910540823786,101791.26,sl,-402.84
37,274.25,273.55,371.0,long,-259.7,-0.2551299590947199,101531.56,sl,-259.7
38,274.39,275.67,370.0,long,473.6,0.4664559472936297,102005.16,sl,473.6
39,277.35,278.98,365.0,short,594.95,0.5832548078940321,102600.11,sl,594.95
40,303.3,298.24,338.0,long,-1710.28,-1.6669377839848318,100889.83,sl,-1710.28
41,299.64,298.74,336.0,long,-302.4,-0.29973288685291666,100587.43000000001,sl,-302.4
42,310.13,309.58,324.0,short,-178.2,-0.17715931304736582,100409.23000000001,sl,-178.2
43,311.53,310.8,323.0,short,-235.79,-0.23482900924546474,100173.44000000002,sl,-235.79
44,312.78,312.03,321.0,short,-240.75,-0.24033316615661793,99932.69000000002,sl,-240.75
45,310.26,310.84,322.0,long,186.76,0.18688579282715193,100119.45000000001,sl,186.76
46,310.21,309.62,322.0,long,-189.98,-0.18975333963580499,99929.47000000002,sl,-189.98
47,319.35,314.63,312.0,long,-1472.64,-1.4736793860709958,98456.83000000002,sl,-1472.64
48,313.82,312.67,314.0,short,-361.1,-0.3667597260647128,98095.73000000001,sl,-361.1
49,314.53,315.02,311.0,short,152.39,0.15534825012260978,98248.12000000001,sl,152.39
50,312.25,312.22,314.0,long,-9.42,-0.009587969724000825,98238.70000000001,sl,-9.42
