,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,174.85,176.08,567.0,short,697.41,0.69741,100697.41,,697.41
2,174.85,174.85,575.0,short,0.0,0.0,100697.41,sl,0.0
3,174.97,174.84,575.0,short,-74.75,-0.07423229654069553,100622.66,sl,-74.75
4,174.26,174.9,575.0,short,368.0,0.3657227904728418,100990.66,sl,368.0
5,175.04,174.07,580.0,short,-562.6,-0.5570812191939334,100428.06,sl,-562.6
6,175.6,175.01,573.0,short,-338.07,-0.33662902579219395,100089.98999999999,sl,-338.07
7,175.82,175.62,569.0,short,-113.8,-0.11369768345465917,99976.18999999999,sl,-113.8
8,175.4,175.68,569.0,short,159.32,0.15935794312625837,100135.51,sl,159.32
9,175.91,175.36,571.0,short,-314.05,-0.31362500675334853,99821.45999999999,sl,-314.05
10,179.47,179.58,556.0,long,61.16,0.06126939036956582,99882.62,sl,61.16
11,179.45,179.37,556.0,long,-44.48,-0.04453227198085112,99838.14,sl,-44.48
12,179.76,180.05,554.0,short,160.66,0.16092046586605077,99998.8,sl,160.66
13,178.5,179.94,555.0,short,799.2,0.7992095905150862,100798.0,sl,799.2
14,178.24,178.86,565.0,long,350.3,0.34752673664160005,101148.3,sl,350.3
15,181.93,180.78,555.0,long,-638.25,-0.6310041790124006,100510.05,sl,-638.25
16,180.75,180.21,556.0,long,-300.24,-0.2987163970170147,100209.81,sl,-300.24
17,180.43,180.41,555.0,short,-11.1,-0.011076759850158383,100198.70999999999,sl,-11.1
18,180.69,180.32,555.0,short,-205.35,-0.2049427582450912,99993.35999999999,sl,-205.35
19,180.82,180.62,553.0,short,-110.6,-0.11060734432766336,99882.75999999998,sl,-110.6
20,184.41,186.01,541.0,long,865.6,0.866616020622578,100748.35999999999,sl,865.6
21,185.87,184.88,542.0,long,-536.58,-0.5325942774651619,100211.77999999998,sl,-536.58
22,184.98,187.9,541.0,long,1579.72,1.5763815391763327,101791.49999999999,sl,1579.72
23,187.92,186.85,541.0,long,-578.87,-0.5686820608793466,101212.62999999999,sl,-578.87
24,186.63,186.31,542.0,long,-173.44,-0.17136201282389363,101039.18999999999,sl,-173.44
25,185.87,187.35,543.0,long,803.64,0.7953745472425106,101842.82999999999,sl,803.64
26,183.95,183.29,553.0,long,-364.98,-0.3583757442718354,101477.84999999999,sl,-364.98
27,182.2,181.68,558.0,short,-290.16,-0.2859343196569498,101187.68999999999,sl,-290.16
28,181.22,181.78,556.0,short,311.36,0.3077054135735286,101499.04999999999,sl,311.36
29,181.38,180.69,561.0,short,-387.09,-0.3813730276293227,101111.95999999999,sl,-387.09
30,179.44,182.25,554.0,short,1556.74,1.5396200409921834,102668.7,sl,1556.74
31,179.62,179.67,571.0,short,28.55,0.027807890817746792,102697.25,sl,28.55
32,178.27,179.59,571.0,short,753.72,0.7339242287403023,103450.97,sl,753.72
33,176.85,178.27,580.0,short,823.6,0.796125932893621,104274.57,sl,823.6
34,174.97,176.68,590.0,short,1008.9,0.967541750591731,105283.47,sl,1008.9
35,175.87,174.73,602.0,short,-686.28,-0.6518402176524006,104597.19,sl,-686.28
36,174.42,175.48,596.0,short,631.76,0.6039932812726613,105228.95,sl,631.76
37,178.32,176.93,594.0,short,-825.66,-0.7846319857795787,104403.29,sl,-825.66
38,176.95,179.11,590.0,long,1274.4,1.220651188291097,105677.68999999999,sl,1274.4
39,178.93,177.03,590.0,long,-1121.0,-1.060772619083555,104556.68999999999,sl,-1121.0
40,177.03,176.49,590.0,long,-318.6,-0.3047150784899561,104238.08999999998,sl,-318.6
41,176.69,176.79,589.0,long,58.9,0.056505256379889554,104296.98999999998,sl,58.9
42,180.43,181.06,576.0,short,362.88,0.34792950400582034,104659.86999999998,sl,362.88
43,180.96,180.75,579.0,short,-121.59,-0.11617633387085234,104538.27999999998,sl,-121.59
44,186.51,188.93,560.0,long,1355.2,1.2963672254795089,105893.47999999998,sl,1355.2
45,188.93,188.54,560.0,long,-218.4,-0.20624499260955448,105675.07999999999,sl,-218.4
46,188.61,187.49,560.0,long,-627.2,-0.5935174120521131,105047.87999999999,sl,-627.2
47,187.62,187.71,559.0,long,50.31,0.047892446758563814,105098.18999999999,sl,50.31
48,187.24,187.65,561.0,long,230.01,0.2188524845194765,105328.19999999998,sl,230.01
49,187.87,190.73,560.0,long,1601.6,1.520580433350233,106929.79999999999,sl,1601.6
50,190.89,190.0,560.0,long,-498.4,-0.46610018909602374,106431.4,sl,-498.4
51,190.03,188.9,560.0,long,-632.8,-0.594561379442533,105798.59999999999,sl,-632.8
52,189.29,188.62,558.0,long,-373.86,-0.3533695152865917,105424.73999999999,sl,-373.86
53,188.33,187.1,559.0,long,-687.57,-0.6521903682190727,104737.16999999998,sl,-687.57
54,187.37,187.48,558.0,long,61.38,0.05860383663220995,104798.54999999999,sl,61.38
55,186.11,187.63,558.0,short,848.16,0.8093241748096706,105646.70999999999,sl,848.16
56,185.86,186.25,567.0,short,221.13,0.20931082472894802,105867.84,sl,221.13
57,186.35,186.0,569.0,short,-199.15,-0.1881118949815166,105668.69,sl,-199.15
58,184.65,184.8,571.0,short,85.65,0.08105523026735735,105754.34,sl,85.65
