,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,174.96,174.74,571.0,long,-125.62,-0.12562,99874.38,,-125.62
2,174.53,174.1,572.0,long,-245.96,-0.2462693635745223,99628.42,sl,-245.96
3,173.09,173.25,575.0,long,92.0,0.09234312859724163,99720.42,sl,92.0
4,173.94,173.65,574.0,short,-166.46,-0.16692669365010698,99553.95999999999,sl,-166.46
5,173.16,174.07,574.0,long,522.34,0.5246802839384792,100076.29999999999,sl,522.34
6,177.24,176.59,566.0,short,-367.9,-0.3676195063166804,99708.4,sl,-367.9
7,175.83,174.73,567.0,long,-623.7,-0.6255240280658401,99084.7,sl,-623.7
8,174.76,175.24,565.0,short,271.2,0.2737052239144893,99355.9,sl,271.2
9,173.95,177.14,571.0,long,1821.49,1.8332982741840194,101177.39,sl,1821.49
10,176.96,176.66,571.0,long,-171.3,-0.16930660101036407,101006.09,sl,-171.3
11,175.3,178.37,566.0,short,1737.62,1.7203121118736504,102743.70999999999,sl,1737.62
12,173.0,172.59,595.0,short,-243.95,-0.23743545955270642,102499.76,sl,-243.95
13,175.99,176.41,581.0,short,244.02,0.23806885011242954,102743.78,sl,244.02
14,176.79,177.21,579.0,short,243.18,0.23668586069151826,102986.95999999999,sl,243.18
15,178.02,178.68,576.0,short,380.16,0.3691341117360878,103367.12,sl,380.16
16,178.37,177.8,581.0,short,-331.17,-0.3203823420832466,103035.95,sl,-331.17
17,178.63,179.12,575.0,short,281.75,0.27344824791735317,103317.7,sl,281.75
18,176.06,174.34,586.0,long,-1007.92,-0.9755540434988391,102309.78,sl,-1007.92
19,174.26,175.02,587.0,long,446.12,0.4360482448501013,102755.9,sl,446.12
20,175.88,175.54,585.0,short,-198.9,-0.19356552762420456,102557.0,sl,-198.9
21,174.46,174.36,587.0,long,-58.7,-0.057236463625106045,102498.3,sl,-58.7
22,175.66,176.14,581.0,short,278.88,0.2720825613693105,102777.18000000001,sl,278.88
23,176.12,175.32,586.0,short,-468.8,-0.45613238269429063,102308.38,sl,-468.8
24,180.9,177.82,575.0,short,-1771.0,-1.7310409958597721,100537.38,sl,-1771.0
25,179.67,179.37,559.0,long,-167.7,-0.1668036306496151,100369.68000000001,sl,-167.7
26,178.93,179.38,559.0,short,251.55,0.25062349506344944,100621.23000000001,sl,251.55
27,181.93,180.52,557.0,short,-785.37,-0.7805211683458848,99835.86000000002,sl,-785.37
28,180.87,180.21,551.0,long,-363.66,-0.36425789290541494,99472.20000000001,sl,-363.66
29,180.69,180.46,551.0,short,-126.73,-0.1274024300256755,99345.47000000002,sl,-126.73
30,180.18,182.03,551.0,long,1019.35,1.026065909195457,100364.82000000002,sl,1019.35
31,185.46,184.58,543.0,short,-477.84,-0.4761030807408411,99886.98000000003,sl,-477.84
32,185.93,185.64,538.0,short,-156.02,-0.15619653332196046,99730.96000000002,sl,-156.02
33,184.86,185.54,537.0,short,365.16,0.36614507671439234,100096.12000000002,sl,365.16
34,182.76,185.27,540.0,short,1355.4,1.3540984405789154,101451.52000000002,sl,1355.4
35,185.77,185.47,546.0,short,-163.8,-0.16145642766121196,101287.72000000002,sl,-163.8
36,189.38,189.04,535.0,short,-181.9,-0.17958741691490337,101105.82000000002,sl,-181.9
37,186.66,186.31,541.0,long,-189.35,-0.1872790310191836,100916.47000000002,sl,-189.35
38,185.9,187.35,542.0,long,785.9,0.7787628719078262,101702.37000000001,sl,785.9
39,183.69,182.83,553.0,long,-475.58,-0.4676193878274419,101226.79000000001,sl,-475.58
40,179.76,177.34,563.0,long,-1362.46,-1.3459480439911213,99864.33,sl,-1362.46
41,174.66,174.27,571.0,long,-222.69,-0.22299253397083824,99641.64,sl,-222.69
42,173.97,176.38,572.0,long,1378.52,1.3834778311557296,101020.16,sl,1378.52
43,174.71,177.31,578.0,long,1502.8,1.4876238564658777,102522.96,sl,1502.8
44,177.51,176.3,577.0,long,-698.17,-0.6809889218961294,101824.79000000001,sl,-698.17
45,178.58,177.49,573.0,short,-624.57,-0.6133771550130376,101200.22,sl,-624.57
46,180.13,179.76,562.0,short,-207.94,-0.2054738616180874,100992.28,sl,-207.94
47,179.51,179.82,561.0,short,173.91,0.17220128112762678,101166.19,sl,173.91
48,184.59,182.28,555.0,short,-1282.05,-1.2672712098775292,99884.14,sl,-1282.05
49,185.61,186.49,535.0,short,470.8,0.471346101593306,100354.94,sl,470.8
50,187.68,187.33,535.0,short,-187.25,-0.18658772552701441,100167.69,sl,-187.25
51,188.06,187.64,533.0,short,-223.86,-0.22348523760506006,99943.83,sl,-223.86
52,189.05,188.51,530.0,short,-286.2,-0.28636084888882085,99657.63,sl,-286.2
53,187.76,187.71,530.0,long,-26.5,-0.026591039742767313,99631.13,sl,-26.5
54,189.29,188.62,526.0,long,-352.42,-0.35372478461300194,99278.71,sl,-352.42
55,187.6,187.48,529.0,long,-63.48,-0.0639412014922434,99215.23000000001,sl,-63.48
56,184.12,187.51,529.0,short,1793.31,1.8074946759685986,101008.54000000001,sl,1793.31
57,184.71,183.68,546.0,long,-562.38,-0.5567648042432847,100446.16,sl,-562.38
58,183.91,185.9,546.0,long,1086.54,1.0817138255957222,101532.7,sl,1086.54
