,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,133.37,134.12,745.0,short,558.75,0.55875,100558.75,,558.75
2,134.54,133.32,754.0,short,-919.88,-0.9147687297226745,99638.87,sl,-919.88
3,135.38,134.65,739.0,short,-539.47,-0.54142524900172,99099.4,sl,-539.47
4,134.73,135.62,730.0,short,649.7,0.6556043729830857,99749.09999999999,sl,649.7
5,135.79,135.06,738.0,short,-538.74,-0.5400950986023935,99210.35999999999,sl,-538.74
6,136.61,136.08,729.0,short,-386.37,-0.38944521519728387,98823.98999999999,sl,-386.37
7,137.79,136.69,722.0,short,-794.2,-0.8036510163169897,98029.79,sl,-794.2
8,135.28,134.49,728.0,short,-575.12,-0.5866788044736198,97454.67,sl,-575.12
9,133.04,133.88,727.0,short,610.68,0.6266297961913985,98065.34999999999,sl,610.68
10,133.18,133.01,737.0,short,-125.29,-0.12776174255228787,97940.06,sl,-125.29
11,133.5,132.69,738.0,short,-597.78,-0.6103529036024686,97342.28,sl,-597.78
12,134.52,133.45,729.0,short,-780.03,-0.8013270287073613,96562.25,sl,-780.03
13,127.99,127.52,757.0,short,-355.79,-0.3684566173634107,96206.46,sl,-355.79
14,127.78,128.1,751.0,short,240.32,0.24979611556230213,96446.78000000001,sl,240.32
15,126.97,127.78,754.0,short,610.74,0.6332404254449966,97057.52000000002,sl,610.74
16,126.05,127.04,763.0,short,755.37,0.7782704524080152,97812.89000000001,sl,755.37
17,126.56,126.14,775.0,short,-325.5,-0.33277822585550837,97487.39000000001,sl,-325.5
18,127.16,126.7,769.0,short,-353.74,-0.3628571859396379,97133.65000000001,sl,-353.74
19,126.91,127.17,763.0,short,198.38,0.2042340630667127,97332.03000000001,sl,198.38
20,127.47,127.04,766.0,short,-329.38,-0.3384086410198163,97002.65000000001,sl,-329.38
21,127.86,127.71,759.0,short,-113.85,-0.11736792757723628,96888.8,sl,-113.85
22,135.46,135.05,717.0,short,-293.97,-0.30340968202723123,96594.83,sl,-293.97
23,135.64,135.64,0.0,long,0.0,0.0,96594.83,sl,0.0
24,135.64,135.02,712.0,long,-441.44,-0.45700168425163123,96153.39,sl,-441.44
25,135.15,135.15,0.0,long,0.0,0.0,96153.39,sl,0.0
26,135.15,135.54,711.0,long,277.29,0.2883829680888006,96430.68,sl,277.29
27,135.66,135.66,0.0,long,0.0,0.0,96430.68,sl,0.0
28,135.66,134.74,710.0,long,-653.2,-0.6773777805984569,95777.48,sl,-653.2
29,135.55,134.98,709.0,short,-404.13,-0.4219467874911722,95373.34999999999,sl,-404.13
30,135.65,135.65,0.0,long,0.0,0.0,95373.34999999999,sl,0.0
31,135.65,136.85,703.0,long,843.6,0.8845238213819689,96216.95,sl,843.6
32,137.15,137.15,0.0,long,0.0,0.0,96216.95,sl,0.0
33,137.15,136.9,701.0,long,-175.25,-0.1821404648557245,96041.7,sl,-175.25
34,136.93,136.32,701.0,long,-427.61,-0.44523368495143256,95614.09,sl,-427.61
35,135.29,137.56,706.0,long,1602.62,1.6761337162754988,97216.70999999999,sl,1602.62
36,136.99,136.49,709.0,long,-354.5,-0.3646492459989646,96862.20999999999,sl,-354.5
37,135.98,136.4,710.0,short,298.2,0.30786000030352395,97160.40999999999,sl,298.2
38,136.35,135.72,715.0,short,-450.45,-0.4636147583156555,96709.95999999999,sl,-450.45
39,141.43,141.68,683.0,long,170.75,0.17655885701948384,96880.70999999999,sl,170.75
40,141.46,140.96,684.0,long,-342.0,-0.35301145088635294,96538.70999999999,sl,-342.0
41,148.63,152.2,649.0,long,2316.93,2.4000009944197513,98855.63999999998,sl,2316.93
42,152.1,152.0,649.0,long,-64.9,-0.06565128706869938,98790.73999999999,sl,-64.9
43,152.05,150.31,649.0,long,-1129.26,-1.1430828435944502,97661.48,sl,-1129.26
44,148.94,147.73,655.0,long,-792.55,-0.8115277384696606,96868.93,sl,-792.55
45,147.91,149.77,654.0,long,1216.44,1.2557586834086019,98085.37,sl,1216.44
46,148.75,148.75,659.0,short,0.0,0.0,98085.37,sl,0.0
47,148.43,148.09,662.0,short,-225.08,-0.22947356980964648,97860.29,sl,-225.08
48,148.58,148.63,658.0,short,32.9,0.03361935673805994,97893.18999999999,sl,32.9
49,148.59,148.89,657.0,short,197.1,0.20134189109579534,98090.29,sl,197.1
50,141.25,141.32,694.0,short,48.58,0.049525799138732285,98138.87,sl,48.58
51,140.21,140.95,696.0,short,515.04,0.5248073469767891,98653.90999999999,sl,515.04
52,136.61,140.26,703.0,short,2565.95,2.600961279689776,101219.85999999999,sl,2565.95
53,137.82,136.24,742.0,short,-1172.36,-1.1582312008730304,100047.49999999999,sl,-1172.36
54,109.65,110.14,908.0,short,444.92,0.4447087633374148,100492.41999999998,sl,444.92
55,110.58,109.94,914.0,short,-584.96,-0.5820936544268713,99907.45999999998,sl,-584.96
56,110.54,110.45,904.0,short,-81.36,-0.08143536028240536,99826.09999999998,sl,-81.36
57,110.43,110.46,903.0,short,27.09,0.027137191576150934,99853.18999999997,sl,27.09
58,110.58,110.29,905.0,short,-262.45,-0.2628358693397778,99590.73999999998,sl,-262.45
59,110.38,109.5,909.0,short,-799.92,-0.8032072058105001,98790.81999999998,sl,-799.92
60,116.68,117.29,846.0,long,516.06,0.5223764718219771,99306.87999999998,sl,516.06
61,117.32,118.3,846.0,long,829.08,0.8348666275690065,100135.95999999998,sl,829.08
62,118.57,118.36,844.0,long,-177.24,-0.17699935168145395,99958.71999999997,sl,-177.24
63,118.21,118.38,845.0,long,143.65,0.14370932320862057,100102.36999999997,sl,143.65
64,118.63,118.05,843.0,long,-488.94,-0.4884399839883913,99613.42999999996,sl,-488.94
65,118.11,117.76,843.0,long,-295.05,-0.29619500101542545,99318.37999999996,sl,-295.05
66,117.78,117.64,843.0,long,-118.02,-0.11882996883356338,99200.35999999996,sl,-118.02
67,118.17,116.65,839.0,long,-1275.28,-1.2855598507908648,97925.07999999996,sl,-1275.28
68,115.26,116.29,849.0,long,874.47,0.8929990151654719,98799.54999999996,sl,874.47
69,116.18,115.53,850.0,long,-552.5,-0.559213073338897,98247.04999999996,sl,-552.5
70,115.04,114.51,854.0,long,-452.62,-0.4606957664377711,97794.42999999996,sl,-452.62
