,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,141.68,140.39,712.0,short,-918.48,-0.91848,99081.52,,-918.48
2,142.4,144.61,685.0,short,1513.85,1.5278833025573284,100595.37000000001,sl,1513.85
3,143.28,143.14,702.0,long,-98.28,-0.09769833343224443,100497.09000000001,sl,-98.28
4,141.8,141.2,708.0,long,-424.8,-0.4226988065027554,100072.29000000001,sl,-424.8
5,142.16,142.27,703.0,long,77.33,0.07727413852526008,100149.62000000001,sl,77.33
6,142.25,141.41,704.0,long,-591.36,-0.5904765290172842,99558.26000000001,sl,-591.36
7,142.3,141.29,699.0,long,-705.99,-0.7091224776326946,98852.27,sl,-705.99
8,140.88,140.56,701.0,long,-224.32,-0.2269244803381854,98627.95,sl,-224.32
9,138.85,137.73,710.0,long,-795.2,-0.8062623221916303,97832.75,sl,-795.2
10,135.79,135.06,724.0,short,-528.52,-0.5402280933531971,97304.23,sl,-528.52
11,132.84,132.56,732.0,long,-204.96,-0.21063832476758718,97099.26999999999,sl,-204.96
12,134.02,133.88,724.0,long,-101.36,-0.10438801445160197,96997.90999999999,sl,-101.36
13,130.09,128.02,745.0,long,-1542.15,-1.5898796169938099,95455.76,sl,-1542.15
14,128.72,128.84,741.0,long,88.92,0.09315310045197903,95544.68,sl,88.92
15,127.07,127.03,751.0,long,-30.04,-0.03144078770267482,95514.64,sl,-30.04
16,127.19,127.52,750.0,long,247.5,0.25912258058031734,95762.14,sl,247.5
17,126.91,127.17,753.0,short,195.78,0.2044440527331574,95957.92,sl,195.78
18,127.24,127.79,750.0,short,412.5,0.4298759289488559,96370.42,sl,412.5
19,131.22,131.09,735.0,short,-95.55,-0.09914868068438427,96274.87,sl,-95.55
20,136.97,134.62,715.0,short,-1680.25,-1.7452633278029877,94594.62,sl,-1680.25
21,137.95,137.22,689.0,short,-502.97,-0.53171100005476,94091.65,sl,-502.97
22,135.65,136.25,690.0,short,414.0,0.439996535292983,94505.65,sl,414.0
23,134.9,135.02,700.0,long,84.0,0.0888835746857463,94589.65,sl,84.0
24,135.43,140.49,698.0,long,3531.88,3.7338968904103145,98121.53,sl,3531.88
25,140.69,142.93,686.0,short,1536.64,1.5660579283669955,99658.17,sl,1536.64
