,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,1307.64,1307.7,76.0,long,4.56,0.00456,100004.56,,4.56
2,1298.0,1294.65,77.0,long,-257.95,-0.2579382380163464,99746.61,sl,-257.95
3,1288.0,1289.4,77.0,long,107.8,0.10807384832426886,99854.41,sl,107.8
4,1289.31,1286.44,77.0,long,-220.99,-0.22131220844427402,99633.42,sl,-220.99
5,1287.68,1293.32,77.0,long,434.28,0.4358778409894993,100067.7,sl,434.28
6,1302.61,1300.81,76.0,short,-136.8,-0.13670744905698845,99930.9,sl,-136.8
7,1347.44,1303.36,76.0,short,-3350.08,-3.3523965059856358,96580.81999999999,sl,-3350.08
8,1365.0,1347.54,71.0,short,-1239.66,-1.2835467746080436,95341.15999999999,sl,-1239.66
9,1371.29,1357.57,70.0,short,-960.4,-1.0073298877420833,94380.76,sl,-960.4
10,1395.28,1418.72,67.0,long,1570.48,1.6639832101373204,95951.23999999999,sl,1570.48
11,1415.68,1409.46,67.0,long,-416.74,-0.4343247674548032,95534.49999999999,sl,-416.74
12,1385.0,1366.54,68.0,long,-1255.28,-1.313954644657166,94279.21999999999,sl,-1255.28
13,1363.28,1353.34,69.0,long,-685.86,-0.72747738048745,93593.35999999999,sl,-685.86
14,1399.22,1389.41,67.0,short,-657.27,-0.702261357002249,92936.08999999998,sl,-657.27
15,1398.22,1397.4,66.0,short,-54.12,-0.05823356674463065,92881.96999999999,sl,-54.12
16,1365.8,1343.64,68.0,long,-1506.88,-1.6223600769880313,91375.08999999998,sl,-1506.88
17,1331.86,1305.56,68.0,long,-1788.4,-1.9572073745700282,89586.68999999999,sl,-1788.4
18,1290.19,1281.34,69.0,long,-610.65,-0.6816302734256618,88976.04,sl,-610.65
19,1267.16,1267.32,70.0,short,11.2,0.01258765843029202,88987.23999999999,sl,11.2
20,1254.96,1261.17,70.0,long,434.7,0.48849700249159317,89421.93999999999,sl,434.7
21,1257.0,1250.07,71.0,long,-492.03,-0.5502340924386119,88929.90999999999,sl,-492.03
22,1253.72,1238.07,70.0,long,-1095.5,-1.2318690078512395,87834.40999999999,sl,-1095.5
23,1237.84,1232.62,70.0,long,-365.4,-0.41601008078724505,87469.01,sl,-365.4
24,1234.38,1236.01,70.0,long,114.1,0.13044620031711804,87583.11,sl,114.1
25,1238.98,1235.53,70.0,short,-241.5,-0.27573809607811367,87341.61,sl,-241.5
26,1383.18,1368.17,63.0,short,-945.63,-1.082679836105609,86395.98,sl,-945.63
27,1365.71,1354.75,63.0,long,-690.48,-0.7992038518458845,85705.5,sl,-690.48
28,1350.13,1344.94,63.0,long,-326.97,-0.3815041041706775,85378.53,sl,-326.97
29,1348.4,1339.38,63.0,long,-568.26,-0.6655771655942073,84810.27,sl,-568.26
30,1313.32,1323.68,64.0,long,663.04,0.7817921107903558,85473.31,sl,663.04
31,1341.05,1328.0,64.0,short,-835.2,-0.9771471351700315,84638.11,sl,-835.2
32,1377.22,1376.18,61.0,long,-63.44,-0.0749544147429568,84574.67,sl,-63.44
33,1333.43,1342.24,63.0,long,555.03,0.6562603200225315,85129.7,sl,555.03
34,1328.72,1322.54,64.0,short,-395.52,-0.4646087088289986,84734.18,sl,-395.52
35,1324.7,1322.73,63.0,long,-124.11,-0.1464698189089692,84610.06999999999,sl,-124.11
36,1319.43,1321.57,64.0,long,136.96,0.16187198521405316,84747.03,sl,136.96
37,1350.66,1343.0,63.0,short,-482.58,-0.5694358846557809,84264.45,sl,-482.58
38,1377.41,1367.31,61.0,short,-616.1,-0.7311505623071177,83648.34999999999,sl,-616.1
39,1356.47,1342.31,61.0,long,-863.76,-1.0326085332227115,82784.59,sl,-863.76
40,1339.65,1350.75,61.0,long,677.1,0.81790584455392,83461.69,sl,677.1
41,1310.77,1326.16,63.0,long,969.57,1.1616946649414839,84431.26000000001,sl,969.57
42,1291.5,1288.06,65.0,long,-223.6,-0.26483082213862497,84207.66,sl,-223.6
43,1238.68,1229.48,67.0,long,-616.4,-0.731999915447122,83591.26000000001,sl,-616.4
44,1205.94,1204.66,69.0,long,-88.32,-0.1056569789712465,83502.94,sl,-88.32
45,1254.45,1277.82,65.0,short,1519.05,1.8191575051129936,85021.99,sl,1519.05
46,1260.06,1262.84,67.0,short,186.26,0.2190727363591466,85208.25,sl,186.26
47,1262.78,1257.42,67.0,short,-359.12,-0.4214615368816987,84849.13,sl,-359.12
48,1301.43,1294.49,65.0,short,-451.1,-0.5316495289934028,84398.03,sl,-451.1
49,1292.9,1304.67,64.0,short,753.28,0.8925326811538136,85151.31,sl,753.28
50,1352.61,1343.6,63.0,short,-567.63,-0.6666133498122342,84583.68,sl,-567.63
51,1341.43,1330.0,63.0,long,-720.09,-0.8513344418214011,83863.59,sl,-720.09
52,1318.94,1340.46,62.0,short,1334.24,1.5909645651945021,85197.83,sl,1334.24
53,1265.33,1265.31,67.0,short,-1.34,-0.001572810011710392,85196.49,sl,-1.34
54,1279.33,1278.34,66.0,short,-65.34,-0.07669330039300915,85131.15000000001,sl,-65.34
55,1305.66,1303.35,65.0,long,-150.15,-0.17637492269280985,84981.00000000001,sl,-150.15
56,1310.59,1315.0,64.0,short,282.24,0.3321212977018392,85263.24000000002,sl,282.24
57,1331.76,1342.79,64.0,long,705.92,0.8279300669315404,85969.16000000002,sl,705.92
58,1377.27,1374.55,62.0,short,-168.64,-0.19616336835209272,85800.52000000002,sl,-168.64
59,1432.22,1428.8,60.0,short,-205.2,-0.2391593897099924,85595.32000000002,sl,-205.2
60,1413.24,1440.95,59.0,short,1634.89,1.9100226507710931,87230.21000000002,sl,1634.89
