,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,88.07,87.85,1135.0,long,-249.7,-0.2497,99750.3,,-249.7
2,88.46,88.2,1130.0,short,-293.8,-0.2945354550312129,99456.5,sl,-293.8
3,84.06,84.88,1171.0,short,960.22,0.9654673148562437,100416.72,sl,960.22
4,85.49,85.19,1178.0,short,-353.4,-0.35193342303950975,100063.32,sl,-353.4
5,86.09,85.77,1162.0,long,-371.84,-0.37160469990402073,99691.48000000001,sl,-371.84
6,85.93,86.67,1150.0,short,851.0,0.8536336304767469,100542.48000000001,sl,851.0
7,84.83,85.96,1169.0,short,1320.97,1.3138426663038347,101863.45000000001,sl,1320.97
8,86.46,86.23,1181.0,short,-271.63,-0.26666090732249886,101591.82,sl,-271.63
9,85.93,86.25,1182.0,long,378.24,0.3723134401962677,101970.06000000001,sl,378.24
10,84.5,84.08,1206.0,long,-506.52,-0.4967340413450771,101463.54000000001,sl,-506.52
11,85.07,86.11,1192.0,long,1239.68,1.2217984903739807,102703.22,sl,1239.68
12,86.6,86.37,1189.0,short,-273.47,-0.2662720798822082,102429.75,sl,-273.47
13,86.36,87.17,1175.0,short,951.75,0.9291734090925732,103381.5,sl,951.75
14,86.46,86.55,1194.0,short,107.46,0.10394509655982938,103488.96,sl,107.46
15,85.88,88.19,1205.0,long,2783.55,2.6897071919555477,106272.51000000001,sl,2783.55
16,89.46,89.55,1186.0,short,106.74,0.10043989739209132,106379.25000000001,sl,106.74
17,89.37,88.89,1196.0,short,-574.08,-0.5396541148767263,105805.17000000001,sl,-574.08
18,90.47,90.49,1169.0,short,23.38,0.022097218878812816,105828.55000000002,sl,23.38
19,93.55,93.25,1134.0,short,-340.2,-0.32146334802848564,105488.35000000002,sl,-340.2
20,95.25,94.91,1107.0,long,-376.38,-0.35679769377376735,105111.97000000002,sl,-376.38
21,94.88,94.75,1107.0,long,-143.91,-0.1369111434216293,104968.06000000001,sl,-143.91
22,94.48,94.72,1111.0,long,266.64,0.2540201276464478,105234.70000000001,sl,266.64
23,96.33,96.09,1095.0,short,-262.8,-0.24972751383336486,104971.90000000001,sl,-262.8
24,94.54,94.46,1110.0,long,-88.8,-0.0845940675552219,104883.1,sl,-88.8
25,95.18,95.56,1097.0,short,416.86,0.3974520203922271,105299.96,sl,416.86
26,97.16,99.67,1083.0,long,2718.33,2.5815109521409125,108018.29000000001,sl,2718.33
27,98.49,98.11,1096.0,long,-416.48,-0.38556433359572717,107601.81000000001,sl,-416.48
28,98.26,100.15,1095.0,long,2069.55,1.9233412523451046,109671.36000000002,sl,2069.55
29,99.88,99.79,1098.0,long,-98.82,-0.09010556630281596,109572.54000000001,sl,-98.82
30,101.81,101.66,1077.0,short,-161.55,-0.14743657489367318,109410.99,sl,-161.55
31,101.41,102.0,1072.0,short,632.48,0.5780772114391799,110043.47,sl,632.48
32,102.11,102.35,1077.0,long,258.48,0.23488899432197113,110301.95,sl,258.48
33,100.05,99.46,1109.0,short,-654.31,-0.5931989416324915,109647.64,sl,-654.31
34,99.72,100.06,1095.0,short,372.3,0.33954219169696676,110019.94,sl,372.3
35,98.0,97.69,1122.0,long,-347.82,-0.3161426919520225,109672.12,sl,-347.82
36,97.82,97.38,1121.0,long,-493.24,-0.44974055393476486,109178.87999999999,sl,-493.24
37,97.06,97.11,1124.0,short,56.2,0.051475157099981246,109235.07999999999,sl,56.2
38,96.43,95.92,1132.0,long,-577.32,-0.528511536770056,108657.75999999998,sl,-577.32
39,95.38,94.99,1143.0,short,-445.77,-0.4102514169259518,108211.98999999998,sl,-445.77
40,96.79,97.05,1115.0,short,289.9,0.2679000728107856,108501.88999999997,sl,289.9
41,97.82,97.68,1110.0,short,-155.4,-0.14322331159392712,108346.48999999998,sl,-155.4
42,97.11,96.99,1117.0,short,-134.04,-0.12371420615471718,108212.44999999998,sl,-134.04
43,98.62,98.28,1097.0,long,-372.98,-0.34467383374094207,107839.46999999999,sl,-372.98
44,98.3,98.47,1095.0,short,186.15,0.17261768812476547,108025.61999999998,sl,186.15
45,96.86,96.14,1115.0,long,-802.8,-0.743157039968852,107222.81999999998,sl,-802.8
46,97.5,98.76,1085.0,short,1367.1,1.2750084357042655,108589.91999999998,sl,1367.1
47,97.5,97.71,1111.0,short,233.31,0.21485419641160067,108823.22999999998,sl,233.31
48,94.3,93.76,1154.0,long,-623.16,-0.5726350890338396,108200.06999999998,sl,-623.16
49,93.66,93.68,1155.0,long,23.1,0.02134933923795059,108223.16999999998,sl,23.1
50,92.99,92.54,1163.0,long,-523.35,-0.48358406060365833,107699.81999999998,sl,-523.35
51,95.82,95.65,1125.0,short,-191.25,-0.17757689845721195,107508.56999999998,sl,-191.25
52,99.21,98.93,1086.0,short,-304.08,-0.28284256780645495,107204.48999999998,sl,-304.08
53,98.87,99.4,1084.0,long,574.52,0.5359103895741681,107779.00999999998,sl,574.52
54,96.74,96.23,1114.0,long,-568.14,-0.5271341794659277,107210.86999999998,sl,-568.14
55,95.23,95.12,1125.0,long,-123.75,-0.11542672865167498,107087.11999999998,sl,-123.75
