,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,100.95,101.04,989.0,short,89.01,0.08901,100089.01,,89.01
2,99.25,98.62,1014.0,short,-638.82,-0.6382518919909389,99450.18999999999,sl,-638.82
3,98.59,99.5,999.0,short,909.09,0.914115900633272,100359.27999999998,sl,909.09
4,99.8,98.61,1017.0,short,-1210.23,-1.2058974516357632,99149.04999999999,sl,-1210.23
5,100.18,99.52,996.0,short,-657.36,-0.6630018139356858,98491.68999999999,sl,-657.36
6,100.36,100.25,982.0,short,-108.02,-0.10967422733836733,98383.66999999998,sl,-108.02
7,97.55,99.98,984.0,short,2391.12,2.4304033382775825,100774.78999999998,sl,2391.12
8,97.46,96.95,1039.0,short,-529.89,-0.5258160299813079,100244.89999999998,sl,-529.89
9,97.84,97.53,1027.0,short,-318.37,-0.3175922166613963,99926.52999999998,sl,-318.37
10,97.94,97.82,1021.0,short,-122.52,-0.12261008162697135,99804.00999999998,sl,-122.52
11,99.5,97.97,1018.0,short,-1557.54,-1.5605986172299091,98246.46999999999,sl,-1557.54
12,105.01,104.37,941.0,short,-602.24,-0.6129889450481021,97644.22999999998,sl,-602.24
13,104.68,104.9,930.0,short,204.6,0.20953619072012758,97848.82999999999,sl,204.6
14,103.06,103.57,944.0,short,481.44,0.4920242786755857,98330.26999999999,sl,481.44
15,103.41,102.89,955.0,short,-496.6,-0.5050326822045745,97833.66999999998,sl,-496.6
16,103.44,103.18,948.0,short,-246.48,-0.25193780423447265,97587.18999999999,sl,-246.48
17,103.9,103.51,942.0,short,-367.38,-0.37646334524029235,97219.80999999998,sl,-367.38
18,102.73,101.95,953.0,short,-743.34,-0.7645972564645005,96476.46999999999,sl,-743.34
19,102.15,104.02,944.0,long,1765.28,1.8297518555560752,98241.74999999999,sl,1765.28
20,105.57,104.62,930.0,long,-883.5,-0.8993121559825635,97358.24999999999,sl,-883.5
21,104.34,104.04,933.0,long,-279.9,-0.28749489642634296,97078.34999999999,sl,-279.9
22,103.3,104.3,930.0,short,930.0,0.9579890881952569,98008.34999999999,sl,930.0
23,103.7,102.6,955.0,short,-1050.5,-1.0718474497325994,96957.84999999999,sl,-1050.5
24,107.98,108.43,897.0,long,403.65,0.4163149244749136,97361.49999999999,sl,403.65
25,108.48,107.4,897.0,long,-968.76,-0.9950134293329501,96392.73999999999,sl,-968.76
26,106.66,107.03,900.0,short,333.0,0.34546170178376506,96725.73999999999,sl,333.0
27,104.05,106.66,906.0,short,2364.66,2.4447060317139986,99090.4,sl,2364.66
28,102.79,104.11,951.0,short,1255.32,1.2668432057999564,100345.72,sl,1255.32
