,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,111.99,113.41,881.0,short,1251.02,1.25102,101251.02,,1251.02
2,105.28,103.76,961.0,long,-1460.72,-1.4426718861696406,99790.3,sl,-1460.72
3,101.4,101.32,984.0,long,-78.72,-0.07888542273146788,99711.58,sl,-78.72
4,101.42,100.94,983.0,long,-471.84,-0.4732048173341551,99239.74,sl,-471.84
5,104.09,103.63,957.0,short,-440.22,-0.4435924560060315,98799.52,sl,-440.22
6,100.72,100.74,980.0,long,19.6,0.019838153059852922,98819.12000000001,sl,19.6
7,99.29,99.04,995.0,long,-248.75,-0.2517225411438596,98570.37000000001,sl,-248.75
8,101.31,104.69,972.0,long,3285.36,3.333009706669458,101855.73000000001,sl,3285.36
9,110.92,109.65,928.0,short,-1178.56,-1.1570875786762314,100677.17000000001,sl,-1178.56
10,104.14,104.16,966.0,short,19.32,0.019190050733448306,100696.49000000002,sl,19.32
11,103.3,103.78,974.0,long,467.52,0.4642862924020489,101164.01000000002,sl,467.52
12,103.67,103.6,975.0,long,-68.25,-0.06746470409783083,101095.76000000002,sl,-68.25
13,103.7,103.57,974.0,long,-126.62,-0.12524758704024777,100969.14000000003,sl,-126.62
14,103.9,103.68,973.0,short,-214.06,-0.21200537114607487,100755.08000000003,sl,-214.06
15,102.75,102.59,980.0,long,-156.8,-0.1556249074488353,100598.28000000003,sl,-156.8
16,103.09,102.18,975.0,long,-887.25,-0.881973329961506,99711.03000000003,sl,-887.25
17,105.37,105.32,946.0,short,-47.3,-0.04743707892697526,99663.73000000003,sl,-47.3
18,105.9,107.05,931.0,short,1070.65,1.0742624222472907,100734.38000000002,sl,1070.65
19,108.99,108.53,928.0,short,-426.88,-0.4237679330532435,100307.50000000001,sl,-426.88
20,108.41,108.56,923.0,short,138.45,0.13802557136804325,100445.95000000001,sl,138.45
21,108.46,106.87,926.0,long,-1472.34,-1.4658032504048195,98973.61000000002,sl,-1472.34
22,108.79,108.92,908.0,short,118.04,0.11926411494942944,99091.65000000001,sl,118.04
23,107.95,108.1,916.0,short,137.4,0.13865951369262697,99229.05,sl,137.4
24,109.09,109.22,908.0,short,118.04,0.11895709976060438,99347.09,sl,118.04
25,109.51,109.15,910.0,short,-327.6,-0.3297529902486324,99019.48999999999,sl,-327.6
26,109.85,109.56,903.0,short,-261.87,-0.26446308701448573,98757.62,sl,-261.87
27,109.37,109.76,899.0,short,350.61,0.3550207062503126,99108.23,sl,350.61
28,106.88,106.57,927.0,long,-287.37,-0.2899557382873249,98820.86,sl,-287.37
29,103.45,102.94,955.0,long,-487.05,-0.4928615274143536,98333.81,sl,-487.05
30,103.35,103.67,948.0,short,303.36,0.30850019947360935,98637.17,sl,303.36
31,98.57,97.75,1000.0,long,-820.0,-0.8313296093146225,97817.17,sl,-820.0
32,95.53,96.23,1016.0,short,711.2,0.7270707177482236,98528.37,sl,711.2
33,94.62,94.88,1041.0,long,270.66,0.2747026059600905,98799.03,sl,270.66
34,96.57,96.26,1026.0,short,-318.06,-0.32192623753492317,98480.97,sl,-318.06
35,97.84,97.59,1009.0,short,-252.25,-0.25614085645175916,98228.72,sl,-252.25
36,98.13,97.94,1002.0,short,-190.38,-0.19381297038177836,98038.34,sl,-190.38
37,99.14,99.41,986.0,short,266.22,0.27154682545624503,98304.56,sl,266.22
38,98.5,99.65,998.0,long,1147.7,1.1674941630378082,99452.26,sl,1147.7
39,104.78,103.85,949.0,long,-882.57,-0.8874308135380735,98569.68999999999,sl,-882.57
40,103.79,103.37,949.0,long,-398.58,-0.40436365377632827,98171.10999999999,sl,-398.58
41,109.4,109.06,900.0,short,-306.0,-0.31170066224167176,97865.10999999999,sl,-306.0
42,111.29,110.76,883.0,short,-467.99,-0.4781990231247889,97397.11999999998,sl,-467.99
43,113.69,113.45,858.0,short,-205.92,-0.21142308930695283,97191.19999999998,sl,-205.92
44,110.46,110.75,877.0,short,254.33,0.26168006980055813,97445.52999999998,sl,254.33
45,109.36,109.73,888.0,short,328.56,0.3371729826909454,97774.08999999998,sl,328.56
46,109.52,109.58,892.0,short,53.52,0.05473842814594338,97827.60999999999,sl,53.52
47,110.55,110.14,888.0,short,-364.08,-0.37216487247311886,97463.52999999998,sl,-364.08
48,109.0,108.73,894.0,long,-241.38,-0.2476618690088488,97222.14999999998,sl,-241.38
49,108.21,111.8,898.0,long,3223.82,3.315931606120623,100445.96999999999,sl,3223.82
50,111.1,109.47,917.0,short,-1494.71,-1.4880736379966266,98951.25999999998,sl,-1494.71
51,111.07,110.74,893.0,short,-294.69,-0.2978132870667843,98656.56999999998,sl,-294.69
52,109.71,110.78,899.0,long,961.93,0.9750288298082938,99618.49999999997,sl,961.93
