,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,3.29,3.23,30959.0,short,-1857.54,-1.85754,98142.46,,-1857.54
2,3.25,3.25,30197.0,long,0.0,0.0,98142.46,sl,0.0
3,3.36,3.37,29122.0,short,291.22,0.2967319139952269,98433.68000000001,sl,291.22
4,3.35,3.38,29122.0,short,873.66,0.8875620620909427,99307.34000000001,sl,873.66
5,3.7,3.71,26839.0,long,268.39,0.2702619967466654,99575.73000000001,sl,268.39
6,3.82,3.8,26066.0,long,-521.32,-0.5235412283696037,99054.41,sl,-521.32
7,3.83,3.78,25862.0,long,-1293.1,-1.305444149331665,97761.31,sl,-1293.1
8,3.81,3.75,25659.0,long,-1539.54,-1.5747947731060479,96221.77,sl,-1539.54
9,3.78,3.81,25255.0,short,757.65,0.7873997745000949,96979.42,sl,757.65
10,3.6,3.75,25861.0,short,3879.15,3.9999723652709,100858.56999999999,sl,3879.15
11,3.69,3.62,27861.0,short,-1950.27,-1.9336681057445095,98908.29999999999,sl,-1950.27
12,3.72,3.68,26877.0,short,-1075.08,-1.0869461915734069,97833.21999999999,sl,-1075.08
13,3.56,3.56,27481.0,short,0.0,0.0,97833.21999999999,sl,0.0
14,3.52,3.52,27793.0,short,0.0,0.0,97833.21999999999,sl,0.0
15,3.52,3.52,27793.0,short,0.0,0.0,97833.21999999999,sl,0.0
16,3.45,3.51,28357.0,long,1701.42,1.7391025257065036,99534.63999999998,sl,1701.42
17,3.48,3.44,28601.0,long,-1144.04,-1.149388795699668,98390.59999999999,sl,-1144.04
18,3.47,3.48,28273.0,short,282.73,0.2873546863216609,98673.32999999999,sl,282.73
19,3.53,3.45,27952.0,long,-2236.16,-2.266225331606828,96437.16999999998,sl,-2236.16
20,3.47,3.47,0.0,long,0.0,0.0,96437.16999999998,sl,0.0
21,3.47,3.49,27791.0,long,555.82,0.576354532178827,96992.98999999999,sl,555.82
