,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,35.91,36.3,2754.0,short,1074.06,1.07406,101074.06,,1074.06
2,35.26,35.2,2866.0,long,-171.96,-0.17013267301224472,100902.09999999999,sl,-171.96
3,35.24,35.37,2852.0,short,370.76,0.3674452761637271,101272.85999999999,sl,370.76
4,35.07,35.76,2832.0,short,1954.08,1.9295199128374574,103226.93999999999,sl,1954.08
5,35.51,35.38,2917.0,short,-379.21,-0.3673556534757303,102847.72999999998,sl,-379.21
6,35.47,35.19,2899.0,long,-811.72,-0.789244449051039,102036.00999999998,sl,-811.72
7,34.97,35.29,2891.0,short,925.12,0.9066603055137105,102961.12999999998,sl,925.12
8,36.73,36.48,2822.0,short,-705.5,-0.6852100399442005,102255.62999999998,sl,-705.5
9,36.62,36.52,2792.0,long,-279.2,-0.2730412007632245,101976.42999999998,sl,-279.2
10,36.79,36.64,2771.0,long,-415.65,-0.40759418622518956,101560.77999999998,sl,-415.65
11,35.9,36.93,2750.0,short,2832.5,2.7889703092079445,104393.27999999998,sl,2832.5
12,36.12,35.82,2914.0,short,-874.2,-0.8374102241063793,103519.07999999999,sl,-874.2
13,36.3,36.24,2856.0,short,-171.36,-0.165534701428954,103347.71999999999,sl,-171.36
14,36.74,36.58,2825.0,short,-452.0,-0.4373584632539547,102895.71999999999,sl,-452.0
15,37.01,37.17,2768.0,short,442.88,0.43041634773535775,103338.59999999999,sl,442.88
16,36.05,35.79,2866.0,long,-745.16,-0.7210858285287395,102593.43999999999,sl,-745.16
17,35.81,35.74,2864.0,long,-200.48,-0.19541210432167982,102392.95999999999,sl,-200.48
18,35.57,35.37,2894.0,short,-578.8,-0.5652732375350805,101814.15999999999,sl,-578.8
19,35.8,35.72,2850.0,short,-228.0,-0.2239374169565412,101586.15999999999,sl,-228.0
20,35.4,35.86,2869.0,long,1319.74,1.2991336615145213,102905.9,sl,1319.74
21,36.46,36.42,2825.0,short,-113.0,-0.10980905856709869,102792.9,sl,-113.0
22,35.33,35.05,2909.0,long,-814.52,-0.7923893576307314,101978.37999999999,sl,-814.52
23,34.83,34.94,2918.0,short,320.98,0.31475298980038713,102299.35999999999,sl,320.98
