,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,305.01,304.88,327.0,long,-42.51,-0.04251,99957.49,,-42.51
2,304.29,306.45,328.0,long,708.48,0.7087813029318762,100665.97,sl,708.48
3,306.43,305.93,328.0,long,-164.0,-0.16291503474312122,100501.97,sl,-164.0
4,306.96,305.23,327.0,long,-565.71,-0.5628844887319124,99936.26,sl,-565.71
5,305.83,304.34,326.0,long,-485.74,-0.48604980814771337,99450.51999999999,sl,-485.74
6,303.4,301.18,327.0,long,-725.94,-0.72995093439431,98724.57999999999,sl,-725.94
7,300.29,300.25,328.0,short,-13.12,-0.013289496901379576,98711.45999999999,sl,-13.12
8,299.43,299.92,329.0,short,161.21,0.1633143709960323,98872.67,sl,161.21
9,297.19,298.39,331.0,short,397.2,0.4017288093868609,99269.87,sl,397.2
10,301.64,297.78,333.0,short,-1285.38,-1.2948339712744665,97984.48999999999,sl,-1285.38
11,299.29,296.78,330.0,short,-828.3,-0.8453378692893131,97156.18999999999,sl,-828.3
12,293.5,297.46,326.0,short,1290.96,1.328747041233297,98447.15,sl,1290.96
13,293.58,292.9,336.0,short,-228.48,-0.23208391507524595,98218.67,sl,-228.48
14,292.07,293.52,334.0,short,484.3,0.49308344330054565,98702.97,sl,484.3
15,294.9,293.19,336.0,short,-574.56,-0.58211014319022,98128.41,sl,-574.56
16,295.74,295.1,332.0,short,-212.48,-0.21653260253579973,97915.93000000001,sl,-212.48
17,305.17,304.61,320.0,long,-179.2,-0.18301414284682788,97736.73000000001,sl,-179.2
18,306.96,305.8,318.0,long,-368.88,-0.37742208072645766,97367.85,sl,-368.88
19,306.52,306.52,317.0,long,0.0,0.0,97367.85,sl,0.0
20,312.46,314.89,311.0,long,755.73,0.7761596872068142,98123.58,sl,755.73
21,314.07,316.26,312.0,long,683.28,0.6963463827960618,98806.86,sl,683.28
22,316.07,317.26,312.0,long,371.28,0.3757633832306785,99178.14,sl,371.28
23,317.1,317.81,312.0,long,221.52,0.22335567091699848,99399.66,sl,221.52
24,318.49,319.22,312.0,long,227.76,0.22913559261671518,99627.42,sl,227.76
25,319.33,318.77,311.0,long,-174.16,-0.17481131198619818,99453.26,sl,-174.16
26,318.52,318.63,312.0,long,34.32,0.0345086727172141,99487.58,sl,34.32
27,319.24,317.85,311.0,long,-432.29,-0.4345165497039932,99055.29000000001,sl,-432.29
28,317.64,318.54,311.0,long,279.9,0.2825694619641212,99335.19,sl,279.9
29,317.98,318.97,311.0,short,307.89,0.30995058246730084,99643.08,sl,307.89
30,317.26,318.11,313.0,short,266.05,0.2670029870614196,99909.13,sl,266.05
31,316.94,317.63,314.0,short,216.66,0.2168570580086124,100125.79000000001,sl,216.66
32,318.64,317.03,315.0,short,-507.15,-0.5065128574765801,99618.64000000001,sl,-507.15
33,319.07,319.2,312.0,short,40.56,0.040715271760385405,99659.20000000001,sl,40.56
34,317.45,318.67,312.0,short,380.64,0.38194165716762724,100039.84000000001,sl,380.64
35,318.41,317.62,314.0,short,-248.06,-0.24796121225303838,99791.78000000001,sl,-248.06
36,315.19,318.16,313.0,short,929.61,0.9315496727285553,100721.39000000001,sl,929.61
37,310.65,315.36,319.0,short,1502.49,1.4917288174835552,102223.88000000002,sl,1502.49
38,309.96,310.11,329.0,short,49.35,0.048276390995919925,102273.23000000003,sl,49.35
39,310.23,309.56,330.0,short,-221.1,-0.21618560399431988,102052.13000000002,sl,-221.1
40,311.42,310.04,329.0,short,-454.02,-0.4448902732358452,101598.11000000002,sl,-454.02
41,312.3,311.08,326.0,short,-397.72,-0.3914639750680401,101200.39000000001,sl,-397.72
42,313.01,312.82,323.0,short,-61.37,-0.06064205879048489,101139.02000000002,sl,-61.37
43,311.19,311.67,324.0,short,155.52,0.15376854551289895,101294.54000000002,sl,155.52
44,310.77,310.42,326.0,short,-114.1,-0.11264180675483591,101180.44000000002,sl,-114.1
45,316.44,319.95,319.0,long,1119.69,1.1066269330317202,102300.13000000002,sl,1119.69
46,319.18,319.73,320.0,long,176.0,0.17204279212548407,102476.13000000002,sl,176.0
47,319.98,318.88,320.0,long,-352.0,-0.3434946265047284,102124.13000000002,sl,-352.0
48,319.14,317.65,319.0,long,-475.31,-0.4654237935735658,101648.82000000002,sl,-475.31
49,319.0,319.35,318.0,long,111.3,0.10949463063122619,101760.12000000002,sl,111.3
50,319.01,319.16,318.0,long,47.7,0.046874944722942534,101807.82000000002,sl,47.7
51,318.55,320.03,319.0,long,472.12,0.46373647918205096,102279.94000000002,sl,472.12
52,327.75,330.78,312.0,long,945.36,0.9242868151858515,103225.30000000002,sl,945.36
53,330.15,328.6,312.0,long,-483.6,-0.46848979852807393,102741.70000000001,sl,-483.6
54,328.2,324.36,313.0,long,-1201.92,-1.1698463233526406,101539.78000000001,sl,-1201.92
55,331.29,331.8,306.0,long,156.06,0.15369345885917812,101695.84000000001,sl,156.06
56,338.2,338.33,300.0,long,39.0,0.03834965127383774,101734.84000000001,sl,39.0
57,338.68,339.26,300.0,long,174.0,0.1710328536418792,101908.84000000001,sl,174.0
58,339.71,342.12,299.0,long,720.59,0.7070927311114521,102629.43000000001,sl,720.59
59,342.54,340.97,299.0,long,-469.43,-0.45740291064658545,102160.00000000001,sl,-469.43
60,340.97,340.43,299.0,long,-161.46,-0.1580462020360219,101998.54000000001,sl,-161.46
61,339.89,335.9,300.0,long,-1197.0,-1.1735462095829998,100801.54000000001,sl,-1197.0
