,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,303.1,302.96,330.0,short,-46.2,-0.0462,99953.8,,-46.2
2,313.37,312.58,319.0,short,-252.01,-0.2521264824348849,99701.79000000001,sl,-252.01
3,313.28,314.0,318.0,long,228.96,0.22964482382914087,99930.75000000001,sl,228.96
4,307.52,305.82,324.0,long,-550.8,-0.5511816933226258,99379.95000000001,sl,-550.8
5,304.24,301.52,326.0,long,-886.72,-0.8922524110748696,98493.23000000001,sl,-886.72
6,292.98,302.98,336.0,long,3360.0,3.4114019816387375,101853.23000000001,sl,3360.0
7,305.01,303.34,335.0,short,-559.45,-0.5492707496856015,101293.78000000001,sl,-559.45
8,304.92,306.6,330.0,short,554.4,0.5473188975670568,101848.18000000001,sl,554.4
9,306.72,306.15,332.0,short,-189.24,-0.18580597120144907,101658.94,sl,-189.24
10,303.15,303.0,335.0,long,-50.25,-0.04942998618714694,101608.69,sl,-50.25
11,301.64,296.08,343.0,short,-1907.08,-1.8768867111661414,99701.61,sl,-1907.08
12,292.75,290.99,340.0,long,-598.4,-0.6001909096553205,99103.21,sl,-598.4
13,291.09,294.23,340.0,long,1067.6,1.0772607668308625,100170.81000000001,sl,1067.6
14,298.86,297.7,336.0,short,-389.76,-0.38909538617088146,99781.05000000002,sl,-389.76
15,296.38,299.36,333.0,short,992.34,0.9945174960576181,100773.39000000001,sl,992.34
16,304.14,305.53,329.0,short,457.31,0.4538003534464802,101230.70000000001,sl,457.31
17,305.64,307.1,329.0,short,480.34,0.4745003245063008,101711.04000000001,sl,480.34
18,306.32,306.52,332.0,long,66.4,0.06528298206369731,101777.44,sl,66.4
19,308.02,308.73,329.0,short,233.59,0.22951058702203553,102011.03,sl,233.59
20,318.55,319.45,319.0,short,287.1,0.28144015406961387,102298.13,sl,287.1
21,317.2,316.73,322.0,long,-151.34,-0.14794014318736814,102146.79000000001,sl,-151.34
22,316.17,317.22,323.0,long,339.15,0.332022181020079,102485.94,sl,339.15
23,316.89,316.89,323.0,long,0.0,0.0,102485.94,sl,0.0
24,316.72,317.12,323.0,long,129.2,0.12606607306329043,102615.14,sl,129.2
25,317.51,316.73,323.0,long,-251.94,-0.24551932590064196,102363.2,sl,-251.94
26,316.58,316.96,323.0,long,122.74,0.11990637260265408,102485.94,sl,122.74
27,313.01,312.18,328.0,short,-272.24,-0.2656364375445061,102213.7,sl,-272.24
28,311.8,311.68,327.0,short,-39.24,-0.03839015709244456,102174.45999999999,sl,-39.24
29,312.1,311.48,328.0,short,-203.36,-0.19903212603227857,101971.09999999999,sl,-203.36
30,310.19,309.61,328.0,long,-190.24,-0.18656266334284913,101780.85999999999,sl,-190.24
31,315.1,314.32,323.0,short,-251.94,-0.2475318050957715,101528.91999999998,sl,-251.94
32,316.31,317.53,319.0,short,389.18,0.38331935373684667,101918.09999999998,sl,389.18
33,310.02,309.69,328.0,long,-108.24,-0.10620292175776433,101809.85999999997,sl,-108.24
34,307.2,310.18,331.0,long,986.38,0.9688452572275418,102796.23999999998,sl,986.38
35,310.23,309.71,331.0,short,-172.12,-0.16743803080735253,102624.11999999998,sl,-172.12
36,313.79,313.24,327.0,short,-179.85,-0.17525119825631638,102444.26999999997,sl,-179.85
37,312.66,312.05,327.0,long,-199.47,-0.19471074370484562,102244.79999999997,sl,-199.47
38,307.57,307.37,332.0,long,-66.4,-0.06494217798851386,102178.39999999998,sl,-66.4
39,308.04,307.96,331.0,long,-26.48,-0.025915457670114234,102151.91999999998,sl,-26.48
40,313.02,312.27,327.0,short,-245.25,-0.24008359314244906,101906.66999999998,sl,-245.25
41,312.76,312.52,325.0,long,-78.0,-0.07654062290525245,101828.66999999998,sl,-78.0
42,312.56,314.12,325.0,long,507.0,0.4978951409264209,102335.66999999998,sl,507.0
43,319.57,321.58,318.0,short,639.18,0.6245916013448684,102974.84999999998,sl,639.18
44,319.58,319.73,322.0,long,48.3,0.04690465681668874,103023.14999999998,sl,48.3
45,320.66,319.59,322.0,short,-344.54,-0.33442968886119295,102678.60999999999,sl,-344.54
46,327.77,327.47,313.0,short,-93.9,-0.09145040042906698,102584.70999999999,sl,-93.9
47,327.33,328.32,312.0,short,308.88,0.30109750273700636,102893.59,sl,308.88
48,335.54,334.14,307.0,short,-429.8,-0.41771309563598663,102463.79,sl,-429.8
49,339.5,340.18,301.0,short,204.68,0.19975837317749034,102668.46999999999,sl,204.68
50,342.99,341.76,300.0,short,-369.0,-0.3594092714150703,102299.46999999999,sl,-369.0
51,337.03,337.72,303.0,long,209.07,0.20437056027758504,102508.54,sl,209.07
52,336.29,337.25,304.0,long,291.84,0.2846982309961687,102800.37999999999,sl,291.84
53,332.89,332.33,308.0,long,-172.48,-0.1677814809633972,102627.9,sl,-172.48
