,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,1.18,1.15,84745.0,long,-2542.35,-2.54235,97457.65,,-2542.35
2,1.2,1.18,81214.0,long,-1624.28,-1.6666521304381954,95833.37,sl,-1624.28
3,1.14,1.19,80532.0,short,4026.6,4.2016679576226945,99859.97,sl,4026.6
4,1.19,1.19,83915.0,long,0.0,0.0,99859.97,sl,0.0
5,1.25,1.2,79887.0,long,-3994.35,-3.999951131569537,95865.62,sl,-3994.35
6,1.17,1.23,81936.0,long,4916.16,5.128178381363413,100781.78,sl,4916.16
7,1.23,1.2,81936.0,long,-2458.08,-2.4390122897214157,98323.7,sl,-2458.08
8,1.22,1.2,81936.0,short,-1638.72,-1.6666581912600928,96684.98,sl,-1638.72
9,1.23,1.21,79904.0,short,-1598.08,-1.652873072942664,95086.9,sl,-1598.08
10,1.21,1.2,79239.0,short,-792.39,-0.8333324569420184,94294.51,sl,-792.39
11,1.26,1.24,74836.0,long,-1496.72,-1.5872822288381372,92797.79,sl,-1496.72
12,1.25,1.23,74238.0,long,-1484.76,-1.599994999880924,91313.03,sl,-1484.76
13,1.22,1.21,74846.0,long,-748.46,-0.819663962525392,90564.56999999999,sl,-748.46
14,1.24,1.24,73035.0,short,0.0,0.0,90564.56999999999,sl,0.0
15,1.21,1.24,73035.0,short,2191.05,2.41932358316282,92755.62,sl,2191.05
16,1.23,1.23,75411.0,short,0.0,0.0,92755.62,sl,0.0
17,1.11,1.09,85096.0,short,-1701.92,-1.8348429992705566,91053.7,sl,-1701.92
18,0.99,1.0,91053.0,short,910.53,0.9999923122289374,91964.23,sl,910.53
19,1.0,1.0,91964.0,short,0.0,0.0,91964.23,sl,0.0
20,1.05,0.97,94808.0,short,-7584.64,-8.247380530451895,84379.59,sl,-7584.64
21,0.98,0.98,86101.0,short,0.0,0.0,84379.59,sl,0.0
22,1.02,0.95,88820.0,short,-6217.4,-7.36836953106788,78162.19,sl,-6217.4
23,0.95,0.96,81418.0,short,814.18,1.04165453910644,78976.37,sl,814.18
24,0.95,0.94,84017.0,short,-840.17,-1.0638245338447438,78136.2,sl,-840.17
25,0.96,0.95,82248.0,short,-822.48,-1.0526234958956284,77313.72,sl,-822.48
26,0.95,0.94,81382.0,long,-813.82,-1.0526204145913558,76499.9,sl,-813.82
27,0.94,0.93,81382.0,long,-813.82,-1.0638183840763193,75686.07999999999,sl,-813.82
28,0.92,0.94,82267.0,long,1645.34,2.173900405464255,77331.41999999998,sl,1645.34
