,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,42.05,42.1,2378.0,long,118.9,0.11889999999999999,100118.9,,118.9
2,42.07,41.99,2379.0,long,-190.32,-0.19009397825984906,99928.57999999999,sl,-190.32
3,42.03,41.75,2377.0,long,-665.56,-0.6660356826845734,99263.01999999999,sl,-665.56
4,42.45,43.38,2338.0,long,2174.34,2.190483424743676,101437.35999999999,sl,2174.34
5,43.25,43.03,2345.0,long,-515.9,-0.5085897345908845,100921.45999999999,sl,-515.9
6,43.01,42.88,2346.0,long,-304.98,-0.3021953903560254,100616.48,sl,-304.98
7,42.78,42.76,2351.0,long,-47.02,-0.04673190713887029,100569.45999999999,sl,-47.02
8,42.83,43.05,2348.0,long,516.56,0.5136350538225024,101086.01999999999,sl,516.56
9,42.94,43.01,2350.0,short,164.5,0.1627326904353342,101250.51999999999,sl,164.5
10,42.9,42.78,2366.0,short,-283.92,-0.28041337466711286,100966.59999999999,sl,-283.92
11,42.83,42.85,2356.0,short,47.12,0.046668898427796916,101013.71999999999,sl,47.12
12,42.85,42.75,2362.0,short,-236.2,-0.23382962235229038,100777.51999999999,sl,-236.2
13,43.01,42.86,2351.0,short,-352.65,-0.3499292302489682,100424.87,sl,-352.65
14,42.72,43.04,2333.0,short,746.56,0.7434015100044441,101171.43,sl,746.56
15,42.57,42.74,2376.0,long,403.92,0.3992431460146407,101575.34999999999,sl,403.92
16,42.65,42.57,2381.0,long,-190.48,-0.1875258121187867,101384.87,sl,-190.48
17,42.58,42.52,2381.0,long,-142.86,-0.14090859908386727,101242.01,sl,-142.86
18,42.58,42.47,2377.0,long,-261.47,-0.25826235571577455,100980.54,sl,-261.47
19,42.55,42.37,2383.0,short,-428.94,-0.42477491207711904,100551.59999999999,sl,-428.94
20,41.72,42.04,2391.0,short,765.12,0.7609227501103911,101316.71999999999,sl,765.12
21,41.81,41.72,2428.0,short,-218.52,-0.2156800970264336,101098.19999999998,sl,-218.52
22,41.8,41.7,2424.0,short,-242.4,-0.23976688012249484,100855.79999999999,sl,-242.4
23,41.86,41.74,2416.0,short,-289.92,-0.28745991802157145,100565.87999999999,sl,-289.92
24,41.66,41.44,2413.0,long,-530.86,-0.5278728729863449,100035.01999999999,sl,-530.86
25,41.5,41.55,2410.0,long,120.5,0.12045781567295134,100155.51999999999,sl,120.5
26,41.56,41.51,2409.0,long,-120.45,-0.12026296703366926,100035.06999999999,sl,-120.45
27,39.78,39.71,2519.0,short,-176.33,-0.1762681827483102,99858.73999999999,sl,-176.33
28,39.71,39.65,2518.0,short,-151.08,-0.1512937175053481,99707.65999999999,sl,-151.08
29,39.69,39.68,2512.0,short,-25.12,-0.02519365111968329,99682.54,sl,-25.12
30,39.67,39.56,2519.0,short,-277.09,-0.2779724513440368,99405.45,sl,-277.09
31,39.65,39.6,2510.0,short,-125.5,-0.1262506230795193,99279.95,sl,-125.5
32,39.79,39.68,2502.0,short,-275.22,-0.2772160944883635,99004.73,sl,-275.22
33,39.17,39.31,2518.0,short,352.52,0.3560637961438812,99357.25,sl,352.52
34,39.15,39.18,2535.0,short,76.05,0.07654197353489554,99433.3,sl,76.05
35,39.24,39.13,2541.0,short,-279.51,-0.2811030107619882,99153.79000000001,sl,-279.51
36,39.18,39.17,2531.0,short,-25.31,-0.025526003595021426,99128.48000000001,sl,-25.31
37,39.32,39.2,2528.0,short,-303.36,-0.30602708727098404,98825.12000000001,sl,-303.36
38,37.9,39.01,2533.0,short,2811.63,2.84505599386067,101636.75000000001,sl,2811.63
39,37.74,37.81,2688.0,short,188.16,0.18512988658137924,101824.91000000002,sl,188.16
40,37.9,37.75,2697.0,short,-404.55,-0.39729963915509475,101420.36000000002,sl,-404.55
41,37.92,37.92,2674.0,short,0.0,0.0,101420.36000000002,sl,0.0
42,38.06,37.87,2678.0,short,-508.82,-0.5016941371535262,100911.54000000001,sl,-508.82
43,37.49,38.01,2654.0,short,1380.08,1.3676136544938269,102291.62000000001,sl,1380.08
44,38.35,37.79,2706.0,short,-1515.36,-1.481411673800845,100776.26000000001,sl,-1515.36
45,38.38,38.31,2630.0,short,-184.1,-0.1826819133792026,100592.16,sl,-184.1
46,38.31,38.31,0.0,long,0.0,0.0,100592.16,sl,0.0
47,38.31,38.78,2625.0,long,1233.75,1.2264872331998835,101825.91,sl,1233.75
48,38.79,38.28,2625.0,long,-1338.75,-1.3147439585857863,100487.16,sl,-1338.75
49,38.13,38.24,2627.0,short,288.97,0.2875690784772901,100776.13,sl,288.97
50,38.42,38.12,2643.0,short,-792.9,-0.7867934599195264,99983.23000000001,sl,-792.9
51,38.62,38.74,2580.0,short,309.6,0.309651928628431,100292.83000000002,sl,309.6
52,39.53,39.53,2537.0,long,0.0,0.0,100292.83000000002,sl,0.0
53,39.54,39.34,2536.0,long,-507.2,-0.505719102751413,99785.63000000002,sl,-507.2
54,39.31,39.15,2538.0,long,-406.08,-0.406952383825206,99379.55000000002,sl,-406.08
55,39.15,38.86,2538.0,long,-736.02,-0.7406151466775608,98643.53000000001,sl,-736.02
56,39.29,39.3,2510.0,short,25.1,0.02544515590632249,98668.63000000002,sl,25.1
57,39.29,39.24,2514.0,short,-125.7,-0.12739611363814413,98542.93000000002,sl,-125.7
58,39.35,39.28,2508.0,short,-175.56,-0.17815585552408475,98367.37000000002,sl,-175.56
59,39.5,39.37,2498.0,short,-324.74,-0.33012979812309706,98042.63000000002,sl,-324.74
60,39.38,39.75,2489.0,long,920.93,0.9393158873849058,98963.56000000001,sl,920.93
61,39.76,39.61,2489.0,long,-373.35,-0.3772600743142223,98590.21,sl,-373.35
