,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,42.42,42.35,2361.0,short,-165.27,-0.16527,99834.73,,-165.27
2,41.99,42.57,2345.0,short,1360.1,1.3623515584206016,101194.83,sl,1360.1
3,41.98,42.07,2410.0,long,216.9,0.2143390131689534,101411.73,sl,216.9
4,42.28,42.15,2398.0,long,-311.74,-0.30740033721937293,101099.98999999999,sl,-311.74
5,42.86,42.6,2373.0,short,-616.98,-0.6102671226772625,100483.01,sl,-616.98
6,42.78,42.87,2343.0,short,210.87,0.20985637273405727,100693.87999999999,sl,210.87
7,42.61,42.78,2353.0,short,400.01,0.3972535371563794,101093.88999999998,sl,400.01
8,42.92,42.95,2353.0,short,70.59,0.06982617841691521,101164.47999999998,sl,70.59
9,42.28,41.99,2392.0,long,-693.68,-0.6856952163447092,100470.79999999999,sl,-693.68
10,42.13,41.99,2384.0,long,-333.76,-0.3321960211325082,100137.04,sl,-333.76
11,42.05,41.99,2381.0,long,-142.86,-0.14266449257936925,99994.18,sl,-142.86
12,41.77,41.62,2393.0,long,-358.95,-0.3589708921059206,99635.23,sl,-358.95
13,41.65,42.44,2392.0,long,1889.68,1.8965982213319528,101524.90999999999,sl,1889.68
14,43.31,43.03,2344.0,long,-656.32,-0.6464620357703347,100868.58999999998,sl,-656.32
15,42.38,42.06,2380.0,long,-761.6,-0.7550417825806826,100106.98999999998,sl,-761.6
16,42.6,42.46,2357.0,short,-329.98,-0.32962733171779524,99777.00999999998,sl,-329.98
17,43.41,43.38,2300.0,short,-69.0,-0.06915420696611375,99708.00999999998,sl,-69.0
18,42.53,42.74,2344.0,long,492.24,0.49368150061364185,100200.24999999999,sl,492.24
19,42.37,42.48,2364.0,long,260.04,0.2595203105780675,100460.28999999998,sl,260.04
20,42.99,42.77,2348.0,short,-516.56,-0.5141932200275353,99943.72999999998,sl,-516.56
21,42.26,42.21,2364.0,long,-118.2,-0.11826654858688988,99825.52999999998,sl,-118.2
22,41.85,41.67,2385.0,long,-429.3,-0.4300503087737176,99396.22999999998,sl,-429.3
23,40.97,40.68,2426.0,long,-703.54,-0.7078135659672405,98692.68999999999,sl,-703.54
24,40.62,40.34,2429.0,long,-680.12,-0.689129053023076,98012.56999999999,sl,-680.12
25,39.44,40.17,2439.0,short,1780.47,1.8165731191417591,99793.04,sl,1780.47
26,39.37,39.54,2534.0,long,430.78,0.4316733912505321,100223.81999999999,sl,430.78
27,39.24,39.28,2554.0,long,102.16,0.10193185611963304,100325.98,sl,102.16
28,39.26,39.1,2555.0,long,-408.8,-0.40747172367516377,99917.18,sl,-408.8
29,40.58,40.55,2464.0,short,-73.92,-0.07398127128888146,99843.26,sl,-73.92
30,40.24,40.23,2481.0,short,-24.81,-0.024848948241473687,99818.45,sl,-24.81
31,37.89,37.85,2634.0,long,-105.36,-0.10555162898241757,99713.09,sl,-105.36
32,38.38,38.37,2598.0,short,-25.98,-0.026054753693822947,99687.11,sl,-25.98
33,38.69,38.65,2579.0,short,-103.16,-0.10348379043188233,99583.95,sl,-103.16
34,38.9,38.85,2563.0,short,-128.15,-0.12868539558834532,99455.8,sl,-128.15
35,38.4,38.44,2587.0,short,103.48,0.1040462195266641,99559.28,sl,103.48
36,38.19,38.39,2606.0,long,521.2,0.523507200935965,100080.48,sl,521.2
37,38.38,38.25,2607.0,long,-338.91,-0.3386374645685153,99741.56999999999,sl,-338.91
38,38.43,38.36,2600.0,short,-182.0,-0.18247156125575326,99559.56999999999,sl,-182.0
39,38.51,38.61,2585.0,long,258.5,0.2596435480788035,99818.06999999999,sl,258.5
40,38.67,38.54,2589.0,short,-336.57,-0.3371834378284413,99481.49999999999,sl,-336.57
41,38.49,39.53,2584.0,long,2687.36,2.7013665857470994,102168.85999999999,sl,2687.36
42,38.62,38.69,2640.0,short,184.8,0.18087703043765002,102353.65999999999,sl,184.8
43,38.46,39.22,2661.0,long,2022.36,1.9758550891096616,104376.01999999999,sl,2022.36
44,39.61,39.62,2635.0,long,26.35,0.02524526227384413,104402.37,sl,26.35
45,39.21,39.08,2662.0,long,-346.06,-0.33146757109057967,104056.31,sl,-346.06
46,38.92,39.16,2673.0,long,641.52,0.616512347977744,104697.83,sl,641.52
