,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,785.78,782.76,127.0,short,-383.54,-0.38354,99616.46,,-383.54
2,786.61,784.23,127.0,short,-302.26,-0.3034237514563356,99314.20000000001,sl,-302.26
3,730.78,728.77,136.0,short,-273.36,-0.27524764837253884,99040.84000000001,sl,-273.36
4,729.05,731.52,135.0,long,333.45,0.33667929310777245,99374.29000000001,sl,333.45
5,732.42,730.54,135.0,long,-253.8,-0.25539805114582453,99120.49,sl,-253.8
6,734.46,734.93,134.0,short,62.98,0.06353883036696045,99183.47,sl,62.98
7,735.16,733.77,135.0,short,-187.65,-0.18919483256635405,98995.82,sl,-187.65
8,732.79,734.45,134.0,short,222.44,0.22469635586633857,99218.26000000001,sl,222.44
9,733.72,732.48,135.0,short,-167.4,-0.168718943468672,99050.86000000002,sl,-167.4
10,731.33,733.81,134.0,short,332.32,0.33550440652408264,99383.18000000002,sl,332.32
11,730.31,731.04,135.0,short,98.55,0.09916164888263786,99481.73000000003,sl,98.55
12,730.06,730.32,136.0,short,35.36,0.03554421500309654,99517.09000000003,sl,35.36
13,729.69,727.45,136.0,short,-304.64,-0.3061182757654991,99212.45000000003,sl,-304.64
14,725.64,728.61,136.0,short,403.92,0.4071263233596186,99616.37000000002,sl,403.92
15,727.46,725.75,137.0,short,-234.27,-0.2351721910766272,99382.10000000002,sl,-234.27
16,728.63,727.87,136.0,short,-103.36,-0.10400263226476396,99278.74000000002,sl,-103.36
17,728.34,728.42,136.0,short,10.88,0.01095904319494788,99289.62000000002,sl,10.88
18,730.55,730.74,135.0,short,25.65,0.025833516131897764,99315.27000000002,sl,25.65
19,732.03,731.71,135.0,long,-43.2,-0.04349784277885968,99272.07000000002,sl,-43.2
20,732.49,750.41,135.0,long,2419.2,2.4369392116030215,101691.27000000002,sl,2419.2
21,750.2,748.51,135.0,long,-228.15,-0.22435554202440383,101463.12000000002,sl,-228.15
22,748.6,746.88,135.0,long,-232.2,-0.2288516260883757,101230.92000000003,sl,-232.2
23,746.91,745.48,135.0,long,-193.05,-0.1907026035128397,101037.87000000002,sl,-193.05
24,745.7,743.97,135.0,long,-233.55,-0.2311509535978935,100804.32000000002,sl,-233.55
25,743.59,740.18,135.0,long,-460.35,-0.45667685670614105,100343.97000000002,sl,-460.35
26,739.78,738.5,135.0,long,-172.8,-0.17220765732111257,100171.17000000001,sl,-172.8
27,739.79,739.41,135.0,short,-51.3,-0.05121233983789946,100119.87000000001,sl,-51.3
28,733.55,739.37,135.0,short,785.7,0.7847593090162821,100905.57,sl,785.7
29,728.72,732.98,137.0,short,583.62,0.5783823430163468,101489.19,sl,583.62
30,729.47,728.64,139.0,short,-115.37,-0.11367713152504223,101373.82,sl,-115.37
31,730.51,729.72,138.0,short,-109.02,-0.10754255881844049,101264.8,sl,-109.02
32,731.11,730.55,138.0,short,-77.28,-0.07631477077918487,101187.52,sl,-77.28
33,730.81,730.11,138.0,short,-96.6,-0.09546631837602106,101090.92,sl,-96.6
34,732.08,731.0,138.0,short,-149.04,-0.14743163876636992,100941.88,sl,-149.04
35,731.15,732.12,137.0,short,132.89,0.13165001484022287,101074.77,sl,132.89
36,732.06,730.87,138.0,short,-164.22,-0.1624737805487957,100910.55,sl,-164.22
37,729.8,731.87,137.0,short,283.59,0.2810310715777488,101194.14,sl,283.59
38,730.02,730.0,138.0,short,-2.76,-0.0027274306595223793,101191.38,sl,-2.76
39,730.95,731.65,138.0,short,96.6,0.09546267676159767,101287.98000000001,sl,96.6
40,731.11,730.74,138.0,short,-51.06,-0.050410720008435356,101236.92000000001,sl,-51.06
41,729.7,730.67,138.0,short,133.86,0.13222448885248583,101370.78000000001,sl,133.86
42,730.52,729.29,138.0,short,-169.74,-0.1674447015204973,101201.04000000001,sl,-169.74
43,731.46,729.83,138.0,short,-224.94,-0.2222704430705455,100976.1,sl,-224.94
44,731.72,730.5,138.0,short,-168.36,-0.16673252383484805,100807.74,sl,-168.36
45,709.97,711.84,141.0,short,263.67,0.26155729708849734,101071.41,sl,263.67
46,711.21,710.51,142.0,short,-99.4,-0.09834630782334984,100972.01000000001,sl,-99.4
47,711.87,712.12,141.0,long,35.25,0.03491066484662432,101007.26000000001,sl,35.25
48,719.34,731.78,140.0,long,1741.6,1.7242324957631756,102748.86000000002,sl,1741.6
49,732.03,728.59,140.0,long,-481.6,-0.4687156626360623,102267.26000000001,sl,-481.6
50,729.3,729.05,140.0,long,-35.0,-0.03422405176397607,102232.26000000001,sl,-35.0
51,729.44,735.67,140.0,long,872.2,0.8531553542883626,103104.46,sl,872.2
52,716.39,721.63,142.0,short,744.08,0.7216758615485693,103848.54000000001,sl,744.08
53,716.79,715.33,145.0,short,-211.7,-0.20385457513413283,103636.84000000001,sl,-211.7
54,717.14,715.53,144.0,short,-231.84,-0.22370423490334132,103405.00000000001,sl,-231.84
55,717.25,717.15,144.0,short,-14.4,-0.013925825637058168,103390.60000000002,sl,-14.4
56,717.34,723.0,143.0,short,809.38,0.7828371244581227,104199.98000000003,sl,809.38
57,713.1,717.43,145.0,short,627.85,0.6025433018317277,104827.83000000003,sl,627.85
58,713.83,712.85,147.0,short,-144.06,-0.13742533829041387,104683.77000000003,sl,-144.06
59,717.07,713.84,146.0,short,-471.58,-0.45048052816592277,104212.19000000003,sl,-471.58
60,715.72,716.34,145.0,short,89.9,0.08626629955670251,104302.09000000003,sl,89.9
61,718.3,715.19,145.0,short,-450.95,-0.4323499174369371,103851.14000000003,sl,-450.95
62,711.55,717.66,144.0,short,879.84,0.8472126545746149,104730.98000000003,sl,879.84
63,718.12,720.6,145.0,long,359.6,0.3433559009951019,105090.58000000003,sl,359.6
64,720.79,722.45,145.0,long,240.7,0.22904050962512523,105331.28000000003,sl,240.7
65,722.66,717.5,145.0,long,-748.2,-0.7103303026413424,104583.08000000003,sl,-748.2
66,719.62,721.95,145.0,long,337.85,0.3230446072156222,104920.93000000004,sl,337.85
67,722.36,721.58,145.0,long,-113.1,-0.10779546082940741,104807.83000000003,sl,-113.1
68,721.08,727.99,145.0,long,1001.95,0.9559877348858379,105809.78000000003,sl,1001.95
69,728.0,727.27,145.0,long,-105.85,-0.10003801160913478,105703.93000000002,sl,-105.85
70,725.01,723.21,145.0,long,-261.0,-0.24691607965758694,105442.93000000002,sl,-261.0
71,723.07,722.31,145.0,long,-110.2,-0.10451151158261628,105332.73000000003,sl,-110.2
72,724.85,722.56,145.0,short,-332.05,-0.3152391474141038,105000.68000000002,sl,-332.05
73,719.72,725.36,144.0,short,812.16,0.7734807050773383,105812.84000000003,sl,812.16
74,720.5,720.3,146.0,short,-29.2,-0.02759589478932802,105783.64000000003,sl,-29.2
75,722.36,720.96,146.0,short,-204.4,-0.19322458557863953,105579.24000000003,sl,-204.4
76,722.46,721.98,146.0,short,-70.08,-0.06637668541656483,105509.16000000003,sl,-70.08
77,722.81,721.99,146.0,short,-119.72,-0.11346882109572284,105389.44000000003,sl,-119.72
78,723.34,722.09,145.0,short,-181.25,-0.1719811776208318,105208.19000000003,sl,-181.25
79,752.61,766.38,139.0,long,1914.03,1.8192785181457825,107122.22000000003,sl,1914.03
80,767.54,766.0,139.0,long,-214.06,-0.19982782283638253,106908.16000000003,sl,-214.06
81,783.25,781.72,136.0,long,-208.08,-0.19463434783649813,106700.08000000003,sl,-208.08
82,782.41,782.12,136.0,long,-39.44,-0.036963421208306486,106660.64000000003,sl,-39.44
83,780.97,779.32,136.0,long,-224.4,-0.2103868868591075,106436.24000000003,sl,-224.4
84,778.93,777.55,136.0,long,-187.68,-0.17633091886748342,106248.56000000004,sl,-187.68
85,777.53,775.14,136.0,long,-325.04,-0.30592414617195746,105923.52000000005,sl,-325.04
86,773.95,775.0,136.0,long,142.8,0.13481425088592217,106066.32000000005,sl,142.8
87,789.39,799.66,134.0,long,1376.18,1.2974712425207167,107442.50000000004,sl,1376.18
88,798.67,800.03,134.0,long,182.24,0.16961630639644457,107624.74000000005,sl,182.24
89,798.86,797.6,134.0,long,-168.84,-0.15687842776670116,107455.90000000005,sl,-168.84
90,797.61,796.11,134.0,long,-201.0,-0.18705347961349716,107254.90000000005,sl,-201.0
91,795.89,792.87,134.0,long,-404.68,-0.37730677106593713,106850.22000000006,sl,-404.68
