,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,742.8,741.74,134.0,short,-142.04,-0.14203999999999997,99857.96,,-142.04
2,746.26,745.68,133.0,short,-77.14,-0.07724972551011457,99780.82,sl,-77.14
3,743.58,746.47,133.0,short,384.37,0.385214312730643,100165.19,sl,384.37
4,742.47,748.95,134.0,long,868.32,0.8668879877330637,101033.51000000001,sl,868.32
5,748.77,747.75,134.0,long,-136.68,-0.13528184856687647,100896.83000000002,sl,-136.68
6,763.1,758.47,133.0,short,-615.79,-0.6103164985460889,100281.04000000002,sl,-615.79
7,762.8,761.55,131.0,short,-163.75,-0.16329108672985437,100117.29000000002,sl,-163.75
8,770.22,766.68,130.0,short,-460.2,-0.4596608637728807,99657.09000000003,sl,-460.2
9,744.74,734.61,133.0,long,-1347.29,-1.3519258890661965,98309.80000000003,sl,-1347.29
10,728.86,718.62,134.0,long,-1372.16,-1.395750983116637,96937.64000000003,sl,-1372.16
11,716.92,713.72,135.0,long,-432.0,-0.44564732543519714,96505.64000000003,sl,-432.0
12,734.24,732.66,131.0,short,-206.98,-0.21447451154150152,96298.66000000003,sl,-206.98
13,732.91,733.27,131.0,short,47.16,0.04897264406379069,96345.82000000004,sl,47.16
14,732.06,731.6,131.0,long,-60.26,-0.0625455261058549,96285.56000000004,sl,-60.26
15,730.45,727.45,131.0,long,-393.0,-0.40816089141507805,95892.56000000004,sl,-393.0
16,725.64,728.78,131.0,short,411.34,0.42895924355341003,96303.90000000004,sl,411.34
17,728.63,728.33,132.0,short,-39.6,-0.04111983003803583,96264.30000000003,sl,-39.6
18,732.93,734.56,131.0,short,213.53,0.2218163950706544,96477.83000000003,sl,213.53
19,733.03,733.37,131.0,short,44.54,0.046166046645120425,96522.37000000002,sl,44.54
20,734.03,750.41,131.0,long,2145.78,2.2230908752033334,98668.15000000002,sl,2145.78
21,737.16,738.16,133.0,long,133.0,0.13479527081434078,98801.15000000002,sl,133.0
22,737.21,731.0,134.0,long,-832.14,-0.8422371601949976,97969.01000000002,sl,-832.14
23,732.24,730.11,133.0,long,-283.29,-0.28916286895213084,97685.72000000003,sl,-283.29
24,732.6,733.24,133.0,short,85.12,0.08713658454889822,97770.84000000003,sl,85.12
25,735.56,732.88,133.0,short,-356.44,-0.36456677676084187,97414.40000000002,sl,-356.44
26,731.11,730.3,133.0,short,-107.73,-0.11058939951382955,97306.67000000003,sl,-107.73
27,731.46,729.83,133.0,short,-216.79,-0.22279048291345283,97089.88000000003,sl,-216.79
28,723.5,720.51,134.0,long,-400.66,-0.41266916799155573,96689.22000000003,sl,-400.66
29,709.97,720.0,134.0,short,1344.02,1.3900412062482246,98033.24000000003,sl,1344.02
