,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,16.26,16.23,6150.0,long,-184.5,-0.1845,99815.5,,-184.5
2,16.24,16.22,6146.0,long,-122.92,-0.12314720659616994,99692.58,sl,-122.92
3,16.23,16.23,0.0,long,0.0,0.0,99692.58,sl,0.0
4,16.23,16.16,6142.0,long,-429.94,-0.43126579731410297,99262.64,sl,-429.94
5,16.16,16.16,0.0,long,0.0,0.0,99262.64,sl,0.0
6,16.16,16.09,6142.0,long,-429.94,-0.433133755056283,98832.7,sl,-429.94
7,16.17,16.09,6142.0,short,-491.36,-0.49716338823081835,98341.34,sl,-491.36
8,16.22,16.13,6096.0,short,-548.64,-0.5578935572771329,97792.7,sl,-548.64
9,16.25,16.14,6059.0,short,-666.49,-0.6815334886959865,97126.20999999999,sl,-666.49
10,16.33,16.28,5965.0,short,-298.25,-0.3070746814891676,96827.95999999999,sl,-298.25
11,16.12,16.26,6006.0,long,840.84,0.8683855365743531,97668.79999999999,sl,840.84
12,16.29,16.23,5995.0,long,-359.7,-0.368285470897564,97309.09999999999,sl,-359.7
13,15.57,15.8,6158.0,short,1416.34,1.455506216787536,98725.43999999999,sl,1416.34
14,15.66,15.54,6352.0,short,-762.24,-0.7720806308890598,97963.19999999998,sl,-762.24
15,15.64,15.67,6251.0,short,187.53,0.19142902640991724,98150.72999999998,sl,187.53
16,15.62,15.64,6275.0,short,125.5,0.12786456096658683,98276.22999999998,sl,125.5
17,15.7,15.65,6279.0,short,-313.95,-0.31945669873579813,97962.27999999998,sl,-313.95
18,15.36,15.33,6377.0,long,-191.31,-0.1952894522258976,97770.96999999999,sl,-191.31
19,15.36,15.33,6365.0,long,-190.95,-0.19530337072445944,97580.01999999999,sl,-190.95
20,15.48,15.38,6303.0,long,-630.3,-0.6459314109589238,96949.71999999999,sl,-630.3
21,14.97,15.03,6450.0,short,387.0,0.3991759852426598,97336.71999999999,sl,387.0
22,14.85,14.97,6502.0,short,780.24,0.8015885474669786,98116.95999999999,sl,780.24
23,14.97,14.82,6620.0,short,-993.0,-1.0120574465413523,97123.95999999999,sl,-993.0
24,15.08,15.06,6449.0,short,-128.98,-0.13279936279369167,96994.98,sl,-128.98
25,15.12,15.11,6419.0,short,-64.19,-0.06617868264934948,96930.79,sl,-64.19
26,14.77,14.73,6580.0,short,-263.2,-0.27153394705645134,96667.59,sl,-263.2
27,14.75,14.81,6527.0,short,391.62,0.4051202683339887,97059.20999999999,sl,391.62
28,14.69,14.71,6598.0,short,131.96,0.13595824651776994,97191.17,sl,131.96
29,14.67,14.64,6638.0,short,-199.14,-0.20489515662791175,96992.03,sl,-199.14
30,14.7,14.71,6593.0,short,65.93,0.0679746572991616,97057.95999999999,sl,65.93
31,14.74,14.73,6589.0,short,-65.89,-0.06788727065765653,96992.06999999999,sl,-65.89
32,14.66,14.74,6580.0,short,526.4,0.5427247815207986,97518.46999999999,sl,526.4
33,14.83,14.84,6571.0,short,65.71,0.06738210720492231,97584.18,sl,65.71
34,14.84,14.84,6575.0,short,0.0,0.0,97584.18,sl,0.0
35,15.14,15.19,6445.0,long,322.25,0.3302277069910307,97906.43,sl,322.25
36,15.17,15.11,6453.0,long,-387.18,-0.39545921549789936,97519.25,sl,-387.18
37,15.13,15.03,6445.0,long,-644.5,-0.6608951565972871,96874.75,sl,-644.5
38,15.03,14.96,6445.0,long,-451.15,-0.4657044276243293,96423.6,sl,-451.15
39,16.67,16.9,5784.0,long,1330.32,1.3796622403643921,97753.92000000001,sl,1330.32
40,16.9,16.74,5784.0,long,-925.44,-0.9467037229811346,96828.48000000001,sl,-925.44
41,16.76,16.73,5777.0,long,-173.31,-0.1789865956792877,96655.17000000001,sl,-173.31
42,16.73,16.64,5777.0,long,-519.93,-0.5379225963805142,96135.24000000002,sl,-519.93
