,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,14.34,14.33,6978.0,short,-69.78,-0.06978000000000001,99930.22,,-69.78
2,14.4,14.53,6939.0,long,902.07,0.9026999039930064,100832.29000000001,sl,902.07
3,16.62,16.61,6066.0,long,-60.66,-0.06015930016069256,100771.63,sl,-60.66
4,16.4,16.25,6144.0,long,-921.6,-0.9145431109926475,99850.03,sl,-921.6
5,16.04,16.41,6084.0,short,2251.08,2.254461015184472,102101.11,sl,2251.08
6,16.75,16.66,6128.0,short,-551.52,-0.5401704251795107,101549.59,sl,-551.52
7,16.21,16.22,6264.0,long,62.64,0.061684148601683184,101612.23,sl,62.64
8,16.11,16.16,6307.0,long,315.35,0.3103465006131644,101927.58,sl,315.35
9,16.09,16.25,6334.0,long,1013.44,0.9942745623902776,102941.02,sl,1013.44
10,16.7,16.59,6164.0,long,-678.04,-0.6586684297474418,102262.98000000001,sl,-678.04
11,16.45,16.43,6216.0,long,-124.32,-0.12156891966183656,102138.66,sl,-124.32
12,16.52,16.35,6182.0,long,-1050.94,-1.0289345875499052,101087.72,sl,-1050.94
13,16.3,16.27,6213.0,short,-186.39,-0.18438441385363127,100901.33,sl,-186.39
14,16.16,16.04,6243.0,long,-749.16,-0.7424679139511838,100152.17,sl,-749.16
15,16.3,16.32,6136.0,short,122.72,0.12253354071109991,100274.89,sl,122.72
16,16.33,16.36,6129.0,short,183.87,0.18336594535281964,100458.76,sl,183.87
17,16.52,16.52,6081.0,short,0.0,0.0,100458.76,sl,0.0
18,16.8,16.72,6008.0,short,-480.64,-0.4784450853265559,99978.12,sl,-480.64
19,17.01,16.92,5877.0,long,-528.93,-0.5290457552112402,99449.19,sl,-528.93
20,16.39,16.16,6067.0,long,-1395.41,-1.403138627876205,98053.78,sl,-1395.41
21,15.76,15.77,6221.0,long,62.21,0.06344477489802025,98115.99,sl,62.21
22,15.71,15.85,6245.0,long,874.3,0.8910881906201018,98990.29000000001,sl,874.3
23,15.77,16.49,6277.0,long,4519.44,4.565538700816008,103509.73000000001,sl,4519.44
24,15.92,15.82,6501.0,long,-650.1,-0.6280568986123334,102859.63,sl,-650.1
25,15.7,15.63,6580.0,short,-460.6,-0.4477947276302666,102399.03,sl,-460.6
26,15.2,15.23,6736.0,long,202.08,0.1973456193872149,102601.11,sl,202.08
27,15.23,15.2,6736.0,long,-202.08,-0.19695693350685975,102399.03,sl,-202.08
28,15.21,15.1,6732.0,long,-740.52,-0.7231709128494674,101658.51,sl,-740.52
29,15.2,15.16,6688.0,long,-267.52,-0.263155539068987,101390.98999999999,sl,-267.52
30,15.41,15.33,6613.0,short,-529.04,-0.5217820636725216,100861.95,sl,-529.04
31,15.59,15.5,6507.0,short,-585.63,-0.5806253002247131,100276.31999999999,sl,-585.63
32,15.9,15.83,6334.0,short,-443.38,-0.44215822838333124,99832.93999999999,sl,-443.38
33,15.39,15.8,6486.0,long,2659.26,2.663709993915836,102492.19999999998,sl,2659.26
34,15.85,15.76,6503.0,short,-585.27,-0.5710385765941214,101906.92999999998,sl,-585.27
35,15.81,15.8,6445.0,long,-64.45,-0.06324398154276654,101842.47999999998,sl,-64.45
36,15.38,15.34,6621.0,long,-264.84,-0.2600486555315621,101577.63999999998,sl,-264.84
37,15.14,15.59,6709.0,long,3019.05,2.9721600147434026,104596.68999999999,sl,3019.05
38,15.61,15.61,6700.0,short,0.0,0.0,104596.68999999999,sl,0.0
39,15.86,15.81,6615.0,short,-330.75,-0.31621459531845614,104265.93999999999,sl,-330.75
40,16.01,15.98,6524.0,short,-195.72,-0.18771230566760347,104070.21999999999,sl,-195.72
41,15.59,15.49,6675.0,long,-667.5,-0.6413938588772081,103402.71999999999,sl,-667.5
42,15.51,15.41,6666.0,long,-666.6,-0.6446638927873465,102736.11999999998,sl,-666.6
43,15.07,15.28,6817.0,long,1431.57,1.3934437080162267,104167.68999999999,sl,1431.57
44,14.96,15.15,6963.0,long,1322.97,1.270038723139584,105490.65999999999,sl,1322.97
45,14.98,14.92,7042.0,long,-422.52,-0.4005283500927949,105068.13999999998,sl,-422.52
46,15.08,15.07,6972.0,short,-69.72,-0.06635693750741187,104998.41999999998,sl,-69.72
47,15.12,15.12,6944.0,short,0.0,0.0,104998.41999999998,sl,0.0
48,14.84,14.83,7080.0,short,-70.8,-0.06742958608329536,104927.61999999998,sl,-70.8
49,15.17,15.08,6958.0,short,-626.22,-0.5968114019931074,104301.39999999998,sl,-626.22
50,15.2,15.22,6852.0,short,137.04,0.1313884569142888,104438.43999999997,sl,137.04
51,15.34,15.23,6857.0,short,-754.27,-0.7222149239303078,103684.16999999997,sl,-754.27
52,15.18,15.37,6745.0,short,1281.55,1.2360131734670783,104965.71999999997,sl,1281.55
53,14.99,14.9,7002.0,long,-630.18,-0.6003674342442468,104335.53999999998,sl,-630.18
54,14.89,14.81,7007.0,long,-560.56,-0.5372665919973194,103774.97999999998,sl,-560.56
55,14.74,14.72,7040.0,long,-140.8,-0.13567817599193951,103634.17999999998,sl,-140.8
56,14.99,14.91,6913.0,long,-553.04,-0.5336463317411303,103081.13999999998,sl,-553.04
57,15.44,15.12,6817.0,short,-2181.44,-2.1162358119050686,100899.69999999998,sl,-2181.44
58,16.23,16.12,6216.0,long,-683.76,-0.677663065400591,100215.93999999999,sl,-683.76
59,16.49,16.9,6077.0,long,2491.57,2.4862012969194325,102707.51,sl,2491.57
60,16.43,16.38,6251.0,long,-312.55,-0.3043107558541727,102394.95999999999,sl,-312.55
