,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,48.87,48.8,2046.0,long,-143.22,-0.14322000000000001,99856.78,,-143.22
2,48.79,48.81,2046.0,long,40.92,0.040978689679358776,99897.7,sl,40.92
3,48.81,49.19,2046.0,long,777.48,0.7782761765285887,100675.18,sl,777.48
4,49.18,49.0,2047.0,long,-368.46,-0.36598891603670336,100306.71999999999,sl,-368.46
5,49.01,49.01,0.0,long,0.0,0.0,100306.71999999999,sl,0.0
6,49.01,48.94,2046.0,long,-143.22,-0.14278205886903692,100163.49999999999,sl,-143.22
7,50.03,50.1,2002.0,long,140.14,0.13991124511423822,100303.63999999998,sl,140.14
8,50.1,50.15,2002.0,long,100.1,0.09979697646067481,100403.73999999999,sl,100.1
9,50.1,49.92,2004.0,long,-360.72,-0.3592694853797279,100043.01999999999,sl,-360.72
10,49.83,49.93,2003.0,short,200.3,0.20021386799398902,100243.31999999999,sl,200.3
11,49.94,49.83,2011.0,short,-221.21,-0.22067305831450917,100022.10999999999,sl,-221.21
12,49.86,49.92,2003.0,short,120.18,0.12015343407572587,100142.28999999998,sl,120.18
13,49.76,49.83,2009.0,short,140.63,0.1404301818941828,100282.91999999998,sl,140.63
14,49.79,49.79,2014.0,short,0.0,0.0,100282.91999999998,sl,0.0
15,49.17,49.5,2025.0,short,668.25,0.6663647209315406,100951.16999999998,sl,668.25
16,49.05,49.15,2053.0,short,205.3,0.20336564697566165,101156.46999999999,sl,205.3
17,49.1,48.97,2065.0,short,-268.45,-0.26538094893979597,100888.01999999999,sl,-268.45
18,49.21,49.08,2055.0,short,-267.15,-0.26479853604025533,100620.87,sl,-267.15
19,49.15,49.22,2044.0,short,143.08,0.14219714061307562,100763.95,sl,143.08
20,49.35,49.08,2053.0,short,-554.31,-0.5501074541043697,100209.64,sl,-554.31
21,49.38,49.37,2029.0,short,-20.29,-0.020247553029828266,100189.35,sl,-20.29
22,48.44,48.44,2068.0,long,0.0,0.0,100189.35,sl,0.0
23,48.46,48.38,2067.0,long,-165.36,-0.1650474825917126,100023.99,sl,-165.36
24,48.45,48.36,2064.0,long,-185.76,-0.18571544686429722,99838.23000000001,sl,-185.76
25,48.35,48.24,2064.0,long,-227.04,-0.22740787772379373,99611.19000000002,sl,-227.04
26,49.17,49.22,2023.0,short,101.15,0.10154481640064734,99712.34000000001,sl,101.15
27,49.14,49.17,2027.0,short,60.81,0.060985430689922626,99773.15000000001,sl,60.81
28,49.21,49.11,2031.0,short,-203.1,-0.20356177989769791,99570.05,sl,-203.1
29,49.35,49.27,2020.0,short,-161.6,-0.16229779938847072,99408.45,sl,-161.6
30,49.49,49.42,2011.0,short,-140.77,-0.14160768023241485,99267.68,sl,-140.77
31,49.56,49.45,2007.0,short,-220.77,-0.22239866993970245,99046.90999999999,sl,-220.77
32,48.03,48.35,2062.0,long,659.84,0.6661893844038145,99706.74999999999,sl,659.84
33,48.01,48.15,2070.0,short,289.8,0.2906523379811297,99996.54999999999,sl,289.8
34,48.15,48.01,2082.0,short,-291.48,-0.2914900564069461,99705.06999999999,sl,-291.48
35,48.16,48.13,2071.0,short,-62.13,-0.062313782037362805,99642.93999999999,sl,-62.13
36,48.25,48.13,2070.0,short,-248.4,-0.24929011528563894,99394.54,sl,-248.4
37,48.29,48.23,2060.0,short,-123.6,-0.12435290711139667,99270.93999999999,sl,-123.6
38,46.76,47.38,2095.0,short,1298.9,1.308439307616106,100569.83999999998,sl,1298.9
39,46.75,46.76,2150.0,short,21.5,0.02137817858713905,100591.33999999998,sl,21.5
40,46.79,46.73,2152.0,short,-129.12,-0.12836095035616388,100462.21999999999,sl,-129.12
41,46.85,46.79,2147.0,short,-128.82,-0.12822730773817262,100333.39999999998,sl,-128.82
42,47.17,46.85,2141.0,short,-685.12,-0.6828434001040533,99648.27999999998,sl,-685.12
43,47.35,47.26,2104.0,long,-189.36,-0.19002836777513876,99458.91999999998,sl,-189.36
44,47.24,47.04,2105.0,long,-421.0,-0.42329033936825383,99037.91999999998,sl,-421.0
45,48.03,48.62,2062.0,long,1216.58,1.2283981731441858,100254.49999999999,sl,1216.58
46,48.61,48.69,2062.0,long,164.96,0.1645412425377415,100419.45999999999,sl,164.96
47,48.62,48.76,2065.0,long,289.1,0.2878924065116463,100708.56,sl,289.1
