,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,48.11,48.03,2078.0,long,-166.24,-0.16624,99833.76,,-166.24
2,48.22,48.41,2062.0,short,391.78,0.39243237958782684,100225.54,sl,391.78
3,48.29,48.35,2072.0,short,124.32,0.12404023964350804,100349.86,sl,124.32
4,48.36,48.26,2079.0,short,-207.9,-0.20717517692600668,100141.96,sl,-207.9
5,48.73,48.71,2055.0,short,-41.1,-0.041041737149941936,100100.86,sl,-41.1
6,49.22,49.03,2041.0,short,-387.79,-0.3873992690971886,99713.07,sl,-387.79
7,49.28,49.26,2023.0,long,-40.46,-0.040576425938946614,99672.61,sl,-40.46
8,48.94,48.85,2040.0,short,-183.6,-0.18420306240601103,99489.01,sl,-183.6
9,49.17,49.21,2021.0,short,80.84,0.08125520597702199,99569.84999999999,sl,80.84
10,49.29,49.33,2018.0,short,80.72,0.0810687170865478,99650.56999999999,sl,80.72
11,49.23,49.1,2029.0,short,-263.77,-0.26469492347108503,99386.79999999999,sl,-263.77
12,49.09,49.0,2024.0,long,-182.16,-0.18328389685551805,99204.63999999998,sl,-182.16
13,49.14,49.11,2020.0,short,-60.6,-0.06108585243593446,99144.03999999998,sl,-60.6
14,48.94,49.61,2025.0,long,1356.75,1.3684635001761076,100500.78999999998,sl,1356.75
15,50.13,50.02,2009.0,short,-220.99,-0.2198888187844096,100279.79999999997,sl,-220.99
16,50.16,50.12,2000.0,short,-80.0,-0.07977678455681007,100199.79999999997,sl,-80.0
17,50.1,50.15,1999.0,long,99.95,0.09975069810518587,100299.74999999997,sl,99.95
18,49.98,49.87,2006.0,long,-220.66,-0.22000054835630203,100079.08999999997,sl,-220.66
19,49.68,49.77,2014.0,long,181.26,0.18111675475866143,100260.34999999996,sl,181.26
20,49.76,49.81,2014.0,long,100.7,0.10043850834352767,100361.04999999996,sl,100.7
21,49.3,49.08,2035.0,long,-447.7,-0.4460893942420891,99913.34999999996,sl,-447.7
22,49.52,49.56,2016.0,short,80.64,0.08070993515881514,99993.98999999996,sl,80.64
23,49.52,49.38,2024.0,short,-283.36,-0.2833770309595608,99710.62999999996,sl,-283.36
24,50.06,50.15,1988.0,short,178.92,0.17943924333844855,99889.54999999996,sl,178.92
25,49.91,50.08,2001.0,long,340.17,0.34054613320412414,100229.71999999996,sl,340.17
26,49.77,49.53,2023.0,short,-485.52,-0.48440721973482537,99744.19999999995,sl,-485.52
27,49.53,49.81,2002.0,short,560.56,0.5619975898347976,100304.75999999995,sl,560.56
28,50.07,50.1,2002.0,short,60.06,0.059877517278342555,100364.81999999995,sl,60.06
29,50.06,50.06,2004.0,short,0.0,0.0,100364.81999999995,sl,0.0
30,49.53,49.31,2026.0,long,-445.72,-0.4440998349820188,99919.09999999995,sl,-445.72
31,48.37,48.17,2065.0,long,-413.0,-0.41333438751950347,99506.09999999995,sl,-413.0
32,48.63,48.54,2049.0,short,-184.41,-0.18532532176419345,99321.68999999994,sl,-184.41
33,48.45,48.44,2049.0,long,-20.49,-0.020629934911498195,99301.19999999994,sl,-20.49
34,49.13,49.08,2023.0,short,-101.15,-0.10186181033059022,99200.04999999994,sl,-101.15
35,49.08,49.03,2021.0,long,-101.05,-0.10186486801165932,99098.99999999994,sl,-101.05
36,48.76,48.64,2032.0,long,-243.84,-0.24605697332970075,98855.15999999995,sl,-243.84
37,48.58,48.72,2034.0,long,284.76,0.2880578009281459,99139.91999999994,sl,284.76
38,48.28,48.1,2053.0,long,-369.54,-0.37274591304895166,98770.37999999995,sl,-369.54
39,48.01,48.0,2057.0,long,-20.57,-0.02082608166537378,98749.80999999994,sl,-20.57
40,48.01,48.0,2057.0,short,-20.57,-0.020830419825617907,98729.23999999993,sl,-20.57
41,48.26,48.35,2045.0,long,184.05,0.18641893728747447,98913.28999999994,sl,184.05
42,48.33,48.3,2046.0,long,-61.38,-0.062054350835969614,98851.90999999993,sl,-61.38
43,48.28,48.34,2044.0,short,122.64,0.12406437063279818,98974.54999999993,sl,122.64
44,47.9,47.99,2066.0,long,185.94,0.18786647678620425,99160.48999999993,sl,185.94
45,47.96,47.83,2067.0,long,-268.71,-0.27098494571779563,98891.77999999993,sl,-268.71
46,47.88,47.79,2065.0,long,-185.85,-0.18793270785499072,98705.92999999992,sl,-185.85
47,47.19,47.13,2091.0,long,-125.46,-0.12710482541423812,98580.46999999991,sl,-125.46
48,47.08,47.1,2093.0,long,41.86,0.04246277178430985,98622.32999999991,sl,41.86
49,46.76,47.52,2075.0,short,1577.0,1.599029347613265,100199.32999999991,sl,1577.0
50,47.44,47.28,2119.0,short,-339.04,-0.3383655359771371,99860.28999999992,sl,-339.04
51,47.12,47.37,2108.0,short,527.0,0.5277373017843233,100387.28999999992,sl,527.0
52,48.06,48.01,2090.0,short,-104.5,-0.10409684333544623,100282.78999999992,sl,-104.5
53,47.88,47.74,2094.0,long,-293.16,-0.2923333106308672,99989.62999999992,sl,-293.16
54,47.69,47.72,2096.0,long,62.88,0.0628865213322622,100052.50999999992,sl,62.88
55,47.75,48.62,2095.0,long,1822.65,1.8216934287805489,101875.15999999992,sl,1822.65
56,48.49,48.76,2100.0,long,567.0,0.5565635430658469,102442.15999999992,sl,567.0
57,49.53,49.6,2065.0,short,144.55,0.14110401420665097,102586.70999999992,sl,144.55
58,48.28,48.27,2125.0,short,-21.25,-0.020714184127749117,102565.45999999992,sl,-21.25
