,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,77.62,77.74,1286.0,short,154.32,0.15432,100154.32,,154.32
2,77.75,77.61,1290.0,short,-180.6,-0.1803217275101064,99973.72,sl,-180.6
3,76.91,77.24,1294.0,short,427.02,0.4271322503553934,100400.74,sl,427.02
4,77.01,76.99,1304.0,short,-26.08,-0.02597590416166255,100374.66,sl,-26.08
5,77.02,77.14,1301.0,short,156.12,0.15553726408637397,100530.78,sl,156.12
6,76.35,76.5,1314.0,short,197.1,0.19605935614943004,100727.88,sl,197.1
7,76.07,76.4,1318.0,short,434.94,0.4317970357362827,101162.82,sl,434.94
8,75.42,75.36,1342.0,short,-80.52,-0.07959445970367374,101082.3,sl,-80.52
9,75.31,75.36,1341.0,short,67.05,0.06633208781359347,101149.35,sl,67.05
10,75.24,75.22,1344.0,short,-26.88,-0.026574565234477533,101122.47,sl,-26.88
11,74.25,74.78,1352.0,short,716.56,0.7086061090082154,101839.03,sl,716.56
12,74.31,74.23,1371.0,short,-109.68,-0.10769937616255773,101729.35,sl,-109.68
13,74.25,74.38,1367.0,short,177.71,0.17468901551027308,101907.06000000001,sl,177.71
14,74.38,74.19,1373.0,short,-260.87,-0.2559881523419476,101646.19000000002,sl,-260.87
15,74.43,74.32,1367.0,short,-150.37,-0.1479347135391892,101495.82000000002,sl,-150.37
16,74.32,74.49,1362.0,short,231.54,0.22812762141337442,101727.36000000002,sl,231.54
17,74.65,74.34,1368.0,short,-424.08,-0.4168789989241832,101303.28000000001,sl,-424.08
18,74.69,74.57,1358.0,short,-162.96,-0.16086349820065055,101140.32,sl,-162.96
19,74.88,74.56,1356.0,short,-433.92,-0.4290277112036031,100706.40000000001,sl,-433.92
20,75.16,75.01,1342.0,short,-201.3,-0.19988799122995163,100505.1,sl,-201.3
21,75.36,75.16,1337.0,short,-267.4,-0.26605615038440833,100237.70000000001,sl,-267.4
22,74.11,73.36,1366.0,short,-1024.5,-1.0220705383303885,99213.20000000001,sl,-1024.5
23,72.45,72.44,1369.0,short,-13.69,-0.013798567126148534,99199.51000000001,sl,-13.69
