,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,79.59,79.55,1257.0,short,-50.28,-0.05028,99949.72,,-50.28
2,79.1,78.9,1263.0,long,-252.6,-0.252727071171385,99697.12,sl,-252.6
3,78.85,78.69,1264.0,long,-202.24,-0.20285440542314565,99494.87999999999,sl,-202.24
4,78.68,78.77,1264.0,long,113.76,0.1143375417910952,99608.63999999998,sl,113.76
5,78.57,78.41,1270.0,short,-203.2,-0.2039983680130559,99405.43999999999,sl,-203.2
6,77.88,77.53,1276.0,long,-446.6,-0.4492711867680482,98958.83999999998,sl,-446.6
7,77.62,77.84,1271.0,short,279.62,0.28256192170401356,99238.45999999998,sl,279.62
8,76.84,76.94,1291.0,long,129.1,0.13009069266088977,99367.55999999998,sl,129.1
9,76.95,76.82,1291.0,long,-167.83,-0.1688981796473618,99199.72999999998,sl,-167.83
10,76.83,76.52,1291.0,long,-400.21,-0.403438598068765,98799.51999999997,sl,-400.21
11,77.24,77.21,1279.0,short,-38.37,-0.038836221066661056,98761.14999999998,sl,-38.37
12,77.22,77.03,1282.0,short,-243.58,-0.2466354431879338,98517.56999999998,sl,-243.58
13,77.12,76.83,1277.0,long,-370.33,-0.3759024913018054,98147.23999999998,sl,-370.33
14,76.56,76.35,1281.0,long,-269.01,-0.2740881964688972,97878.22999999998,sl,-269.01
15,75.98,75.47,1288.0,long,-656.88,-0.6711196146477109,97221.34999999998,sl,-656.88
16,75.22,75.16,1292.0,long,-77.52,-0.0797355724848503,97143.82999999997,sl,-77.52
17,74.61,74.62,1302.0,long,13.02,0.013402806951300975,97156.84999999998,sl,13.02
18,74.22,74.11,1309.0,long,-143.99,-0.14820365213569608,97012.85999999997,sl,-143.99
19,73.67,73.26,1316.0,long,-539.56,-0.5561736866638094,96473.29999999997,sl,-539.56
20,72.61,71.99,1328.0,long,-823.36,-0.8534589363067298,95649.93999999997,sl,-823.36
21,72.45,72.35,1322.0,short,-132.2,-0.13821231879497262,95517.73999999998,sl,-132.2
22,72.08,72.16,1325.0,long,106.0,0.1109741499327769,95623.73999999998,sl,106.0
23,73.56,73.13,1307.0,short,-562.01,-0.5877306200322223,95061.72999999998,sl,-562.01
24,73.5,73.47,1293.0,short,-38.79,-0.04080506424614828,95022.93999999999,sl,-38.79
25,71.94,71.75,1320.0,long,-250.8,-0.26393626633737083,94772.13999999998,sl,-250.8
26,71.43,71.28,1326.0,long,-198.9,-0.20987180409770215,94573.23999999999,sl,-198.9
27,70.58,70.12,1339.0,long,-615.94,-0.651283597770363,93957.29999999999,sl,-615.94
28,70.04,69.86,1341.0,long,-241.38,-0.2569039340210926,93715.91999999998,sl,-241.38
29,69.94,70.35,1339.0,long,548.99,0.5858022841796784,94264.90999999999,sl,548.99
30,70.82,70.77,1331.0,short,-66.55,-0.0705989110900334,94198.35999999999,sl,-66.55
31,68.78,68.57,1369.0,long,-287.49,-0.3051963962005284,93910.86999999998,sl,-287.49
32,67.35,66.91,1394.0,long,-613.36,-0.6531299305394574,93297.50999999998,sl,-613.36
33,67.14,68.35,1389.0,long,1680.69,1.8014307134241851,94978.19999999998,sl,1680.69
34,67.42,67.35,1408.0,long,-98.56,-0.10377118117631207,94879.63999999998,sl,-98.56
35,66.02,65.83,1437.0,long,-273.03,-0.2877645825806253,94606.60999999999,sl,-273.03
36,65.68,65.78,1438.0,short,143.8,0.1519978360920025,94750.40999999999,sl,143.8
37,67.1,66.16,1432.0,short,-1346.08,-1.4206587602101144,93404.32999999999,sl,-1346.08
38,66.35,65.94,1407.0,long,-576.87,-0.6176052009580285,92827.45999999999,sl,-576.87
39,66.6,66.43,1397.0,short,-237.49,-0.25584024382440285,92589.96999999999,sl,-237.49
40,66.32,66.27,1396.0,long,-69.8,-0.07538613523689446,92520.16999999998,sl,-69.8
41,67.35,67.15,1377.0,short,-275.4,-0.2976648227083889,92244.76999999999,sl,-275.4
42,67.55,67.43,1368.0,short,-164.16,-0.1779613088091607,92080.60999999999,sl,-164.16
43,67.51,67.71,1363.0,long,272.6,0.29604495452408497,92353.20999999999,sl,272.6
44,68.07,67.8,1362.0,short,-367.74,-0.39818864985851604,91985.46999999999,sl,-367.74
45,67.68,69.05,1359.0,long,1861.83,2.024047928439133,93847.29999999999,sl,1861.83
46,70.32,70.06,1339.0,short,-348.14,-0.37096432182918426,93499.15999999999,sl,-348.14
47,68.92,70.36,1328.0,short,1912.32,2.0452804067972377,95411.48,sl,1912.32
