,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,42.15,42.14,2373.0,short,-23.73,-0.02373,99976.27,,-23.73
2,42.05,41.99,2380.0,short,-142.8,-0.14283389448316086,99833.47,sl,-142.8
3,42.12,41.96,2379.0,short,-380.64,-0.3812749371528406,99452.83,sl,-380.64
4,41.13,42.07,2363.0,short,2221.22,2.2334407175743514,101674.05,sl,2221.22
5,41.46,41.2,2467.0,short,-641.42,-0.6308591031831622,101032.63,sl,-641.42
6,41.67,41.43,2438.0,short,-585.12,-0.5791396304342468,100447.51000000001,sl,-585.12
7,41.13,41.64,2412.0,short,1230.12,1.2246396152577599,101677.63,sl,1230.12
8,42.5,42.51,2392.0,long,23.92,0.023525331973217708,101701.55,sl,23.92
9,42.44,42.34,2396.0,long,-239.6,-0.23559129629784403,101461.95,sl,-239.6
10,42.35,42.21,2395.0,long,-335.3,-0.33046871265533534,101126.65,sl,-335.3
11,42.17,42.2,2398.0,long,71.94,0.07113851788821246,101198.59,sl,71.94
12,42.27,43.11,2394.0,long,2010.96,1.9871423109748863,103209.55,sl,2010.96
13,43.13,42.92,2392.0,long,-502.32,-0.4866991475110588,102707.23,sl,-502.32
14,42.85,42.69,2396.0,long,-383.36,-0.37325512527209626,102323.87,sl,-383.36
15,42.63,42.57,2400.0,long,-144.0,-0.14072962643027478,102179.87,sl,-144.0
16,40.38,41.25,2477.0,short,2154.99,2.1090161888050942,104334.86,sl,2154.99
17,39.98,40.35,2585.0,short,956.45,0.9167118257502814,105291.31,sl,956.45
18,40.22,39.98,2633.0,short,-631.92,-0.6001634892756107,104659.39,sl,-631.92
19,39.9,39.94,2620.0,short,104.8,0.10013435010465856,104764.19,sl,104.8
20,39.7,39.69,2639.0,short,-26.39,-0.025189905062025487,104737.8,sl,-26.39
21,39.42,39.6,2644.0,short,475.92,0.45439182415517604,105213.72,sl,475.92
22,39.61,39.38,2671.0,short,-614.33,-0.5838877287106663,104599.39,sl,-614.33
23,39.57,39.32,2660.0,short,-665.0,-0.6357589657071614,103934.39,sl,-665.0
24,39.85,39.54,2628.0,short,-814.68,-0.7838406517804165,103119.71,sl,-814.68
25,39.95,39.67,2599.0,short,-727.72,-0.7057040792686481,102391.99,sl,-727.72
26,40.07,39.84,2570.0,short,-591.1,-0.5772912510050835,101800.89,sl,-591.1
27,40.12,40.1,2538.0,short,-50.76,-0.04986203951655039,101750.13,sl,-50.76
28,40.28,40.12,2536.0,short,-405.76,-0.3987808172824938,101344.37000000001,sl,-405.76
29,39.78,40.27,2516.0,short,1232.84,1.2164859281280251,102577.21,sl,1232.84
30,40.28,40.43,2546.0,long,381.9,0.37230492036194,102959.11,sl,381.9
31,40.41,40.28,2547.0,long,-331.11,-0.32159368898973584,102628.0,sl,-331.11
32,40.34,42.03,2544.0,long,4299.36,4.189266087227657,106927.36,sl,4299.36
33,42.06,41.85,2542.0,long,-533.82,-0.4992361169302226,106393.54,sl,-533.82
34,41.83,41.69,2543.0,long,-356.02,-0.33462557971094864,106037.51999999999,sl,-356.02
35,41.6,41.51,2548.0,long,-229.32,-0.21626307367429942,105808.19999999998,sl,-229.32
36,41.47,41.08,2551.0,long,-994.89,-0.9402768405473302,104813.30999999998,sl,-994.89
37,41.04,41.01,2553.0,long,-76.59,-0.07307278054666913,104736.71999999999,sl,-76.59
38,41.86,42.2,2481.0,short,843.54,0.8053908886969154,105580.25999999998,sl,843.54
39,41.95,41.86,2522.0,short,-226.98,-0.21498336905023727,105353.27999999998,sl,-226.98
40,42.04,41.9,2514.0,short,-351.96,-0.33407597751109414,105001.31999999998,sl,-351.96
41,41.86,41.94,2503.0,short,200.24,0.1907023645036082,105201.55999999998,sl,200.24
42,42.05,42.24,2490.0,short,473.1,0.44970816022119836,105674.65999999999,sl,473.1
43,42.46,42.09,2510.0,short,-928.7,-0.8788294185190662,104745.95999999999,sl,-928.7
44,42.71,42.47,2466.0,short,-591.84,-0.5650241784981493,104154.12,sl,-591.84
45,43.26,42.96,2424.0,short,-727.2,-0.6981960963234101,103426.92,sl,-727.2
46,43.37,43.17,2395.0,short,-479.0,-0.4631289416720521,102947.92,sl,-479.0
47,43.42,44.38,2370.0,long,2275.2,2.2100495085281957,105223.12,sl,2275.2
48,44.29,44.13,2375.0,long,-380.0,-0.3611373622070891,104843.12,sl,-380.0
49,44.1,43.9,2377.0,long,-475.4,-0.4534393863898747,104367.72,sl,-475.4
50,43.74,43.33,2386.0,long,-978.26,-0.9373204665197246,103389.46,sl,-978.26
51,43.26,42.9,2389.0,long,-860.04,-0.8318449482181258,102529.42000000001,sl,-860.04
52,42.93,42.23,2388.0,long,-1671.6,-1.6303613148304161,100857.82,sl,-1671.6
53,39.12,39.12,2578.0,short,0.0,0.0,100857.82,sl,0.0
54,38.78,38.96,2588.0,short,465.84,0.46187791883663554,101323.66,sl,465.84
55,38.42,38.65,2621.0,short,602.83,0.5949548210161377,101926.49,sl,602.83
56,38.5,38.07,2677.0,short,-1151.11,-1.129353124982524,100775.38,sl,-1151.11
