,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,41.27,41.2,2423.0,long,-169.61,-0.16961,99830.39,,-169.61
2,42.25,42.33,2358.0,short,188.64,0.18896049589709105,100019.03,sl,188.64
3,41.4,42.26,2366.0,short,2034.76,2.0343728588449617,102053.79,sl,2034.76
4,41.33,42.2,2469.0,long,2148.03,2.104801791290652,104201.81999999999,sl,2148.03
5,42.23,42.76,2467.0,long,1307.51,1.2547861448101387,105509.32999999999,sl,1307.51
6,42.1,41.88,2506.0,long,-551.32,-0.5225319884033006,104958.00999999998,sl,-551.32
7,40.99,41.5,2560.0,long,1305.6,1.243926023368774,106263.60999999999,sl,1305.6
8,42.23,43.11,2516.0,long,2214.08,2.0835731065413645,108477.68999999999,sl,2214.08
9,42.44,42.49,2556.0,long,127.8,0.11781224323637425,108605.48999999999,sl,127.8
10,42.15,42.0,2576.0,long,-386.4,-0.3557831192511539,108219.09,sl,-386.4
11,41.85,41.77,2585.0,long,-206.8,-0.1910938264219372,108012.29,sl,-206.8
12,40.34,40.04,2677.0,long,-803.1,-0.7435265005491506,107209.18999999999,sl,-803.1
13,39.41,40.06,2720.0,long,1768.0,1.6491123568791073,108977.18999999999,sl,1768.0
14,39.78,40.12,2739.0,long,931.26,0.8545457999054664,109908.44999999998,sl,931.26
15,43.61,43.44,2530.0,short,-430.1,-0.39132568969901776,109478.34999999998,sl,-430.1
16,43.01,43.61,2545.0,long,1527.0,1.394796322743264,111005.34999999998,sl,1527.0
17,44.35,44.24,2509.0,short,-275.99,-0.24862765623458694,110729.35999999997,sl,-275.99
18,44.1,44.1,2510.0,short,0.0,0.0,110729.35999999997,sl,0.0
19,43.2,42.74,2563.0,long,-1178.98,-1.064740191761246,109550.37999999998,sl,-1178.98
20,43.57,43.47,2520.0,short,-252.0,-0.23003115096451518,109298.37999999998,sl,-252.0
21,41.43,43.96,2486.0,short,6289.58,5.7545043211070475,115587.95999999998,sl,6289.58
22,40.79,40.67,2833.0,long,-339.96,-0.2941136775837207,115247.99999999997,sl,-339.96
23,40.24,39.96,2864.0,long,-801.92,-0.695821185617104,114446.07999999997,sl,-801.92
24,40.92,41.4,2764.0,short,1326.72,1.159253335719319,115772.79999999997,sl,1326.72
25,40.28,40.05,2874.0,long,-661.02,-0.5709631277813096,115111.77999999997,sl,-661.02
26,39.24,39.56,2933.0,long,938.56,0.8153466135264351,116050.33999999997,sl,938.56
27,38.99,38.75,2976.0,long,-714.24,-0.6154570507936471,115336.09999999996,sl,-714.24
28,38.11,38.12,3026.0,long,30.26,0.02623636485020736,115366.35999999996,sl,30.26
29,38.26,38.09,3028.0,short,-514.76,-0.44619592747833964,114851.59999999996,sl,-514.76
30,38.43,38.37,2993.0,short,-179.58,-0.15635829191757022,114672.01999999996,sl,-179.58
31,39.35,39.29,2918.0,short,-175.08,-0.1526789185365358,114496.93999999996,sl,-175.08
32,39.19,38.87,2921.0,long,-934.72,-0.816371162408358,113562.21999999996,sl,-934.72
33,38.28,38.29,2965.0,short,29.65,0.02610903520554636,113591.86999999995,sl,29.65
34,37.68,37.38,3014.0,long,-904.2,-0.7960076720279369,112687.66999999995,sl,-904.2
35,36.88,36.48,3055.0,long,-1222.0,-1.084413228173056,111465.66999999995,sl,-1222.0
36,38.27,37.88,2942.0,short,-1147.38,-1.02935729000687,110318.28999999995,sl,-1147.38
37,37.28,37.22,2959.0,long,-177.54,-0.16093432920325368,110140.74999999996,sl,-177.54
38,36.51,36.96,2979.0,short,1340.55,1.2171244521214903,111481.29999999996,sl,1340.55
39,36.78,37.26,2991.0,short,1435.68,1.2878213655563764,112916.97999999995,sl,1435.68
40,35.94,35.44,3141.0,long,-1570.5,-1.3908448490209362,111346.47999999995,sl,-1570.5
41,36.49,36.33,3064.0,short,-490.24,-0.4402833389973354,110856.23999999995,sl,-490.24
42,36.83,36.53,3034.0,short,-910.2,-0.8210633880420268,109946.03999999995,sl,-910.2
43,36.46,36.37,3022.0,short,-271.98,-0.24737589457519354,109674.05999999995,sl,-271.98
44,36.06,36.48,3006.0,short,1262.52,1.1511564357150637,110936.57999999996,sl,1262.52
45,37.1,36.98,2999.0,short,-359.88,-0.32440156348789567,110576.69999999995,sl,-359.88
46,37.22,37.2,2972.0,short,-59.44,-0.05375454322655679,110517.25999999995,sl,-59.44
47,36.58,36.46,3021.0,long,-362.52,-0.32802116158145805,110154.73999999995,sl,-362.52
48,36.31,36.22,3033.0,long,-272.97,-0.24780595006624334,109881.76999999995,sl,-272.97
49,36.21,36.17,3037.0,short,-121.48,-0.11055519036506244,109760.28999999995,sl,-121.48
