,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,24.32,24.47,4111.0,long,616.65,0.61665,100616.65,,616.65
2,24.54,24.34,4100.0,long,-820.0,-0.8149744599924565,99796.65,sl,-820.0
3,24.27,24.48,4076.0,short,855.96,0.857704141371479,100652.61,sl,855.96
4,24.4,24.29,4143.0,short,-455.73,-0.45277514413188097,100196.88,sl,-455.73
5,24.38,24.32,4119.0,short,-247.14,-0.2466543868431831,99949.74,sl,-247.14
6,24.25,24.35,4104.0,short,410.4,0.41060637076194495,100360.14,sl,410.4
7,24.16,24.25,4138.0,short,372.42,0.3710835795964414,100732.56,sl,372.42
8,24.29,24.2,4162.0,short,-374.58,-0.37185593218319873,100357.98,sl,-374.58
9,24.38,24.33,4124.0,short,-206.2,-0.20546447826072226,100151.78,sl,-206.2
10,24.4,24.33,4116.0,short,-288.12,-0.2876833542049877,99863.66,sl,-288.12
11,24.14,24.23,4136.0,long,372.24,0.37274820490256416,100235.90000000001,sl,372.24
12,24.35,24.19,4116.0,long,-658.56,-0.6570101131430953,99577.34000000001,sl,-658.56
13,23.95,23.93,4161.0,short,-83.22,-0.08357323061652379,99494.12000000001,sl,-83.22
14,23.8,23.93,4157.0,short,540.41,0.5431577263058359,100034.53000000001,sl,540.41
15,23.74,23.72,4217.0,short,-84.34,-0.08431088745056331,99950.19000000002,sl,-84.34
16,23.62,23.73,4211.0,short,463.21,0.4634408398823453,100413.40000000002,sl,463.21
17,23.51,23.6,4254.0,short,382.86,0.381283772882902,100796.26000000002,sl,382.86
18,23.58,23.47,4294.0,short,-472.34,-0.4686086567100802,100323.92000000003,sl,-472.34
19,23.68,23.55,4260.0,short,-553.8,-0.552011922979086,99770.12000000002,sl,-553.8
20,23.72,23.64,4220.0,short,-337.6,-0.33837786303153683,99432.52000000002,sl,-337.6
21,23.47,23.67,4200.0,short,840.0,0.8447940372023155,100272.52000000002,sl,840.0
22,23.37,23.41,4283.0,short,171.32,0.17085438762285018,100443.84000000003,sl,171.32
23,23.45,23.31,4309.0,short,-603.26,-0.6005943221605226,99840.58000000003,sl,-603.26
24,23.3,23.38,4270.0,short,341.6,0.34214544827363774,100182.18000000004,sl,341.6
25,23.38,23.29,4301.0,short,-387.09,-0.38638608183611084,99795.09000000004,sl,-387.09
26,23.38,23.33,4277.0,short,-213.85,-0.21428909979438862,99581.24000000003,sl,-213.85
27,23.3,23.38,4259.0,short,340.72,0.3421527990613492,99921.96000000004,sl,340.72
28,23.3,23.25,4288.0,long,-214.4,-0.21456744843675996,99707.56000000004,sl,-214.4
29,23.25,23.29,4281.0,short,171.24,0.1717422430154744,99878.80000000005,sl,171.24
30,23.33,23.25,4295.0,short,-343.6,-0.34401694854163234,99535.20000000004,sl,-343.6
31,23.27,23.29,4273.0,short,85.46,0.08585907297116996,99620.66000000005,sl,85.46
32,22.99,23.25,4284.0,short,1113.84,1.1180813297161447,100734.50000000004,sl,1113.84
33,22.92,22.92,4395.0,short,0.0,0.0,100734.50000000004,sl,0.0
34,22.93,22.87,4404.0,short,-264.24,-0.26231330874725134,100470.26000000004,sl,-264.24
35,23.0,22.92,4383.0,short,-350.64,-0.34899879825134306,100119.62000000004,sl,-350.64
36,22.96,22.99,4354.0,short,130.62,0.13046393903612494,100250.24000000003,sl,130.62
37,23.06,22.97,4364.0,short,-392.76,-0.39177961070217876,99857.48000000004,sl,-392.76
38,23.0,23.0,4341.0,short,0.0,0.0,99857.48000000004,sl,0.0
39,23.15,23.01,4339.0,short,-607.46,-0.6083269876227598,99250.02000000003,sl,-607.46
40,22.8,22.83,4353.0,long,130.59,0.13157679968225697,99380.61000000003,sl,130.59
41,22.83,22.72,4353.0,long,-478.83,-0.48181430965255684,98901.78000000003,sl,-478.83
42,23.5,23.76,4208.0,long,1094.08,1.1062288262152609,99995.86000000003,sl,1094.08
43,23.7,24.09,4219.0,long,1645.41,1.6454781227942834,101641.27000000003,sl,1645.41
44,23.38,23.5,4325.0,short,519.0,0.5106193576683957,102160.27000000003,sl,519.0
45,23.58,23.47,4352.0,short,-478.72,-0.46859703875097425,101681.55000000003,sl,-478.72
46,23.5,23.64,4326.0,long,605.64,0.5956242799209884,102287.19000000003,sl,605.64
