,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,148.85,149.05,670.0,short,134.0,0.134,100134.0,,134.0
2,148.94,148.5,674.0,short,-296.56,-0.2961631413905367,99837.44,sl,-296.56
3,149.59,149.1,669.0,short,-327.81,-0.3283437556091182,99509.63,sl,-327.81
4,149.78,149.39,666.0,short,-259.74,-0.2610199635954832,99249.89,sl,-259.74
5,149.82,149.79,662.0,short,-19.86,-0.020010097744188934,99230.03,sl,-19.86
6,150.15,149.96,661.0,short,-125.59,-0.12656450874800704,99104.44,sl,-125.59
7,127.51,127.69,776.0,short,139.68,0.14094222216481928,99244.12,sl,139.68
8,126.5,127.55,778.0,short,816.9,0.8231218131613238,100061.01999999999,sl,816.9
9,126.59,126.42,791.0,short,-134.47,-0.13438799644456953,99926.54999999999,sl,-134.47
10,126.98,126.61,789.0,short,-291.93,-0.2921445801941527,99634.62,sl,-291.93
11,127.09,126.96,784.0,short,-101.92,-0.10229376094373624,99532.7,sl,-101.92
12,127.53,127.11,783.0,short,-328.86,-0.3304039777882043,99203.84,sl,-328.86
13,127.48,127.59,777.0,short,85.47,0.0861559391249371,99289.31,sl,85.47
14,127.83,127.52,778.0,short,-241.18,-0.2429063108606556,99048.13,sl,-241.18
15,128.0,127.82,774.0,short,-139.32,-0.14065888977409263,98908.81,sl,-139.32
16,127.36,127.15,777.0,short,-163.17,-0.16497013764496812,98745.64,sl,-163.17
17,127.34,127.25,775.0,short,-69.75,-0.07063603010725333,98675.89,sl,-69.75
18,127.07,126.99,777.0,short,-62.16,-0.06299411132749853,98613.73,sl,-62.16
19,127.73,127.49,773.0,short,-185.52,-0.188127961491772,98428.20999999999,sl,-185.52
20,126.56,127.6,777.0,long,808.08,0.8209841467197261,99236.29,sl,808.08
21,134.58,135.22,737.0,long,471.68,0.47530998992404894,99707.96999999999,sl,471.68
22,134.88,135.32,739.0,long,325.16,0.3261123458836842,100033.12999999999,sl,325.16
23,135.19,134.17,739.0,long,-753.78,-0.7535303553932582,99279.34999999999,sl,-753.78
24,134.13,133.13,740.0,long,-740.0,-0.7453715198578557,98539.34999999999,sl,-740.0
25,133.5,132.87,738.0,long,-464.94,-0.47183181135252067,98074.40999999999,sl,-464.94
26,128.99,129.36,758.0,short,280.46,0.2859665431584039,98354.87,sl,280.46
27,128.63,128.88,763.0,short,190.75,0.19394057457449743,98545.62,sl,190.75
28,127.96,128.68,765.0,short,550.8,0.5589289508757467,99096.42,sl,550.8
29,127.57,127.69,776.0,short,93.12,0.09396908586606863,99189.54,sl,93.12
30,127.04,127.46,778.0,short,326.76,0.3294298975476648,99516.29999999999,sl,326.76
31,127.48,127.05,783.0,short,-336.69,-0.33832648520895575,99179.60999999999,sl,-336.69
32,127.95,127.61,777.0,short,-264.18,-0.26636523374108856,98915.43,sl,-264.18
33,124.96,124.21,796.0,short,-597.0,-0.6035458775238606,98318.43,sl,-597.0
34,124.06,124.03,792.0,short,-23.76,-0.024166374503742587,98294.67,sl,-23.76
35,123.9,124.0,792.0,short,79.2,0.08057405350666522,98373.87,sl,79.2
36,123.55,124.04,793.0,short,388.57,0.39499310131847,98762.44,sl,388.57
37,123.83,123.48,799.0,short,-279.65,-0.2831542031565846,98482.79000000001,sl,-279.65
38,124.36,124.02,794.0,short,-269.96,-0.274118960277222,98212.83,sl,-269.96
39,122.15,122.2,803.0,short,40.15,0.04088060592490818,98252.98,sl,40.15
40,122.18,122.18,804.0,short,0.0,0.0,98252.98,sl,0.0
41,122.14,122.76,800.0,short,496.0,0.5048192940305729,98748.98,sl,496.0
42,121.74,122.0,809.0,short,210.34,0.21300473179571072,98959.31999999999,sl,210.34
43,121.94,121.82,812.0,short,-97.44,-0.09846470246561922,98861.87999999999,sl,-97.44
44,121.89,122.32,808.0,short,347.44,0.3514398067283366,99209.31999999999,sl,347.44
45,122.38,121.74,814.0,short,-520.96,-0.5251119552074343,98688.35999999999,sl,-520.96
46,120.45,120.92,819.0,long,384.93,0.39004599934581957,99073.28999999998,sl,384.93
47,121.06,121.06,0.0,long,0.0,0.0,99073.28999999998,sl,0.0
48,121.06,121.17,818.0,long,89.98,0.09082165334370144,99163.26999999997,sl,89.98
49,118.4,118.63,835.0,short,192.05,0.19367049916768583,99355.31999999998,sl,192.05
50,118.99,118.32,839.0,short,-562.13,-0.5657774540910342,98793.18999999997,sl,-562.13
51,119.47,119.08,829.0,short,-323.31,-0.32725939915494184,98469.87999999998,sl,-323.31
52,119.21,119.43,824.0,short,181.28,0.18409690354045322,98651.15999999997,sl,181.28
53,120.43,120.29,819.0,long,-114.66,-0.11622772606019029,98536.49999999997,sl,-114.66
54,120.5,120.67,817.0,long,138.89,0.1409528448848904,98675.38999999997,sl,138.89
55,120.83,121.98,816.0,long,938.4,0.9509970013799796,99613.78999999996,sl,938.4
56,121.92,121.41,817.0,long,-416.67,-0.41828546027613256,99197.11999999997,sl,-416.67
57,121.56,121.8,816.0,long,195.84,0.19742508653477045,99392.95999999996,sl,195.84
58,121.85,120.14,815.0,long,-1393.65,-1.4021616822760894,97999.30999999997,sl,-1393.65
