,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,148.6,148.4,673.0,short,-134.6,-0.1346,99865.4,,-134.6
2,147.28,146.74,678.0,long,-366.12,-0.3666134617194744,99499.28,sl,-366.12
3,146.47,146.71,679.0,long,162.96,0.16378007961464647,99662.24,sl,162.96
4,146.08,145.71,682.0,long,-252.34,-0.253195192080772,99409.90000000001,sl,-252.34
5,148.46,148.94,667.0,short,320.16,0.3220604788859057,99730.06000000001,sl,320.16
6,147.31,146.51,677.0,long,-541.6,-0.5430659522314535,99188.46,sl,-541.6
7,146.26,145.93,678.0,long,-223.74,-0.22557059561162657,98964.72,sl,-223.74
8,150.01,150.7,656.0,short,452.64,0.4573751130705973,99417.36,sl,452.64
9,148.15,148.42,671.0,long,181.17,0.1822317550979024,99598.53,sl,181.17
10,149.82,149.68,665.0,short,-93.1,-0.09347527518729443,99505.43,sl,-93.1
11,147.79,147.47,673.0,long,-215.36,-0.21643039982843149,99290.06999999999,sl,-215.36
12,147.48,147.94,673.0,long,309.58,0.311793515706052,99599.65,sl,309.58
13,147.55,149.51,675.0,long,1323.0,1.3283179207959064,100922.65,sl,1323.0
14,148.86,149.78,677.0,long,622.84,0.6171459033229905,101545.48999999999,sl,622.84
15,130.33,126.36,779.0,long,-3092.63,-3.0455611568765883,98452.85999999999,sl,-3092.63
16,126.29,125.07,787.0,short,-960.14,-0.9752281447181932,97492.71999999999,sl,-960.14
17,127.51,128.07,761.0,short,426.16,0.43711981776690617,97918.87999999999,sl,426.16
18,126.46,128.06,774.0,long,1238.4,1.264720348108557,99157.27999999998,sl,1238.4
19,127.31,127.02,778.0,long,-225.62,-0.22753750405416528,98931.65999999999,sl,-225.62
20,126.14,127.6,784.0,long,1144.64,1.1570007012921852,100076.29999999999,sl,1144.64
21,125.68,127.84,796.0,long,1719.36,1.718049128514943,101795.65999999999,sl,1719.36
22,130.47,130.15,780.0,long,-249.6,-0.24519709386431604,101546.05999999998,sl,-249.6
23,132.8,132.34,767.0,short,-352.82,-0.34744824171415417,101193.23999999998,sl,-352.82
24,136.46,135.49,746.0,short,-723.62,-0.7150872923922588,100469.61999999998,sl,-723.62
25,134.97,135.32,744.0,long,260.4,0.2591828256143499,100730.01999999997,sl,260.4
26,133.52,132.87,754.0,long,-490.1,-0.4865481015490716,100239.91999999997,sl,-490.1
27,132.88,133.15,754.0,long,203.58,0.20309273989843574,100443.49999999997,sl,203.58
28,134.62,134.32,747.0,short,-224.1,-0.223110504910721,100219.39999999997,sl,-224.1
29,134.1,133.74,747.0,long,-268.92,-0.2683312811691151,99950.47999999997,sl,-268.92
30,128.4,128.49,778.0,long,70.02,0.07005469108302433,100020.49999999997,sl,70.02
31,131.06,130.88,764.0,short,-137.52,-0.13749181417809356,99882.97999999997,sl,-137.52
32,127.03,126.36,786.0,long,-526.62,-0.5272369727054601,99356.35999999997,sl,-526.62
33,125.63,126.12,790.0,long,387.1,0.38960767081241715,99743.45999999998,sl,387.1
34,123.92,123.48,804.0,long,-353.76,-0.3546698700847154,99389.69999999998,sl,-353.76
35,123.61,124.41,798.0,short,638.4,0.642320079444852,100028.09999999998,sl,638.4
36,121.69,121.76,821.0,long,57.47,0.0574538554666139,100085.56999999998,sl,57.47
37,121.89,122.32,818.0,short,351.74,0.35143927341374,100437.30999999998,sl,351.74
38,121.58,122.01,826.0,long,355.18,0.3536335252308132,100792.48999999998,sl,355.18
39,122.63,122.27,824.0,short,-296.64,-0.29430764137288407,100495.84999999998,sl,-296.64
40,120.83,122.93,817.0,short,1715.7,1.707234676854816,102211.54999999997,sl,1715.7
41,121.1,121.17,844.0,long,59.08,0.05780168679567037,102270.62999999998,sl,59.08
42,118.23,116.93,865.0,long,-1124.5,-1.099533658881343,101146.12999999998,sl,-1124.5
43,116.82,117.86,865.0,long,899.6,0.8894062481678738,102045.72999999998,sl,899.6
44,120.98,120.94,843.0,short,-33.72,-0.03304400879880031,102012.00999999998,sl,-33.72
45,119.32,119.51,854.0,long,162.26,0.15905970287224025,102174.26999999997,sl,162.26
46,119.55,121.98,854.0,long,2075.22,2.031059287235427,104249.48999999998,sl,2075.22
47,119.85,119.53,869.0,long,-278.08,-0.26674471021393015,103971.40999999997,sl,-278.08
48,119.96,120.26,864.0,short,259.2,0.24929930256788868,104230.60999999997,sl,259.2
49,120.09,120.09,867.0,short,0.0,0.0,104230.60999999997,sl,0.0
50,119.72,121.0,870.0,long,1113.6,1.0684001561537444,105344.20999999998,sl,1113.6
51,120.18,120.56,876.0,long,332.88,0.3159926872108112,105677.08999999998,sl,332.88
52,119.83,119.2,881.0,long,-555.03,-0.5252131753438707,105122.05999999998,sl,-555.03
53,118.94,118.61,883.0,long,-291.39,-0.27719205654835916,104830.66999999998,sl,-291.39
54,118.67,119.01,883.0,long,300.22,0.2863856541220237,105130.88999999998,sl,300.22
55,121.39,121.92,866.0,long,458.98,0.436579581890727,105589.86999999998,sl,458.98
56,118.3,118.05,892.0,long,-223.0,-0.21119450189682026,105366.86999999998,sl,-223.0
