,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,68.15,68.57,1467.0,long,616.14,0.61614,100616.14,,616.14
2,68.65,68.65,0.0,long,0.0,0.0,100616.14,sl,0.0
3,68.65,69.31,1465.0,long,966.9,0.9609790238424969,101583.04,sl,966.9
4,69.28,68.74,1466.0,long,-791.64,-0.7793033167741387,100791.4,sl,-791.64
5,68.89,68.53,1463.0,long,-526.68,-0.522544582176654,100264.72,sl,-526.68
6,66.4,67.42,1487.0,short,1516.74,1.5127354866198202,101781.46,sl,1516.74
7,66.46,66.21,1537.0,short,-384.25,-0.3775245511314143,101397.21,sl,-384.25
8,66.61,66.46,1525.0,short,-228.75,-0.22559792325646827,101168.46,sl,-228.75
9,66.83,66.72,1516.0,short,-166.76,-0.16483398086715956,101001.70000000001,sl,-166.76
10,67.16,66.74,1513.0,short,-635.46,-0.6291577270481585,100366.24,sl,-635.46
11,67.34,68.24,1470.0,short,1323.0,1.3181723256744498,101689.24,sl,1323.0
12,67.24,67.37,1509.0,short,196.17,0.19291126573470307,101885.41,sl,196.17
13,67.0,67.07,1519.0,short,106.33,0.10436234196829555,101991.74,sl,106.33
14,66.6,67.14,1519.0,short,820.26,0.8042415983882617,102812.0,sl,820.26
15,66.92,66.36,1549.0,short,-867.44,-0.8437147414698674,101944.56,sl,-867.44
16,67.21,66.82,1525.0,short,-594.75,-0.5834053332517204,101349.81,sl,-594.75
17,67.64,67.15,1509.0,short,-739.41,-0.7295622951833851,100610.4,sl,-739.41
18,67.99,67.57,1488.0,short,-624.96,-0.6211683881586795,99985.43999999999,sl,-624.96
19,68.26,68.09,1468.0,short,-249.56,-0.24959634122728275,99735.87999999999,sl,-249.56
20,68.51,68.05,1465.0,short,-673.9,-0.6756846182136259,99061.98,sl,-673.9
21,68.98,68.38,1448.0,short,-868.8,-0.8770266857173661,98193.18,sl,-868.8
22,69.4,69.0,1423.0,short,-569.2,-0.5796736596166863,97623.98,sl,-569.2
23,67.94,67.88,1436.0,long,-86.16,-0.08825700406805786,97537.81999999999,sl,-86.16
24,67.85,67.78,1437.0,long,-100.59,-0.10312922720643132,97437.23,sl,-100.59
25,68.11,68.22,1428.0,short,157.08,0.16121147943142475,97594.31,sl,157.08
26,66.43,67.96,1436.0,short,2197.08,2.251237802695669,99791.39,sl,2197.08
27,66.6,66.46,1501.0,short,-210.14,-0.21057928945573356,99581.25,sl,-210.14
28,65.95,66.53,1496.0,short,867.68,0.8713286888847047,100448.93,sl,867.68
29,66.01,65.99,1522.0,short,-30.44,-0.030303956448316575,100418.48999999999,sl,-30.44
30,66.24,65.98,1521.0,short,-395.46,-0.39381193642724566,100023.02999999998,sl,-395.46
31,65.17,64.71,1545.0,short,-710.7,-0.7105363634754918,99312.32999999999,sl,-710.7
32,65.05,65.19,1523.0,short,213.22,0.2146964027528103,99525.54999999999,sl,213.22
33,65.1,65.08,1529.0,short,-30.58,-0.03072577845588394,99494.96999999999,sl,-30.58
34,65.22,65.08,1528.0,short,-213.92,-0.21500584401402406,99281.04999999999,sl,-213.92
35,65.25,65.24,1521.0,short,-15.21,-0.015320144176557362,99265.83999999998,sl,-15.21
36,64.98,64.5,1539.0,short,-738.72,-0.7441834975657288,98527.11999999998,sl,-738.72
37,65.77,65.21,1510.0,short,-845.6,-0.8582408579485529,97681.51999999997,sl,-845.6
38,64.93,66.7,1504.0,long,2662.08,2.7252647174204503,100343.59999999998,sl,2662.08
39,66.3,67.79,1513.0,long,2254.37,2.2466505088515865,102597.96999999997,sl,2254.37
40,67.75,66.84,1514.0,long,-1377.74,-1.3428530798416387,101220.22999999997,sl,-1377.74
41,67.37,67.66,1502.0,long,435.58,0.43032899648617684,101655.80999999997,sl,435.58
42,67.71,67.71,0.0,long,0.0,0.0,101655.80999999997,sl,0.0
43,67.71,67.11,1501.0,long,-900.6,-0.885930671350708,100755.20999999996,sl,-900.6
44,67.23,67.23,0.0,long,0.0,0.0,100755.20999999996,sl,0.0
45,67.23,68.02,1498.0,long,1183.42,1.1745496833364752,101938.62999999996,sl,1183.42
46,68.32,68.18,1495.0,short,-209.3,-0.20531961239816554,101729.32999999996,sl,-209.3
47,68.86,68.67,1481.0,short,-281.39,-0.2766065597797608,101447.93999999996,sl,-281.39
48,68.62,68.4,1478.0,long,-325.16,-0.32051907608966745,101122.77999999996,sl,-325.16
49,68.64,68.49,1473.0,long,-220.95,-0.218496762054999,100901.82999999996,sl,-220.95
50,68.5,68.19,1473.0,long,-456.63,-0.452548779343249,100445.19999999995,sl,-456.63
51,68.18,67.82,1473.0,long,-530.28,-0.5279296571662958,99914.91999999995,sl,-530.28
52,68.02,67.2,1468.0,long,-1203.76,-1.204785031104464,98711.15999999996,sl,-1203.76
53,67.22,66.46,1468.0,long,-1115.68,-1.1302470764197285,97595.47999999997,sl,-1115.68
54,66.46,65.81,1468.0,long,-954.2,-0.9777092135824327,96641.27999999997,sl,-954.2
55,69.04,68.84,1399.0,long,-279.8,-0.2895243109362791,96361.47999999997,sl,-279.8
56,68.9,68.79,1398.0,long,-153.78,-0.15958658999425918,96207.69999999997,sl,-153.78
57,68.8,69.14,1398.0,long,475.32,0.4940560890656363,96683.01999999997,sl,475.32
58,60.58,60.31,1603.0,short,-432.81,-0.4476587512471168,96250.20999999998,sl,-432.81
59,60.18,60.62,1587.0,short,698.28,0.7254841314112459,96948.48999999998,sl,698.28
