,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,39.92,39.96,2505.0,long,100.2,0.10020000000000001,100100.2,,100.2
2,40.03,40.24,2500.0,long,525.0,0.5244744765744723,100625.2,sl,525.0
3,40.28,40.41,2498.0,long,324.74,0.32272233993075294,100949.94,sl,324.74
4,40.51,40.48,2491.0,long,-74.73,-0.0740267899119108,100875.21,sl,-74.73
5,40.51,40.49,2490.0,long,-49.8,-0.04936792696639739,100825.41,sl,-49.8
6,40.5,40.35,2489.0,long,-373.35,-0.3702935599270065,100452.06,sl,-373.35
7,40.4,40.28,2486.0,long,-298.32,-0.29697748358769344,100153.73999999999,sl,-298.32
8,37.9,38.17,2623.0,short,708.21,0.7071228693007372,100861.95,sl,708.21
9,38.05,37.99,2654.0,short,-159.24,-0.15787916057542017,100702.70999999999,sl,-159.24
10,37.62,37.64,2675.0,short,53.5,0.053126673552280776,100756.20999999999,sl,53.5
11,37.53,37.6,2679.0,short,187.53,0.18612252286980627,100943.73999999999,sl,187.53
12,37.51,37.58,2686.0,short,188.02,0.18626216940248105,101131.76,sl,188.02
13,37.63,37.55,2693.0,short,-215.44,-0.21302902273232466,100916.31999999999,sl,-215.44
14,38.04,38.58,2652.0,long,1432.08,1.4190767162338065,102348.4,sl,1432.08
15,38.45,38.18,2661.0,long,-718.47,-0.7019845937992192,101629.93,sl,-718.47
16,38.33,38.33,2651.0,long,0.0,0.0,101629.93,sl,0.0
17,38.3,38.26,2653.0,long,-106.12,-0.10441805873525643,101523.81,sl,-106.12
18,38.27,38.27,0.0,long,0.0,0.0,101523.81,sl,0.0
19,38.27,38.17,2652.0,long,-265.2,-0.2612195109698897,101258.61,sl,-265.2
20,38.27,38.13,2655.0,short,-371.7,-0.36707989572442284,100886.91,sl,-371.7
21,38.42,38.26,2636.0,short,-421.76,-0.4180522527650019,100465.15000000001,sl,-421.76
22,38.05,38.38,2640.0,long,871.2,0.8671663756038785,101336.35,sl,871.2
23,38.38,39.06,2640.0,long,1795.2,1.7715262094993554,103131.55,sl,1795.2
24,39.03,39.72,2642.0,long,1822.98,1.7676259107906358,104954.53,sl,1822.98
25,39.92,40.21,2629.0,long,762.41,0.7264193360686766,105716.94,sl,762.41
26,40.24,40.22,2627.0,long,-52.54,-0.049698752158357964,105664.40000000001,sl,-52.54
27,40.23,40.12,2626.0,long,-288.86,-0.27337494936799905,105375.54000000001,sl,-288.86
28,40.11,39.45,2627.0,long,-1733.82,-1.645372351116777,103641.72,sl,-1733.82
29,39.24,38.85,2641.0,long,-1029.99,-0.9937986363020606,102611.73,sl,-1029.99
30,38.89,38.83,2642.0,short,-158.52,-0.15448526206506802,102453.20999999999,sl,-158.52
31,38.33,38.31,2674.0,short,-53.48,-0.052199438163040485,102399.73,sl,-53.48
32,38.39,38.39,2667.0,short,0.0,0.0,102399.73,sl,0.0
33,38.1,38.39,2667.0,short,773.43,0.7553047259011327,103173.15999999999,sl,773.43
34,37.99,38.09,2708.0,short,270.8,0.26247136367636703,103443.95999999999,sl,270.8
35,37.85,37.94,2726.0,short,245.34,0.23717189481145154,103689.29999999999,sl,245.34
36,37.99,37.9,2735.0,short,-246.15,-0.23739190061076698,103443.15,sl,-246.15
37,38.01,37.97,2724.0,short,-108.96,-0.1053332192610144,103334.18999999999,sl,-108.96
38,36.64,36.44,2835.0,short,-567.0,-0.5487051284768382,102767.18999999999,sl,-567.0
39,36.6,36.67,2802.0,short,196.14,0.19085858044770906,102963.32999999999,sl,196.14
40,36.59,36.52,2819.0,short,-197.33,-0.19165075566223436,102765.99999999999,sl,-197.33
41,36.7,36.65,2803.0,short,-140.15,-0.13637779031975558,102625.84999999999,sl,-140.15
42,36.81,36.62,2802.0,short,-532.38,-0.5187581881173213,102093.46999999999,sl,-532.38
43,35.83,35.86,2847.0,short,85.41,0.08365863164411985,102178.87999999999,sl,85.41
44,35.95,35.86,2849.0,short,-256.41,-0.2509422690873105,101922.46999999999,sl,-256.41
45,35.97,36.05,2827.0,short,226.16,0.22189415150555125,102148.62999999999,sl,226.16
46,35.89,35.86,2848.0,short,-85.44,-0.08364282516564343,102063.18999999999,sl,-85.44
47,35.99,35.92,2841.0,short,-198.87,-0.19484987682630733,101864.31999999999,sl,-198.87
48,35.4,35.7,2853.0,short,855.9,0.8402353247928225,102720.21999999999,sl,855.9
49,35.1,35.28,2911.0,short,523.98,0.5101040476743528,103244.19999999998,sl,523.98
50,35.21,34.98,2951.0,short,-678.73,-0.6574025465837308,102565.46999999999,sl,-678.73
51,35.11,35.02,2928.0,short,-263.52,-0.2569285744997805,102301.94999999998,sl,-263.52
52,35.04,34.95,2927.0,short,-263.43,-0.25750242297434217,102038.51999999999,sl,-263.43
53,35.61,35.09,2907.0,short,-1511.64,-1.481440538337875,100526.87999999999,sl,-1511.64
54,36.44,37.37,2758.0,long,2564.94,2.551496674322331,103091.81999999999,sl,2564.94
55,37.38,38.42,2757.0,long,2867.28,2.781287593913853,105959.09999999999,sl,2867.28
56,38.37,38.32,2761.0,long,-138.05,-0.13028611983302996,105821.04999999999,sl,-138.05
57,38.46,38.01,2751.0,long,-1237.95,-1.1698523119927464,104583.09999999999,sl,-1237.95
58,37.96,37.95,2755.0,long,-27.55,-0.026342688254603282,104555.54999999999,sl,-27.55
59,37.27,37.09,2805.0,long,-504.9,-0.48290119462811876,104050.65,sl,-504.9
60,37.19,37.59,2768.0,short,1107.2,1.0640971488404927,105157.84999999999,sl,1107.2
61,37.4,37.22,2825.0,short,-508.5,-0.4835587642767516,104649.34999999999,sl,-508.5
62,37.06,37.22,2811.0,short,449.76,0.4297781113786182,105099.10999999999,sl,449.76
63,37.12,37.08,2834.0,short,-113.36,-0.10786009510451613,104985.74999999999,sl,-113.36
64,37.26,37.19,2822.0,short,-197.54,-0.1881588691798649,104788.20999999999,sl,-197.54
65,37.33,37.26,2812.0,short,-196.84,-0.18784556010642803,104591.37,sl,-196.84
66,37.87,38.04,2761.0,long,469.37,0.448765514783868,105060.73999999999,sl,469.37
67,38.0,37.96,2764.0,long,-110.56,-0.10523436252209914,104950.18,sl,-110.56
68,37.96,37.95,2764.0,long,-27.64,-0.0263363054737019,104922.54,sl,-27.64
69,37.94,38.28,2765.0,long,940.1,0.8959943211439602,105862.64,sl,940.1
70,38.81,38.72,2727.0,long,-245.43,-0.23183816311401267,105617.21,sl,-245.43
71,38.8,39.24,2722.0,long,1197.68,1.1339818576915637,106814.89,sl,1197.68
72,39.01,39.08,2738.0,long,191.66,0.17943191253578972,107006.55,sl,191.66
73,39.08,38.96,2738.0,long,-328.56,-0.30704662471596367,106677.99,sl,-328.56
74,38.92,38.79,2740.0,long,-356.2,-0.33390205421005775,106321.79000000001,sl,-356.2
75,38.79,38.88,2740.0,long,246.6,0.231937404364618,106568.39000000001,sl,246.6
76,38.92,38.81,2738.0,long,-301.18,-0.28261663707221246,106267.21000000002,sl,-301.18
77,38.76,39.04,2741.0,long,767.48,0.7222171354644578,107034.69000000002,sl,767.48
