,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,74.89,75.36,1326.0,short,623.22,0.62322,100623.22,,623.22
2,73.88,73.92,1361.0,short,54.44,0.05410282040268638,100677.66,sl,54.44
3,73.58,73.86,1363.0,short,381.64,0.3790711861995998,101059.3,sl,381.64
4,73.66,73.63,1372.0,short,-41.16,-0.04072856233914147,101018.14,sl,-41.16
5,73.6,73.55,1373.0,short,-68.65,-0.0679580914873309,100949.49,sl,-68.65
6,73.71,73.57,1372.0,short,-192.08,-0.19027337334740374,100757.41,sl,-192.08
7,73.87,73.78,1365.0,short,-122.85,-0.12192651637234421,100634.56,sl,-122.85
8,73.54,73.84,1362.0,short,408.6,0.4060235370433378,101043.16,sl,408.6
9,73.72,73.54,1373.0,short,-247.14,-0.24458855008097527,100796.02,sl,-247.14
10,73.99,73.68,1368.0,short,-424.08,-0.4207308979064847,100371.94,sl,-424.08
11,73.99,73.95,1357.0,short,-54.28,-0.05407885909149509,100317.66,sl,-54.28
12,72.95,73.22,1375.0,long,371.25,0.37007442159236964,100688.91,sl,371.25
13,73.48,73.53,1370.0,long,68.5,0.06803132539621294,100757.41,sl,68.5
14,73.49,73.57,1371.0,long,109.68,0.10885551742546777,100867.09,sl,109.68
15,73.47,73.53,1372.0,long,82.32,0.0816123474960961,100949.41,sl,82.32
16,73.49,73.26,1373.0,long,-315.79,-0.3128200551147352,100633.62000000001,sl,-315.79
17,73.22,73.02,1374.0,long,-274.8,-0.2730697752898087,100358.82,sl,-274.8
18,70.92,71.66,1400.0,short,1036.0,1.0322959157949445,101394.82,sl,1036.0
19,71.08,70.96,1428.0,short,-171.36,-0.16900271631233232,101223.46,sl,-171.36
20,68.93,70.61,1433.0,short,2407.44,2.3783419377286648,103630.90000000001,sl,2407.44
21,69.5,69.01,1501.0,short,-735.49,-0.7097207493131874,102895.41,sl,-735.49
22,69.76,69.47,1481.0,short,-429.49,-0.41740443038226877,102465.92,sl,-429.49
23,69.93,69.79,1468.0,short,-205.52,-0.20057400548396973,102260.4,sl,-205.52
24,69.69,69.89,1463.0,short,292.6,0.2861322662536036,102553.0,sl,292.6
25,69.39,69.49,1475.0,short,147.5,0.1438280693885113,102700.5,sl,147.5
26,69.48,69.32,1481.0,short,-236.96,-0.23072915905959562,102463.54,sl,-236.96
27,69.43,69.4,1476.0,short,-44.28,-0.043215372024038995,102419.26,sl,-44.28
28,69.41,69.43,1475.0,short,29.5,0.028803176277586853,102448.76,sl,29.5
29,69.39,69.14,1481.0,short,-370.25,-0.36140017702508065,102078.51,sl,-370.25
30,69.61,69.58,1467.0,short,-44.01,-0.04311387382123818,102034.5,sl,-44.01
31,68.3,68.51,1489.0,short,312.69,0.3064551695749967,102347.19,sl,312.69
32,68.32,68.25,1499.0,short,-104.93,-0.10252357685638462,102242.26000000001,sl,-104.93
33,68.69,68.21,1498.0,short,-719.04,-0.7032708392791786,101523.22000000002,sl,-719.04
34,68.68,68.45,1483.0,short,-341.09,-0.3359724011905847,101182.13000000002,sl,-341.09
35,68.56,68.64,1474.0,short,117.92,0.1165423182927657,101300.05000000002,sl,117.92
36,68.72,68.61,1476.0,short,-162.36,-0.16027632760299723,101137.69000000002,sl,-162.36
