,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,73.11,73.04,1369.0,short,-95.83,-0.09583,99904.17,,-95.83
2,72.81,72.79,1372.0,short,-27.44,-0.02746632097539072,99876.73,sl,-27.44
3,72.17,72.27,1383.0,long,138.3,0.138470692823043,100015.03,sl,138.3
4,72.09,72.65,1387.0,long,776.72,0.7766032765275379,100791.75,sl,776.72
5,73.39,73.15,1377.0,short,-330.48,-0.32788397859943896,100461.27,sl,-330.48
6,74.0,73.91,1359.0,short,-122.31,-0.1217484111041001,100338.96,sl,-122.31
7,74.53,74.3,1350.0,short,-310.5,-0.3094510846036275,100028.46,sl,-310.5
8,75.04,74.75,1333.0,long,-386.57,-0.3864600134801635,99641.89,sl,-386.57
9,74.48,75.94,1337.0,long,1952.02,1.9590355020363424,101593.91,sl,1952.02
10,74.69,74.46,1360.0,long,-312.8,-0.3078924711136721,101281.11,sl,-312.8
11,73.86,73.91,1371.0,long,68.55,0.06768290750367961,101349.66,sl,68.55
12,73.42,73.33,1382.0,short,-124.38,-0.12272364801223802,101225.28,sl,-124.38
13,73.57,73.57,1375.0,long,0.0,0.0,101225.28,sl,0.0
14,73.66,73.53,1374.0,long,-178.62,-0.17645789668351622,101046.66,sl,-178.62
15,72.4,72.36,1396.0,short,-55.84,-0.05526159894844619,100990.82,sl,-55.84
16,72.72,72.77,1387.0,short,69.35,0.06866960779207455,101060.17000000001,sl,69.35
17,73.61,73.58,1373.0,short,-41.19,-0.040757897003339684,101018.98000000001,sl,-41.19
18,72.74,73.76,1369.0,short,1396.38,1.3822946935318492,102415.36000000002,sl,1396.38
19,71.96,71.88,1423.0,long,-113.84,-0.11115520171974201,102301.52000000002,sl,-113.84
20,71.76,71.64,1425.0,long,-171.0,-0.16715294161807173,102130.52000000002,sl,-171.0
21,70.71,70.87,1444.0,long,231.04,0.22622033061224003,102361.56000000001,sl,231.04
22,70.78,70.52,1446.0,long,-375.96,-0.36728631333871814,101985.6,sl,-375.96
23,69.41,69.34,1469.0,long,-102.83,-0.10082796002572911,101882.77,sl,-102.83
24,68.79,68.51,1481.0,long,-414.68,-0.4070168096136373,101468.09000000001,sl,-414.68
25,68.5,68.36,1481.0,long,-207.34,-0.20434010337634223,101260.75000000001,sl,-207.34
26,68.2,68.35,1484.0,long,222.6,0.21982851203452472,101483.35000000002,sl,222.6
27,68.32,67.92,1485.0,long,-594.0,-0.5853176900447215,100889.35000000002,sl,-594.0
28,67.68,67.75,1490.0,long,104.3,0.10338058476935374,100993.65000000002,sl,104.3
29,67.88,67.49,1487.0,long,-579.93,-0.5742242210277575,100413.72000000003,sl,-579.93
30,67.1,67.2,1496.0,long,149.6,0.14898362494686976,100563.32000000004,sl,149.6
31,66.41,66.28,1514.0,long,-196.82,-0.19571748426762356,100366.50000000003,sl,-196.82
32,66.04,66.36,1519.0,long,486.08,0.4843050220940252,100852.58000000003,sl,486.08
33,66.68,66.5,1516.0,short,-272.88,-0.27057314745939065,100579.70000000003,sl,-272.88
34,67.33,67.52,1489.0,short,282.91,0.28127942318380345,100862.61000000003,sl,282.91
35,67.49,67.53,1493.0,short,59.72,0.05920925504505583,100922.33000000003,sl,59.72
36,65.3,65.24,1545.0,long,-92.7,-0.09185281394117632,100829.63000000003,sl,-92.7
37,65.81,65.58,1537.0,short,-353.51,-0.35060130638186404,100476.12000000004,sl,-353.51
38,65.2,66.33,1541.0,long,1741.33,1.7330784668038528,102217.45000000004,sl,1741.33
39,65.75,65.4,1554.0,long,-543.9,-0.5321009279726698,101673.55000000005,sl,-543.9
40,64.89,65.12,1566.0,long,360.18,0.35425142527235437,102033.73000000004,sl,360.18
41,65.08,65.75,1567.0,long,1049.89,1.0289636574101524,103083.62000000004,sl,1049.89
42,64.98,65.1,1586.0,long,190.32,0.18462681073869924,103273.94000000005,sl,190.32
43,64.58,64.59,1598.0,short,15.98,0.015473409845697755,103289.92000000004,sl,15.98
44,64.76,64.64,1597.0,short,-191.64,-0.18553601358196414,103098.28000000004,sl,-191.64
45,64.43,65.78,1600.0,long,2160.0,2.0950882982722887,105258.28000000004,sl,2160.0
46,65.04,65.94,1596.0,short,1436.4,1.3646432375676283,106694.68000000004,sl,1436.4
47,64.91,64.97,1642.0,short,98.52,0.09233824966718113,106793.20000000004,sl,98.52
48,64.97,64.89,1645.0,short,-131.6,-0.12322881981249736,106661.60000000003,sl,-131.6
49,64.66,64.71,1649.0,long,82.45,0.07730054677597184,106744.05000000003,sl,82.45
50,64.7,65.69,1649.0,long,1632.51,1.529368615861961,108376.56000000003,sl,1632.51
51,67.39,67.22,1612.0,short,-274.04,-0.2528591053268345,108102.52000000003,sl,-274.04
52,67.28,67.34,1605.0,short,96.3,0.08908210465398954,108198.82000000004,sl,96.3
53,67.51,67.6,1602.0,long,144.18,0.13325468799012777,108343.00000000003,sl,144.18
54,67.85,67.74,1599.0,short,-175.89,-0.16234551378492373,108167.11000000003,sl,-175.89
55,67.54,67.7,1597.0,short,255.52,0.2362270749398777,108422.63000000003,sl,255.52
