,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,28.55,28.55,3502.0,long,0.0,0.0,100000.0,,0.0
2,28.56,28.78,3501.0,long,770.22,0.77022,100770.22,sl,770.22
3,30.18,31.22,3338.0,long,3471.52,3.444986028610437,104241.74,sl,3471.52
4,31.33,31.67,3327.0,long,1131.18,1.0851507275300663,105372.92,sl,1131.18
5,31.68,31.1,3326.0,long,-1929.08,-1.8307170381156752,103443.84,sl,-1929.08
6,31.17,31.19,3318.0,long,66.36,0.06415075078419363,103510.2,sl,66.36
7,31.36,31.18,3300.0,long,-594.0,-0.573856489505382,102916.2,sl,-594.0
8,31.15,31.57,3303.0,long,1387.26,1.347951051437966,104303.45999999999,sl,1387.26
9,29.98,30.17,3457.0,short,656.83,0.6297298287132566,104960.29,sl,656.83
10,29.76,29.94,3505.0,short,630.9,0.6010844672780535,105591.18999999999,sl,630.9
11,29.86,29.77,3546.0,short,-319.14,-0.30224112447260043,105272.04999999999,sl,-319.14
12,29.94,29.91,3519.0,short,-105.57,-0.10028302859115977,105166.47999999998,sl,-105.57
13,29.86,29.76,3533.0,short,-353.3,-0.33594354398854087,104813.17999999998,sl,-353.3
14,29.97,29.85,3511.0,short,-421.32,-0.4019723473708174,104391.85999999997,sl,-421.32
15,29.92,29.96,3484.0,short,139.36,0.13349699871235177,104531.21999999997,sl,139.36
16,29.92,29.87,3499.0,short,-174.95,-0.16736626626954132,104356.26999999997,sl,-174.95
17,29.95,29.89,3491.0,short,-209.46,-0.2007162578731494,104146.80999999997,sl,-209.46
18,30.83,30.84,3378.0,long,33.78,0.0324349828861777,104180.58999999997,sl,33.78
19,30.86,30.89,3375.0,long,101.25,0.09718700959554945,104281.83999999997,sl,101.25
20,30.89,30.89,3375.0,long,0.0,0.0,104281.83999999997,sl,0.0
21,30.87,30.88,3378.0,long,33.78,0.03239298424346944,104315.61999999997,sl,33.78
22,30.89,30.81,3377.0,long,-270.16,-0.25898326636030167,104045.45999999996,sl,-270.16
23,30.86,30.42,3371.0,long,-1483.24,-1.4255691694764967,102562.21999999996,sl,-1483.24
24,30.41,30.26,3372.0,long,-505.8,-0.49316405202617514,102056.41999999995,sl,-505.8
25,30.23,30.14,3375.0,long,-303.75,-0.2976294876892606,101752.66999999995,sl,-303.75
26,29.39,30.24,3364.0,short,2859.4,2.810147389744172,104612.06999999995,sl,2859.4
27,29.54,29.35,3564.0,short,-677.16,-0.6473058032404868,103934.90999999995,sl,-677.16
28,29.64,29.46,3528.0,short,-635.04,-0.6109977869803325,103299.86999999995,sl,-635.04
29,29.26,29.68,3480.0,short,1461.6,1.4149098154721789,104761.46999999996,sl,1461.6
30,29.83,29.88,3511.0,long,175.55,0.16757114996572697,104937.01999999996,sl,175.55
31,29.88,29.82,3511.0,long,-210.66,-0.20074898258021817,104726.35999999996,sl,-210.66
32,29.87,29.82,3506.0,long,-175.3,-0.16738861161602492,104551.05999999995,sl,-175.3
33,29.86,29.81,3501.0,long,-175.05,-0.16743015326673885,104376.00999999995,sl,-175.05
34,29.81,29.73,3501.0,long,-280.08,-0.26833752315306947,104095.92999999995,sl,-280.08
35,29.7,29.88,3504.0,long,630.72,0.6059026515253769,104726.64999999995,sl,630.72
36,29.79,29.87,3506.0,short,280.48,0.2678210369566869,105007.12999999995,sl,280.48
37,29.43,29.81,3522.0,short,1338.36,1.2745420239558978,106345.48999999995,sl,1338.36
38,29.5,29.45,3611.0,short,-180.55,-0.16977682833564461,106164.93999999994,sl,-180.55
39,29.31,29.45,3604.0,short,504.56,0.4752604767637981,106669.49999999994,sl,504.56
40,29.3,29.28,3643.0,short,-72.86,-0.06830443566342773,106596.63999999994,sl,-72.86
41,29.2,29.28,3640.0,short,291.2,0.2731793422381795,106887.83999999994,sl,291.2
42,29.48,29.25,3654.0,short,-840.42,-0.7862634327721474,106047.41999999994,sl,-840.42
43,29.4,29.51,3593.0,short,395.23,0.3726917637411643,106442.64999999994,sl,395.23
44,29.5,29.41,3619.0,short,-325.71,-0.30599576391606204,106116.93999999993,sl,-325.71
45,29.57,29.52,3594.0,short,-179.7,-0.1693414830846047,105937.23999999993,sl,-179.7
46,29.58,29.56,3583.0,short,-71.66,-0.06764382383380957,105865.57999999993,sl,-71.66
47,28.6,28.96,3701.0,long,1332.36,1.258539366619444,107197.93999999993,sl,1332.36
48,28.93,28.93,0.0,long,0.0,0.0,107197.93999999993,sl,0.0
49,28.93,29.06,3705.0,long,481.65,0.44930900724398276,107679.58999999992,sl,481.65
50,29.07,28.92,3704.0,long,-555.6,-0.5159752187020775,107123.98999999992,sl,-555.6
51,28.91,28.81,3705.0,long,-370.5,-0.34586090379941997,106753.48999999992,sl,-370.5
52,27.74,27.64,3862.0,short,-386.2,-0.3617680321270998,106367.28999999992,sl,-386.2
53,27.65,27.72,3837.0,short,268.59,0.25251183893093465,106635.87999999992,sl,268.59
54,27.72,27.66,3855.0,short,-231.3,-0.21690635459659563,106404.57999999991,sl,-231.3
55,27.63,27.7,3841.0,short,268.87,0.25268649150252764,106673.44999999991,sl,268.87
56,28.05,27.64,3859.0,short,-1582.19,-1.483208802190237,105091.25999999991,sl,-1582.19
57,28.1,28.08,3742.0,short,-74.84,-0.07121429508029505,105016.41999999991,sl,-74.84
58,28.8,28.88,3636.0,short,290.88,0.27698525621041,105307.29999999992,sl,290.88
59,28.84,28.81,3655.0,short,-109.65,-0.10412383566951208,105197.64999999992,sl,-109.65
60,28.92,28.84,3647.0,short,-291.76,-0.2773445984772476,104905.88999999993,sl,-291.76
61,28.77,28.79,3646.0,long,72.92,0.06950991979573316,104978.80999999992,sl,72.92
62,29.29,30.28,3584.0,long,3548.16,3.379882092395601,108526.96999999993,sl,3548.16
63,30.28,30.22,3584.0,long,-215.04,-0.1981442953765319,108311.92999999993,sl,-215.04
64,30.23,29.71,3582.0,long,-1862.64,-1.7196997597586905,106449.28999999994,sl,-1862.64
65,29.79,29.54,3573.0,long,-893.25,-0.8391319472398552,105556.03999999994,sl,-893.25
