,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,29.18,29.08,3427.0,long,-342.7,-0.3427,99657.3,,-342.7
2,28.17,27.81,3537.0,long,-1273.32,-1.2776986733535827,98383.98,sl,-1273.32
3,28.19,28.11,3499.0,short,-279.92,-0.2845178656118608,98104.06,sl,-279.92
4,28.61,28.42,3429.0,long,-651.51,-0.6641009556587159,97452.55,sl,-651.51
5,28.6,28.65,3407.0,long,170.35,0.17480301952078214,97622.90000000001,sl,170.35
6,28.96,29.24,3370.0,long,943.6,0.9665764897375513,98566.50000000001,sl,943.6
7,30.1,30.03,3282.0,short,-229.74,-0.2330812192783552,98336.76000000001,sl,-229.74
8,30.26,30.24,3251.0,short,-65.02,-0.06611972979382277,98271.74,sl,-65.02
9,31.42,31.21,3148.0,short,-661.08,-0.6727061106275314,97610.66,sl,-661.08
10,31.51,31.47,3097.0,long,-123.88,-0.12691236797292427,97486.78,sl,-123.88
11,31.45,31.44,3099.0,long,-30.99,-0.03178892563689148,97455.79,sl,-30.99
12,31.31,31.17,3112.0,long,-435.68,-0.447053992379519,97020.11,sl,-435.68
13,30.55,30.44,3175.0,long,-349.25,-0.3599769161259454,96670.86,sl,-349.25
14,30.36,30.25,3184.0,long,-350.24,-0.3623015249890194,96320.62,sl,-350.24
15,30.23,30.19,3186.0,long,-127.44,-0.13230811844857313,96193.18,sl,-127.44
16,29.86,29.91,3216.0,short,160.8,0.16716361804443935,96353.98,sl,160.8
17,29.94,30.0,3211.0,short,192.66,0.19995022520086872,96546.64,sl,192.66
18,29.5,29.41,3272.0,long,-294.48,-0.30501320398099824,96252.16,sl,-294.48
19,29.69,29.86,3223.0,short,547.91,0.569244368126388,96800.07,sl,547.91
20,29.52,30.1,3279.0,long,1901.82,1.9646886618986947,98701.89000000001,sl,1901.82
21,30.07,30.03,3282.0,long,-131.28,-0.1330065716066835,98570.61000000002,sl,-131.28
22,29.98,29.93,3287.0,long,-164.35,-0.1667332686690282,98406.26000000001,sl,-164.35
23,30.08,30.03,3276.0,short,-163.8,-0.16645282525725497,98242.46,sl,-163.8
24,29.97,29.96,3278.0,long,-32.78,-0.033366428324372165,98209.68000000001,sl,-32.78
25,30.79,30.72,3196.0,short,-223.72,-0.2277983188622547,97985.96,sl,-223.72
26,30.52,30.5,3212.0,short,-64.24,-0.06556041294079273,97921.72,sl,-64.24
27,29.95,29.93,3269.0,long,-65.38,-0.06676761805246068,97856.34,sl,-65.38
28,30.21,30.13,3247.0,short,-259.76,-0.2654503530379329,97596.58,sl,-259.76
29,29.3,29.49,3330.0,long,632.7,0.6482809131221606,98229.28,sl,632.7
30,29.32,29.23,3350.0,long,-301.5,-0.30693495870070514,97927.78,sl,-301.5
31,29.85,30.42,3219.0,short,1834.83,1.873656280168916,99762.61,sl,1834.83
32,29.93,29.87,3339.0,short,-200.34,-0.2008167188087802,99562.27,sl,-200.34
33,29.92,29.88,3332.0,short,-133.28,-0.1338659715171219,99428.99,sl,-133.28
34,29.86,29.84,3329.0,long,-66.58,-0.06696236178201145,99362.41,sl,-66.58
35,29.86,29.88,3327.0,long,66.54,0.06696697473420785,99428.95,sl,66.54
36,29.69,29.97,3317.0,short,928.76,0.9340941446128116,100357.70999999999,sl,928.76
37,29.94,29.93,3353.0,short,-33.53,-0.03341048734571564,100324.18,sl,-33.53
38,30.03,29.96,3348.0,short,-234.36,-0.23360270674527317,100089.81999999999,sl,-234.36
39,29.5,29.38,3392.0,long,-407.04,-0.40667472476221866,99682.78,sl,-407.04
40,29.36,29.26,3395.0,long,-339.5,-0.3405803891103358,99343.28,sl,-339.5
41,29.28,29.21,3392.0,long,-237.44,-0.23900962400275086,99105.84,sl,-237.44
42,29.57,29.52,3357.0,short,-167.85,-0.16936438861726008,98937.98999999999,sl,-167.85
43,29.61,29.59,3343.0,short,-66.86,-0.06757768173782387,98871.12999999999,sl,-66.86
44,28.72,28.52,3442.0,long,-688.4,-0.6962598687807048,98182.73,sl,-688.4
45,28.35,28.32,3463.0,long,-103.89,-0.10581290620051001,98078.84,sl,-103.89
46,28.7,28.59,3417.0,long,-375.87,-0.38323250968302647,97702.97,sl,-375.87
47,28.12,28.21,3474.0,long,312.66,0.32001074276452396,98015.63,sl,312.66
48,27.66,28.46,3443.0,short,2754.4,2.8101640524067437,100770.03,sl,2754.4
49,27.6,27.59,3651.0,long,-36.51,-0.03623101035099424,100733.52,sl,-36.51
50,28.1,28.08,3587.0,short,-71.74,-0.07121760462654336,100661.78,sl,-71.74
51,28.42,28.4,3544.0,short,-70.88,-0.07041401413724255,100590.9,sl,-70.88
52,28.48,28.44,3536.0,short,-141.44,-0.14060914058826396,100449.45999999999,sl,-141.44
53,27.95,27.84,3593.0,long,-395.23,-0.3934615477275837,100054.23,sl,-395.23
54,27.75,27.69,3605.0,long,-216.3,-0.21618276408703563,99837.93,sl,-216.3
55,28.24,28.08,3555.0,short,-568.8,-0.5697233506343731,99269.12999999999,sl,-568.8
56,29.12,28.9,3408.0,long,-749.76,-0.7552801157822175,98519.37,sl,-749.76
57,29.2,29.16,3378.0,short,-135.12,-0.13715069432539004,98384.25,sl,-135.12
58,29.15,29.17,3375.0,long,67.5,0.06860854252586161,98451.75,sl,67.5
59,29.09,28.93,3384.0,long,-541.44,-0.5499546732282565,97910.31,sl,-541.44
60,28.91,28.81,3386.0,long,-338.6,-0.34582670609458804,97571.70999999999,sl,-338.6
61,28.81,28.86,3380.0,short,169.0,0.17320594258315244,97740.70999999999,sl,169.0
62,28.89,28.85,3387.0,short,-135.48,-0.138611638896423,97605.23,sl,-135.48
63,29.33,29.18,3327.0,long,-499.05,-0.5112943230603524,97106.18,sl,-499.05
64,29.44,29.33,3298.0,long,-362.78,-0.3735910525983001,96743.4,sl,-362.78
65,29.26,30.28,3306.0,long,3372.12,3.4856331284614765,100115.51999999999,sl,3372.12
66,29.65,29.7,3376.0,long,168.8,0.16860522724149066,100284.31999999999,sl,168.8
67,29.67,29.79,3379.0,long,405.48,0.4043304077845869,100689.79999999999,sl,405.48
