,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,8.35,8.38,11976.0,long,359.28,0.35928,100359.28,,359.28
2,8.39,8.39,11961.0,long,0.0,0.0,100359.28,sl,0.0
3,8.4,8.91,11947.0,long,6092.97,6.071157545171708,106452.25,sl,6092.97
4,8.91,8.88,11947.0,long,-358.41,-0.3366861668024866,106093.84,sl,-358.41
5,8.88,8.82,11947.0,long,-716.82,-0.6756471440754714,105377.01999999999,sl,-716.82
6,8.83,8.75,11933.0,long,-954.64,-0.9059280666695643,104422.37999999999,sl,-954.64
7,8.74,8.66,11947.0,long,-955.76,-0.9152827200452623,103466.62,sl,-955.76
8,8.65,8.6,11961.0,long,-598.05,-0.5780125029695568,102868.56999999999,sl,-598.05
9,9.19,9.21,11193.0,long,223.86,0.2176174899680243,103092.43,sl,223.86
10,9.27,9.12,11121.0,long,-1668.15,-1.6181110485027856,101424.28,sl,-1668.15
11,8.59,8.78,11551.0,short,2194.69,2.163870426292403,103618.97,sl,2194.69
12,8.41,8.59,12062.0,short,2171.16,2.095330613689752,105790.13,sl,2171.16
13,8.39,8.38,12624.0,short,-126.24,-0.11933060295889605,105663.89,sl,-126.24
14,8.35,8.41,12564.0,short,753.84,0.7134319964937881,106417.73,sl,753.84
15,8.19,8.3,12821.0,short,1410.31,1.3252584884116585,107828.04,sl,1410.31
16,8.08,8.13,13262.0,short,663.1,0.6149606354710705,108491.14,sl,663.1
17,8.07,8.06,13460.0,short,-134.6,-0.12406543059645238,108356.54,sl,-134.6
18,8.1,8.03,13493.0,short,-944.51,-0.8716686597781732,107412.03,sl,-944.51
19,8.24,8.18,13131.0,short,-787.86,-0.733493259553888,106624.17,sl,-787.86
20,8.22,8.16,13066.0,short,-783.96,-0.7352554303588014,105840.20999999999,sl,-783.96
21,8.32,8.19,12923.0,short,-1679.99,-1.5872889896949374,104160.21999999999,sl,-1679.99
22,8.48,8.4,12400.0,short,-992.0,-0.9523789408278902,103168.21999999999,sl,-992.0
23,8.7,8.56,12052.0,short,-1687.28,-1.635464874745343,101480.93999999999,sl,-1687.28
24,8.48,8.48,11967.0,long,0.0,0.0,101480.93999999999,sl,0.0
25,8.51,8.49,11924.0,long,-238.48,-0.234999794049996,101242.45999999999,sl,-238.48
26,8.44,8.53,11995.0,long,1079.55,1.0663016287830225,102322.01,sl,1079.55
27,8.25,8.31,12402.0,long,744.12,0.7272335639223663,103066.12999999999,sl,744.12
28,8.35,8.32,12343.0,long,-370.29,-0.3592741863888748,102695.84,sl,-370.29
29,8.31,8.59,12358.0,long,3460.24,3.3694061999005993,106156.08,sl,3460.24
30,8.6,8.56,12343.0,long,-493.72,-0.4650887636393507,105662.36,sl,-493.72
31,8.4,8.44,12519.0,short,500.76,0.4739246785704957,106163.12,sl,500.76
32,8.49,8.4,12638.0,short,-1137.42,-1.0713890096673875,105025.7,sl,-1137.42
33,8.56,8.47,12399.0,short,-1115.91,-1.0625113662655903,103909.79,sl,-1115.91
34,8.51,8.56,12138.0,short,606.9,0.5840643119382688,104516.68999999999,sl,606.9
35,8.51,8.53,12252.0,short,245.04,0.2344505934889442,104761.72999999998,sl,245.04
36,8.53,8.52,12295.0,short,-122.95,-0.11736155941678324,104638.77999999998,sl,-122.95
37,8.55,8.55,12238.0,short,0.0,0.0,104638.77999999998,sl,0.0
38,8.23,8.4,12456.0,short,2117.52,2.023647446959913,106756.29999999999,sl,2117.52
39,8.11,8.21,13003.0,short,1300.3,1.2180077428685707,108056.59999999999,sl,1300.3
40,7.77,8.11,13323.0,short,4529.82,4.192080816905214,112586.41999999998,sl,4529.82
41,7.98,7.82,14397.0,short,-2303.52,-2.0460016403399277,110282.89999999998,sl,-2303.52
42,8.05,8.0,13785.0,short,-689.25,-0.6249835649951172,109593.64999999998,sl,-689.25
43,8.35,8.43,13124.0,long,1049.92,0.9580117096200375,110643.56999999998,sl,1049.92
44,8.43,8.31,13124.0,long,-1574.88,-1.423381403908063,109068.68999999997,sl,-1574.88
45,8.55,8.57,12756.0,long,255.12,0.23390764113880902,109323.80999999997,sl,255.12
46,8.59,8.59,12726.0,long,0.0,0.0,109323.80999999997,sl,0.0
47,9.14,9.18,11961.0,long,478.44,0.43763568064450015,109802.24999999997,sl,478.44
48,9.08,9.07,12092.0,long,-120.92,-0.11012524788881833,109681.32999999997,sl,-120.92
49,9.36,10.1,11718.0,long,8671.32,7.905921636799993,118352.64999999997,sl,8671.32
50,10.09,9.78,11729.0,long,-3635.99,-3.0721661069692994,114716.65999999996,sl,-3635.99
51,9.7,9.81,11826.0,long,1300.86,1.1339765296514042,116017.51999999996,sl,1300.86
52,10.07,10.11,11521.0,long,460.84,0.3972158687756816,116478.35999999996,sl,460.84
53,10.18,10.13,11441.0,long,-572.05,-0.49112126922116706,115906.30999999995,sl,-572.05
54,10.15,10.19,11419.0,long,456.76,0.3940769057353307,116363.06999999995,sl,456.76
55,10.55,10.75,11029.0,long,2205.8,1.8956186013311622,118568.86999999995,sl,2205.8
56,10.71,10.67,11070.0,long,-442.8,-0.37345384163651063,118126.06999999995,sl,-442.8
57,10.65,10.66,11091.0,long,110.91,0.09389121300657852,118236.97999999995,sl,110.91
