,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,133.58,134.29,744.0,short,528.24,0.52824,100528.24,,528.24
2,132.49,132.92,756.0,short,325.08,0.32337182069436404,100853.32,sl,325.08
3,132.71,132.4,761.0,short,-235.91,-0.23391396535086795,100617.41,sl,-235.91
4,136.0,137.91,739.0,long,1411.49,1.4028287947384055,102028.90000000001,sl,1411.49
5,138.0,137.1,739.0,long,-665.1,-0.6518741258604179,101363.8,sl,-665.1
6,136.86,136.08,740.0,long,-577.2,-0.5694340583127311,100786.6,sl,-577.2
7,136.78,136.51,736.0,long,-198.72,-0.19716906811024482,100587.88,sl,-198.72
8,140.0,139.55,718.0,long,-323.1,-0.3212116608879718,100264.78,sl,-323.1
9,139.34,141.58,719.0,long,1610.56,1.606306820799886,101875.34,sl,1610.56
10,141.43,141.26,720.0,long,-122.4,-0.12014683828294463,101752.94,sl,-122.4
11,141.34,140.72,719.0,long,-445.78,-0.4381003634882687,101307.16,sl,-445.78
12,143.44,144.01,706.0,long,402.42,0.3972275997076613,101709.58,sl,402.42
13,144.12,143.39,705.0,long,-514.65,-0.5059995331806502,101194.93000000001,sl,-514.65
14,142.98,142.22,707.0,long,-537.32,-0.5309752178295889,100657.61,sl,-537.32
15,142.2,141.31,707.0,long,-629.23,-0.6251191539318289,100028.38,sl,-629.23
16,141.33,150.44,707.0,long,6440.77,6.438942628082151,106469.15000000001,sl,6440.77
17,148.82,149.53,715.0,long,507.65,0.4768047833574326,106976.8,sl,507.65
18,149.3,148.2,716.0,long,-787.6,-0.7362343984864007,106189.2,sl,-787.6
19,148.8,151.58,713.0,long,1982.14,1.866611670490031,108171.34,sl,1982.14
20,151.45,151.45,0.0,long,0.0,0.0,108171.34,sl,0.0
21,151.45,151.45,714.0,long,0.0,0.0,108171.34,sl,0.0
22,151.57,151.57,0.0,long,0.0,0.0,108171.34,sl,0.0
23,151.57,150.07,713.0,long,-1069.5,-0.9887092089272446,107101.84,sl,-1069.5
24,149.58,150.93,716.0,long,966.6,0.9025055031734283,108068.44,sl,966.6
25,151.12,152.48,715.0,long,972.4,0.8998001636740569,109040.84,sl,972.4
26,152.62,152.62,0.0,long,0.0,0.0,109040.84,sl,0.0
27,152.62,151.96,714.0,long,-471.24,-0.43216835086743643,108569.59999999999,sl,-471.24
28,151.88,151.88,0.0,long,0.0,0.0,108569.59999999999,sl,0.0
29,151.88,151.44,714.0,long,-314.16,-0.28936276821504364,108255.43999999999,sl,-314.16
30,151.16,151.16,0.0,long,0.0,0.0,108255.43999999999,sl,0.0
31,151.16,150.41,716.0,long,-537.0,-0.4960489745365222,107718.43999999999,sl,-537.0
32,150.77,150.31,716.0,short,-329.36,-0.3057600908442417,107389.07999999999,sl,-329.36
33,151.17,150.75,712.0,short,-299.04,-0.2784640672962279,107090.04,sl,-299.04
34,150.91,151.06,708.0,short,106.2,0.09916888629418759,107196.23999999999,sl,106.2
35,151.06,150.92,710.0,short,-99.4,-0.09272713296660406,107096.84,sl,-99.4
36,151.6,151.17,708.0,short,-304.44,-0.28426609039071554,106792.4,sl,-304.44
37,152.0,151.61,704.0,short,-274.56,-0.25709694697375474,106517.84,sl,-274.56
38,155.78,154.69,683.0,long,-744.47,-0.6989157872521636,105773.37,sl,-744.47
39,155.05,154.34,685.0,short,-486.35,-0.459803823968169,105287.01999999999,sl,-486.35
40,155.73,155.12,678.0,short,-413.58,-0.39281195345827064,104873.43999999999,sl,-413.58
41,156.02,155.78,673.0,short,-161.52,-0.15401420988955833,104711.91999999998,sl,-161.52
42,156.06,156.04,671.0,short,-13.42,-0.012816114917957765,104698.49999999999,sl,-13.42
43,156.18,156.08,670.0,short,-67.0,-0.06399327593040971,104631.49999999999,sl,-67.0
44,155.87,155.7,671.0,long,-114.07,-0.10902070600153874,104517.42999999998,sl,-114.07
45,155.78,158.19,670.0,long,1614.7,1.5449097820334852,106132.12999999998,sl,1614.7
