,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,18.45,18.57,5420.0,long,650.4,0.6504,100650.4,,650.4
2,18.17,18.06,5539.0,long,-609.29,-0.6053527854832171,100041.11,sl,-609.29
3,18.1,18.09,5527.0,long,-55.27,-0.055247287839968996,99985.84,sl,-55.27
4,18.55,18.33,5390.0,long,-1185.8,-1.1859679330593211,98800.04,sl,-1185.8
5,18.68,18.69,5286.0,short,52.86,0.053502002630768174,98852.9,sl,52.86
6,18.42,18.36,5366.0,long,-321.96,-0.3256960594985074,98530.93999999999,sl,-321.96
7,18.75,18.76,5254.0,long,52.54,0.05332335203541142,98583.47999999998,sl,52.54
8,18.86,18.65,5227.0,long,-1097.67,-1.113442130466484,97485.80999999998,sl,-1097.67
9,18.16,18.82,5368.0,long,3542.88,3.6342520003680545,101028.68999999999,sl,3542.88
10,18.52,18.56,5455.0,long,218.2,0.21597825330606585,101246.88999999998,sl,218.2
11,18.86,18.63,5368.0,long,-1234.64,-1.2194349870894803,100012.24999999999,sl,-1234.64
12,19.24,19.06,5247.0,short,-944.46,-0.9443443178210671,99067.78999999998,sl,-944.46
13,17.72,17.5,5590.0,long,-1229.8,-1.2413721957459636,97837.98999999998,sl,-1229.8
14,18.53,18.4,5279.0,long,-686.27,-0.7014350969393384,97151.71999999997,sl,-686.27
15,18.14,18.23,5355.0,long,481.95,0.49607974001901367,97633.66999999997,sl,481.95
16,15.08,14.41,6474.0,long,-4337.58,-4.44270915965773,93296.08999999997,sl,-4337.58
17,13.25,12.62,7041.0,long,-4435.83,-4.754572244131562,88860.25999999997,sl,-4435.83
18,14.27,14.86,6227.0,long,3673.93,4.134502870011861,92534.18999999996,sl,3673.93
19,15.09,15.47,5981.0,short,2272.78,2.4561516127174197,94806.96999999996,sl,2272.78
20,14.52,14.68,6458.0,short,1033.28,1.08987767460557,95840.24999999996,sl,1033.28
21,13.98,13.97,6860.0,short,-68.6,-0.07157744267152895,95771.64999999995,sl,-68.6
22,13.33,13.19,7184.0,long,-1005.76,-1.050164636403362,94765.88999999996,sl,-1005.76
23,12.8,12.86,7403.0,long,444.18,0.46871295146386555,95210.06999999995,sl,444.18
24,12.89,12.91,7386.0,long,147.72,0.1551516557019652,95357.78999999995,sl,147.72
25,13.72,13.56,7032.0,short,-1125.12,-1.179893116230987,94232.66999999995,sl,-1125.12
26,11.67,11.57,8074.0,long,-807.4,-0.8568153698711926,93425.26999999996,sl,-807.4
27,11.51,11.48,8116.0,long,-243.48,-0.26061471377069617,93181.78999999996,sl,-243.48
28,11.42,11.55,8159.0,long,1060.67,1.1382803442603973,94242.45999999996,sl,1060.67
29,11.33,11.52,8180.0,short,1554.2,1.6491504996792323,95796.65999999996,sl,1554.2
30,11.4,11.23,8530.0,short,-1450.1,-1.513727096539692,94346.55999999995,sl,-1450.1
31,11.42,11.49,8211.0,short,574.77,0.6092114010304142,94921.32999999996,sl,574.77
32,11.29,11.23,8407.0,long,-504.42,-0.5314084832144685,94416.90999999996,sl,-504.42
33,11.06,11.02,8536.0,long,-341.44,-0.3616301359576374,94075.46999999996,sl,-341.44
34,10.34,10.14,9277.0,short,-1855.4,-1.9722463252110256,92220.06999999996,sl,-1855.4
35,10.85,10.8,8538.0,short,-426.9,-0.46291441765333746,91793.16999999997,sl,-426.9
36,9.77,9.81,9395.0,long,375.8,0.40939865133756703,92168.96999999997,sl,375.8
37,9.69,9.6,9511.0,long,-855.99,-0.9287182009303134,91312.97999999997,sl,-855.99
38,9.33,9.55,9787.0,long,2153.14,2.3579780224016353,93466.11999999997,sl,2153.14
39,10.79,10.6,8817.0,short,-1675.23,-1.7923392989887679,91790.88999999997,sl,-1675.23
40,11.11,11.08,8284.0,short,-248.52,-0.27074582237954126,91542.36999999997,sl,-248.52
41,10.73,10.71,8531.0,long,-170.62,-0.18638363852716514,91371.74999999997,sl,-170.62
42,10.68,10.69,8555.0,long,85.55,0.09362850115051974,91457.29999999997,sl,85.55
43,10.38,10.93,8810.0,long,4845.5,5.298100862369654,96302.79999999997,sl,4845.5
44,11.23,11.19,8606.0,short,-344.24,-0.3574558579812841,95958.55999999997,sl,-344.24
45,11.68,11.84,8104.0,short,1296.64,1.3512499562311069,97255.19999999997,sl,1296.64
46,11.6,11.47,8384.0,long,-1089.92,-1.1206804366244687,96165.27999999997,sl,-1089.92
47,10.94,10.96,8790.0,long,175.8,0.18281026166616482,96341.07999999997,sl,175.8
48,11.23,11.32,8578.0,long,772.02,0.8013404043218119,97113.09999999998,sl,772.02
49,11.0,10.91,8828.0,long,-794.52,-0.8181388504743439,96318.57999999997,sl,-794.52
50,11.29,11.11,8531.0,long,-1535.58,-1.5942718424627942,94782.99999999997,sl,-1535.58
51,10.43,10.16,9087.0,long,-2453.49,-2.588533808805377,92329.50999999997,sl,-2453.49
52,10.19,10.25,9060.0,long,543.6,0.5887608414687787,92873.10999999997,sl,543.6
53,13.31,12.66,7335.0,short,-4767.75,-5.133617254768363,88105.35999999997,sl,-4767.75
54,13.2,13.53,6674.0,long,2202.42,2.499757108988603,90307.77999999997,sl,2202.42
55,13.56,12.79,7060.0,short,-5436.2,-6.019636403419508,84871.57999999997,sl,-5436.2
56,14.11,13.81,6145.0,short,-1843.5,-2.172105197051829,83028.07999999997,sl,-1843.5
57,16.97,16.87,4921.0,short,-492.1,-0.5926910510275561,82535.97999999997,sl,-492.1
58,17.18,16.98,4804.0,long,-960.8,-1.1640983726127687,81575.17999999996,sl,-960.8
59,16.38,17.06,4781.0,short,3251.08,3.9853788860778505,84826.25999999997,sl,3251.08
60,16.57,16.47,5119.0,long,-511.9,-0.6034687843127826,84314.35999999997,sl,-511.9
