,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,4.55,4.52,22123.0,short,-663.69,-0.66369,99336.31,,-663.69
2,4.37,4.4,22731.0,long,681.93,0.6864861398616477,100018.23999999999,sl,681.93
3,4.36,4.35,22939.0,long,-229.39,-0.2293481668943585,99788.84999999999,sl,-229.39
4,4.34,4.24,22992.0,long,-2299.2,-2.3040650333178503,97489.65,sl,-2299.2
5,4.33,4.2,22514.0,long,-2926.82,-3.002185360189518,94562.82999999999,sl,-2926.82
6,4.32,4.36,21889.0,long,875.56,0.925902915553606,95438.38999999998,sl,875.56
7,4.33,4.36,22041.0,long,661.23,0.6928344034303179,96099.61999999998,sl,661.23
8,4.31,4.23,22296.0,long,-1783.68,-1.8560739366086987,94315.93999999999,sl,-1783.68
9,4.24,4.13,22244.0,long,-2446.84,-2.5943016631123013,91869.09999999999,sl,-2446.84
10,4.01,4.13,22244.0,short,2669.28,2.9055253616286656,94538.37999999999,sl,2669.28
11,4.05,4.03,23458.0,short,-469.16,-0.49626405698934134,94069.21999999999,sl,-469.16
12,4.55,4.62,20674.0,long,1447.18,1.5384203249479482,95516.39999999998,sl,1447.18
13,4.43,4.37,21561.0,long,-1293.66,-1.3543852155231986,94222.73999999998,sl,-1293.66
14,4.22,4.32,21810.0,short,2181.0,2.314727845953111,96403.73999999998,sl,2181.0
15,4.26,4.2,22953.0,short,-1377.18,-1.4285545353323432,95026.55999999998,sl,-1377.18
16,4.37,4.22,22518.0,short,-3377.7,-3.554479926454247,91648.85999999999,sl,-3377.7
17,4.25,4.35,21068.0,short,2106.8,2.2987738199907786,93755.65999999999,sl,2106.8
18,3.91,4.14,22646.0,short,5208.58,5.555483263623764,98964.23999999999,sl,5208.58
19,3.75,3.94,25117.0,short,4772.23,4.822176171918261,103736.46999999999,sl,4772.23
20,3.75,3.71,27961.0,short,-1118.44,-1.078155059642959,102618.02999999998,sl,-1118.44
21,3.75,3.76,27292.0,short,272.92,0.2659571617190469,102890.94999999998,sl,272.92
22,3.66,3.73,27584.0,short,1930.88,1.8766276334313177,104821.82999999999,sl,1930.88
23,3.71,3.67,28561.0,short,-1142.44,-1.0898874785910533,103679.38999999998,sl,-1142.44
24,3.72,3.65,28405.0,short,-1988.35,-1.9177871320423472,101691.03999999998,sl,-1988.35
25,3.75,3.74,27117.0,long,-271.17,-0.2666606615489428,101419.86999999998,sl,-271.17
26,3.7,3.7,27410.0,short,0.0,0.0,101419.86999999998,sl,0.0
27,3.6,3.7,27410.0,short,2741.0,2.7026262210748255,104160.86999999998,sl,2741.0
28,3.65,3.61,28853.0,short,-1154.12,-1.1080168589221653,103006.74999999999,sl,-1154.12
29,3.62,3.63,28376.0,short,283.76,0.27547709252063585,103290.50999999998,sl,283.76
30,3.6,3.57,28932.0,short,-867.96,-0.8403095308562231,102422.54999999997,sl,-867.96
31,3.63,3.58,28609.0,short,-1430.45,-1.3966162724907751,100992.09999999998,sl,-1430.45
32,3.71,3.62,27898.0,short,-2510.82,-2.486154857657184,98481.27999999997,sl,-2510.82
33,3.8,3.8,25916.0,long,0.0,0.0,98481.27999999997,sl,0.0
34,3.91,3.85,25187.0,long,-1511.22,-1.5345251402093885,96970.05999999997,sl,-1511.22
35,3.83,3.85,25318.0,long,506.36,0.5221817950819049,97476.41999999997,sl,506.36
36,3.85,3.79,25318.0,long,-1519.08,-1.558407664130464,95957.33999999997,sl,-1519.08
37,3.8,3.77,25452.0,short,-763.56,-0.7957286018974684,95193.77999999997,sl,-763.56
38,3.8,3.8,25050.0,short,0.0,0.0,95193.77999999997,sl,0.0
39,3.7,3.77,25250.0,short,1767.5,1.8567389592051082,96961.27999999997,sl,1767.5
40,3.83,3.7,26205.0,short,-3406.65,-3.5134127767290213,93554.62999999998,sl,-3406.65
41,3.6,3.63,25772.0,short,773.16,0.8264262281834691,94327.78999999998,sl,773.16
42,3.59,3.61,26129.0,short,522.58,0.5540042865416439,94850.36999999998,sl,522.58
43,3.56,3.58,26494.0,short,529.88,0.5586483215616345,95380.24999999999,sl,529.88
44,3.56,3.56,26792.0,short,0.0,0.0,95380.24999999999,sl,0.0
45,3.55,3.55,26867.0,short,0.0,0.0,95380.24999999999,sl,0.0
46,3.37,3.55,26867.0,short,4836.06,5.0702949509987665,100216.30999999998,sl,4836.06
47,3.43,3.37,29737.0,short,-1784.22,-1.7803688840668752,98432.08999999998,sl,-1784.22
48,3.49,3.45,28531.0,short,-1141.24,-1.1594186408111422,97290.84999999998,sl,-1141.24
49,3.52,3.53,27561.0,short,275.61,0.2832846048729147,97566.45999999998,sl,275.61
50,3.43,3.49,27956.0,short,1677.36,1.719197355320671,99243.81999999998,sl,1677.36
51,3.51,3.43,28934.0,short,-2314.72,-2.332356815769486,96929.09999999998,sl,-2314.72
52,3.46,3.49,27773.0,short,833.19,0.8595870589946675,97762.28999999998,sl,833.19
53,3.45,3.46,28254.0,short,282.54,0.2890071417107763,98044.82999999997,sl,282.54
54,3.48,3.44,28501.0,short,-1140.04,-1.1627742125719431,96904.78999999998,sl,-1140.04
55,3.47,3.48,27846.0,short,278.46,0.28735421644275794,97183.24999999999,sl,278.46
56,3.48,3.48,27926.0,short,0.0,0.0,97183.24999999999,sl,0.0
57,3.46,3.51,27687.0,short,1384.35,1.4244738676675253,98567.59999999999,sl,1384.35
