,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,80.88,80.84,1237.0,short,-49.48,-0.049479999999999996,99950.52,,-49.48
2,79.9,79.73,1250.0,long,-212.5,-0.21260519705150108,99738.02,sl,-212.5
3,80.26,80.53,1238.0,short,334.26,0.33513799451803833,100072.28,sl,334.26
4,82.63,82.16,1218.0,short,-572.46,-0.5720465247718949,99499.81999999999,sl,-572.46
5,81.45,81.99,1221.0,long,659.34,0.6626544651035551,100159.15999999999,sl,659.34
6,80.79,81.1,1239.0,long,384.09,0.38347965378303894,100543.24999999999,sl,384.09
7,78.13,76.55,1286.0,long,-2031.88,-2.020901452857353,98511.36999999998,sl,-2031.88
8,76.24,75.19,1292.0,long,-1356.6,-1.3770999225774652,97154.76999999997,sl,-1356.6
9,74.68,74.76,1300.0,long,104.0,0.10704569626380674,97258.76999999997,sl,104.0
10,78.48,77.78,1250.0,short,-875.0,-0.8996617991364688,96383.76999999997,sl,-875.0
11,74.47,74.21,1294.0,long,-336.44,-0.34906291795807537,96047.32999999997,sl,-336.44
12,75.94,75.18,1264.0,long,-960.64,-1.0001735602645074,95086.68999999997,sl,-960.64
13,75.65,77.36,1229.0,short,2101.59,2.210183149713173,97188.27999999997,sl,2101.59
14,75.72,75.81,1281.0,short,115.29,0.11862541450471194,97303.56999999996,sl,115.29
15,72.48,71.82,1342.0,long,-885.72,-0.9102646490771104,96417.84999999996,sl,-885.72
16,71.53,69.39,1347.0,long,-2882.58,-2.9896746297495755,93535.26999999996,sl,-2882.58
17,66.46,66.8,1400.0,short,476.0,0.5088989426127708,94011.26999999996,sl,476.0
18,68.23,67.91,1384.0,short,-442.88,-0.4710924551918086,93568.38999999996,sl,-442.88
19,70.59,69.3,1350.0,short,-1741.5,-1.8612054776190985,91826.88999999996,sl,-1741.5
20,73.35,73.75,1245.0,short,498.0,0.5423248026803481,92324.88999999996,sl,498.0
21,72.13,72.2,1279.0,long,89.53,0.09697276649882826,92414.41999999995,sl,89.53
22,74.02,73.63,1255.0,short,-489.45,-0.5296251385876795,91924.96999999996,sl,-489.45
23,72.46,74.62,1231.0,short,2658.96,2.892532899385228,94583.92999999996,sl,2658.96
24,72.79,75.09,1299.0,long,2987.7,3.1587818353498323,97571.62999999996,sl,2987.7
25,75.45,75.52,1291.0,short,90.37,0.09261913529578222,97661.99999999996,sl,90.37
26,75.54,75.54,1292.0,short,0.0,0.0,97661.99999999996,sl,0.0
27,71.25,70.85,1378.0,short,-551.2,-0.5643955683889336,97110.79999999996,sl,-551.2
28,72.1,71.93,1350.0,short,-229.5,-0.236327988236118,96881.29999999996,sl,-229.5
29,71.54,71.57,1354.0,long,40.62,0.04192759593440634,96921.91999999995,sl,40.62
30,71.98,73.32,1346.0,long,1803.64,1.8609206255922304,98725.55999999995,sl,1803.64
31,71.87,72.11,1369.0,short,328.56,0.33280135357044327,99054.11999999995,sl,328.56
32,69.08,69.67,1433.0,long,845.47,0.8535434972316149,99899.58999999995,sl,845.47
33,70.56,70.07,1415.0,long,-693.35,-0.6940468924847443,99206.23999999995,sl,-693.35
34,72.63,72.45,1365.0,long,-245.7,-0.2476658726305927,98960.53999999995,sl,-245.7
35,86.1,86.08,1149.0,short,-22.98,-0.023221376924580255,98937.55999999995,sl,-22.98
36,86.36,86.36,1145.0,short,0.0,0.0,98937.55999999995,sl,0.0
37,86.86,86.83,1139.0,short,-34.17,-0.03453693420375439,98903.38999999996,sl,-34.17
38,86.7,86.65,1141.0,short,-57.05,-0.057682552640511135,98846.33999999995,sl,-57.05
39,86.88,86.84,1138.0,short,-45.52,-0.04605127514078926,98800.81999999995,sl,-45.52
40,86.91,86.99,1136.0,long,90.88,0.09198304224600569,98891.69999999995,sl,90.88
41,86.72,86.61,1140.0,long,-125.4,-0.12680538407166636,98766.29999999996,sl,-125.4
