,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,12.23,12.2,8196.0,short,-245.88,-0.24588000000000002,99754.12,,-245.88
2,12.2,12.22,8163.0,short,163.26,0.16366241314143215,99917.37999999999,sl,163.26
3,12.15,12.2,8189.0,short,409.45,0.4097885673143151,100326.82999999999,sl,409.45
4,12.16,12.12,8277.0,short,-331.08,-0.330001456240569,99995.74999999999,sl,-331.08
5,12.29,12.28,8142.0,short,-81.42,-0.08142346049707114,99914.32999999999,sl,-81.42
6,11.77,12.06,8284.0,short,2402.36,2.4044198664996306,102316.68999999999,sl,2402.36
7,11.82,11.76,8700.0,short,-522.0,-0.5101806948602423,101794.68999999999,sl,-522.0
8,11.93,11.84,8597.0,short,-773.73,-0.7600887629796801,101020.95999999999,sl,-773.73
9,11.8,11.92,8474.0,short,1016.88,1.0066029861525767,102037.84,sl,1016.88
10,11.88,11.82,8632.0,short,-517.92,-0.5075764049885807,101519.92,sl,-517.92
11,11.84,11.85,8567.0,short,85.67,0.08438737934387655,101605.59,sl,85.67
12,11.91,11.86,8567.0,short,-428.35,-0.42158113544737064,101177.23999999999,sl,-428.35
13,12.09,11.9,8502.0,short,-1615.38,-1.5965843701607203,99561.85999999999,sl,-1615.38
14,11.62,11.72,8495.0,short,849.5,0.8532383786321389,100411.35999999999,sl,849.5
15,11.66,11.62,8641.0,short,-345.64,-0.3442240001529708,100065.71999999999,sl,-345.64
16,11.6,11.6,8626.0,short,0.0,0.0,100065.71999999999,sl,0.0
17,11.66,11.57,8648.0,short,-778.32,-0.7778088240408405,99287.39999999998,sl,-778.32
18,11.72,11.66,8515.0,short,-510.9,-0.5145668030384521,98776.49999999999,sl,-510.9
19,11.59,11.57,8537.0,short,-170.74,-0.17285487945007166,98605.75999999998,sl,-170.74
20,11.58,11.58,8515.0,short,0.0,0.0,98605.75999999998,sl,0.0
21,11.16,11.25,8764.0,short,788.76,0.7999127028684735,99394.51999999997,sl,788.76
22,11.16,11.16,0.0,long,0.0,0.0,99394.51999999997,sl,0.0
23,11.16,11.15,8906.0,long,-89.06,-0.08960252537061401,99305.45999999998,sl,-89.06
24,11.19,11.16,8898.0,short,-266.94,-0.2688069719429325,99038.51999999997,sl,-266.94
25,11.23,11.18,8858.0,short,-442.9,-0.44719973602190355,98595.61999999998,sl,-442.9
26,10.76,10.75,9163.0,long,-91.63,-0.09293516283989087,98503.98999999998,sl,-91.63
27,10.75,10.74,9163.0,long,-91.63,-0.09302161262706213,98412.35999999997,sl,-91.63
28,10.94,10.89,9036.0,short,-451.8,-0.4590886754468647,97960.55999999997,sl,-451.8
29,10.94,10.9,8987.0,short,-359.48,-0.3669640108223148,97601.07999999997,sl,-359.48
30,10.6,10.58,9225.0,short,-184.5,-0.1890347934674494,97416.57999999997,sl,-184.5
31,10.35,10.52,9260.0,short,1574.2,1.6159466899782364,98990.77999999997,sl,1574.2
32,10.2,10.26,9648.0,short,578.88,0.5847817342180759,99569.65999999997,sl,578.88
33,10.3,10.29,9676.0,short,-96.76,-0.09717819665146997,99472.89999999998,sl,-96.76
34,10.31,10.3,9657.0,short,-96.57,-0.09708171773417686,99376.32999999997,sl,-96.57
35,10.36,10.33,9620.0,short,-288.6,-0.2904112075783037,99087.72999999997,sl,-288.6
36,10.29,10.35,9573.0,short,574.38,0.5796681385273437,99662.10999999997,sl,574.38
37,10.35,10.31,9666.0,short,-386.64,-0.3879508471173248,99275.46999999997,sl,-386.64
38,10.33,10.36,9582.0,short,287.46,0.2895579340999343,99562.92999999998,sl,287.46
39,10.59,10.5,9482.0,short,-853.38,-0.8571262416644431,98709.54999999997,sl,-853.38
40,10.65,10.77,9268.0,long,1112.16,1.1266994936153598,99821.70999999998,sl,1112.16
41,10.77,10.73,9268.0,long,-370.72,-0.3713821372124362,99450.98999999998,sl,-370.72
42,10.75,10.69,9251.0,long,-555.06,-0.5581241574367435,98895.92999999998,sl,-555.06
