,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,137.74,137.61,726.0,short,-94.38,-0.09437999999999999,99905.62,,-94.38
2,136.43,135.75,735.0,short,-499.8,-0.5002721568616461,99405.81999999999,sl,-499.8
3,135.9,136.26,729.0,short,262.44,0.2640086868153193,99668.26,sl,262.44
4,136.18,136.08,732.0,short,-73.2,-0.07344364193776434,99595.06,sl,-73.2
5,136.87,136.0,732.0,short,-636.84,-0.6394293050277795,98958.22,sl,-636.84
6,134.91,135.58,733.0,long,491.11,0.49628014731873715,99449.33,sl,491.11
7,135.55,135.82,733.0,long,197.91,0.19900586560010008,99647.24,sl,197.91
8,136.13,136.13,0.0,long,0.0,0.0,99647.24,sl,0.0
9,136.13,137.8,732.0,long,1222.44,1.226767545192421,100869.68000000001,sl,1222.44
10,137.86,136.45,731.0,long,-1030.71,-1.0218234062009515,99838.97,sl,-1030.71
11,129.08,132.19,755.0,short,2348.05,2.351837163384198,102187.02,sl,2348.05
12,127.63,129.26,790.0,short,1287.7,1.260140475766883,103474.72,sl,1287.7
13,128.02,127.82,809.0,short,-161.8,-0.15636669516960278,103312.92,sl,-161.8
14,126.93,127.6,809.0,short,542.03,0.5246488048155061,103854.95,sl,542.03
15,126.87,126.78,819.0,short,-73.71,-0.07097398824032941,103781.23999999999,sl,-73.71
16,127.74,127.11,816.0,short,-514.08,-0.4953496412261022,103267.15999999999,sl,-514.08
17,128.79,127.97,806.0,short,-660.92,-0.6400098540523435,102606.23999999999,sl,-660.92
18,130.65,130.97,785.0,long,251.2,0.2448194183901486,102857.43999999999,sl,251.2
19,130.8,131.15,786.0,long,275.1,0.26745756067815807,103132.54,sl,275.1
20,131.21,138.99,786.0,long,6115.08,5.929341020787426,109247.62,sl,6115.08
21,139.84,136.88,781.0,long,-2311.76,-2.116073558398801,106935.86,sl,-2311.76
22,136.59,137.27,782.0,long,531.76,0.4972700458012868,107467.62,sl,531.76
23,137.11,136.89,785.0,short,-172.7,-0.1606995669951563,107294.92,sl,-172.7
24,137.46,137.14,782.0,short,-250.24,-0.23322632609260532,107044.68,sl,-250.24
25,134.15,137.44,778.0,short,2559.62,2.3911697433258707,109604.29999999999,sl,2559.62
26,134.99,134.04,817.0,short,-776.15,-0.7081382755968517,108828.15,sl,-776.15
27,135.84,134.96,806.0,short,-709.28,-0.6517431381494586,108118.87,sl,-709.28
28,134.21,135.78,796.0,short,1249.72,1.1558759354403167,109368.59,sl,1249.72
29,135.07,134.16,815.0,short,-741.65,-0.6781197416918331,108626.94,sl,-741.65
30,134.16,134.4,808.0,short,193.92,0.1785192513017489,108820.86,sl,193.92
31,134.34,134.01,812.0,short,-267.96,-0.24623955370321463,108552.9,sl,-267.96
32,135.1,134.57,806.0,short,-427.18,-0.39352242086577144,108125.72,sl,-427.18
33,135.66,134.58,797.0,long,-860.76,-0.7960733116967914,107264.96,sl,-860.76
34,134.69,138.19,796.0,long,2786.0,2.597306706682219,110050.96,sl,2786.0
35,137.46,138.33,800.0,long,696.0,0.6324342831720867,110746.96,sl,696.0
36,138.06,137.41,802.0,long,-521.3,-0.4707126949579473,110225.66,sl,-521.3
37,128.76,129.44,856.0,long,582.08,0.5280803036244011,110807.74,sl,582.08
38,119.21,119.15,929.0,short,-55.74,-0.05030334523563065,110752.0,sl,-55.74
39,119.57,119.01,930.0,short,-520.8,-0.47023981508234614,110231.2,sl,-520.8
40,116.92,118.79,927.0,short,1733.49,1.5725946918839675,111964.69,sl,1733.49
41,118.92,117.72,951.0,short,-1141.2,-1.019249908163011,110823.49,sl,-1141.2
42,118.62,118.7,933.0,short,74.64,0.06735034242289248,110898.13,sl,74.64
43,122.07,124.01,908.0,long,1761.52,1.5884127171486118,112659.65000000001,sl,1761.52
44,124.12,124.81,907.0,long,625.83,0.5555050100013624,113285.48000000001,sl,625.83
45,124.82,123.09,907.0,long,-1569.11,-1.3850936589578822,111716.37000000001,sl,-1569.11
46,124.54,122.45,897.0,long,-1874.73,-1.6781157497330068,109841.64000000001,sl,-1874.73
47,122.44,121.17,897.0,long,-1139.19,-1.0371203488950091,108702.45000000001,sl,-1139.19
48,121.33,121.65,895.0,long,286.4,0.2634715224909834,108988.85,sl,286.4
49,122.89,125.07,886.0,long,1931.48,1.7721812827642462,110920.33,sl,1931.48
50,118.56,120.25,922.0,short,1558.18,1.4047740391684735,112478.51,sl,1558.18
51,118.52,117.93,953.0,short,-562.27,-0.49989104585400357,111916.23999999999,sl,-562.27
52,118.06,118.91,941.0,short,799.85,0.7146862689454185,112716.09,sl,799.85
53,117.08,118.01,955.0,short,888.15,0.7879531662249818,113604.23999999999,sl,888.15
54,118.16,117.61,965.0,short,-530.75,-0.46719206959176873,113073.48999999999,sl,-530.75
55,119.08,118.13,957.0,short,-909.15,-0.8040346150101142,112164.34,sl,-909.15
56,119.02,118.71,944.0,short,-292.64,-0.26090288589047106,111871.7,sl,-292.64
57,110.43,111.37,1004.0,short,943.76,0.8436092416580779,112815.45999999999,sl,943.76
58,110.83,110.4,1021.0,short,-439.03,-0.38915765622903103,112376.43,sl,-439.03
59,111.44,110.89,1013.0,short,-557.15,-0.4957890191030272,111819.28,sl,-557.15
60,111.71,111.19,1005.0,short,-522.6,-0.46736126363897174,111296.68,sl,-522.6
61,111.99,111.35,999.0,short,-639.36,-0.5744645752236276,110657.31999999999,sl,-639.36
62,116.0,117.11,953.0,long,1057.83,0.9559512194945621,111715.15,sl,1057.83
63,116.94,116.36,955.0,long,-553.9,-0.4958145784166248,111161.25,sl,-553.9
64,116.26,115.46,956.0,long,-764.8,-0.6880095356970167,110396.45,sl,-764.8
65,115.6,114.91,954.0,long,-658.26,-0.5962691735105613,109738.19,sl,-658.26
66,114.33,113.25,959.0,long,-1035.72,-0.9438099899406033,108702.47,sl,-1035.72
67,113.33,113.46,959.0,long,124.67,0.11468920623422815,108827.14,sl,124.67
68,111.3,110.89,977.0,long,-400.57,-0.3680791390824017,108426.56999999999,sl,-400.57
