,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,45.37,45.26,2209.0,short,-242.99,-0.24299,99757.01,,-242.99
2,43.01,43.65,2285.0,short,1462.4,1.465962141407406,101219.40999999999,sl,1462.4
3,43.01,42.96,2356.0,short,-117.8,-0.11638084039414971,101101.60999999999,sl,-117.8
4,42.88,42.89,2357.0,short,23.57,0.023313179681312697,101125.18,sl,23.57
5,42.74,42.91,2356.0,short,400.52,0.3960635719016767,101525.7,sl,400.52
6,42.71,42.83,2370.0,short,284.4,0.28012611585046937,101810.09999999999,sl,284.4
7,43.07,42.88,2374.0,short,-451.06,-0.4430405234844088,101359.04,sl,-451.06
8,42.08,42.0,2413.0,short,-193.04,-0.19045168541454222,101166.0,sl,-193.04
9,42.04,41.88,2415.0,short,-386.4,-0.3819465037660874,100779.6,sl,-386.4
10,42.21,41.97,2401.0,short,-576.24,-0.5717823845302025,100203.36,sl,-576.24
11,43.08,44.21,2325.0,long,2627.25,2.6219180674180986,102830.61,sl,2627.25
12,44.17,44.74,2328.0,long,1326.96,1.2904328779144654,104157.57,sl,1326.96
13,44.78,44.19,2325.0,long,-1371.75,-1.3169950105402803,102785.82,sl,-1371.75
14,40.44,40.72,2524.0,short,706.72,0.6875656583758343,103492.54000000001,sl,706.72
15,40.74,40.53,2553.0,short,-536.13,-0.5180373387299219,102956.41,sl,-536.13
16,40.72,40.71,2529.0,short,-25.29,-0.024563793551076612,102931.12000000001,sl,-25.29
17,38.1,38.2,2694.0,short,269.4,0.261728425766668,103200.52,sl,269.4
18,37.81,37.89,2723.0,short,217.84,0.21108420771523245,103418.36,sl,217.84
19,37.87,37.82,2734.0,short,-136.7,-0.13218155847762428,103281.66,sl,-136.7
20,38.16,38.35,2693.0,short,511.67,0.49541225421822227,103793.33,sl,511.67
21,38.29,38.23,2714.0,short,-162.84,-0.15688869410009296,103630.49,sl,-162.84
22,37.37,37.14,2790.0,short,-641.7,-0.6192193050520169,102988.79000000001,sl,-641.7
23,37.27,37.33,2758.0,short,165.48,0.16067768152242587,103154.27,sl,165.48
24,37.43,37.3,2765.0,short,-359.45,-0.34845867262693053,102794.82,sl,-359.45
25,37.49,37.44,2745.0,short,-137.25,-0.13351840102448742,102657.57,sl,-137.25
26,36.21,36.47,2814.0,short,731.64,0.7126995115898418,103389.21,sl,731.64
27,36.24,36.17,2858.0,short,-200.06,-0.1935018170658234,103189.15000000001,sl,-200.06
28,36.12,36.24,2847.0,short,341.64,0.33108132008064795,103530.79000000001,sl,341.64
29,35.84,35.77,2894.0,short,-202.58,-0.19567125876273134,103328.21,sl,-202.58
30,35.74,35.59,2903.0,short,-435.45,-0.4214241202862219,102892.76000000001,sl,-435.45
31,35.47,35.79,2874.0,short,919.68,0.893823822006524,103812.44,sl,919.68
32,34.99,35.51,2923.0,short,1519.96,1.464140521116737,105332.40000000001,sl,1519.96
33,34.47,34.88,3019.0,short,1237.79,1.1751275011297568,106570.19,sl,1237.79
34,34.62,34.44,3094.0,short,-556.92,-0.5225851619481958,106013.27,sl,-556.92
35,34.29,34.37,3084.0,short,246.72,0.2327255823728482,106259.99,sl,246.72
36,34.33,34.29,3098.0,short,-123.92,-0.11661962324671779,106136.07,sl,-123.92
37,34.49,34.33,3091.0,short,-494.56,-0.46596788443363313,105641.51000000001,sl,-494.56
38,34.44,34.49,3062.0,short,153.1,0.14492409281162297,105794.61000000002,sl,153.1
39,30.35,30.72,3443.0,short,1273.91,1.2041350688848893,107068.52000000002,sl,1273.91
40,30.25,30.38,3524.0,short,458.12,0.42787553241606396,107526.64000000001,sl,458.12
41,30.3,30.29,3549.0,short,-35.49,-0.03300577419698039,107491.15000000001,sl,-35.49
42,30.58,30.33,3544.0,short,-886.0,-0.8242539036934667,106605.15000000001,sl,-886.0
43,30.75,30.98,3466.0,long,797.18,0.7477875130798088,107402.33,sl,797.18
44,30.96,30.78,3469.0,long,-624.42,-0.5813840351508203,106777.91,sl,-624.42
45,30.76,30.76,3471.0,long,0.0,0.0,106777.91,sl,0.0
46,31.17,31.85,3425.0,long,2329.0,2.1811627517339494,109106.91,sl,2329.0
47,31.86,31.85,3424.0,long,-34.24,-0.03138206370247311,109072.67,sl,-34.24
48,31.83,31.68,3426.0,long,-513.9,-0.4711537729845615,108558.77,sl,-513.9
