,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,43.09,43.25,2320.0,long,371.2,0.3712,100371.2,,371.2
2,42.58,42.12,2357.0,long,-1084.22,-1.080210259516674,99286.98,sl,-1084.22
3,42.13,42.34,2344.0,short,492.24,0.4957749747247827,99779.22,sl,492.24
4,42.88,42.81,2330.0,short,-163.1,-0.1634608889506252,99616.12,sl,-163.1
5,43.54,43.5,2290.0,short,-91.6,-0.09195298913469026,99524.51999999999,sl,-91.6
6,44.06,43.92,2266.0,short,-317.24,-0.318755619218259,99207.27999999998,sl,-317.24
7,46.26,45.85,2163.0,short,-886.83,-0.8939162529201489,98320.44999999998,sl,-886.83
8,44.01,43.47,2234.0,long,-1206.36,-1.2269675332039267,97114.08999999998,sl,-1206.36
9,42.76,44.84,2271.0,long,4723.68,4.864052167919198,101837.76999999999,sl,4723.68
10,45.95,45.56,2235.0,short,-871.65,-0.8559201561463886,100966.12,sl,-871.65
11,46.09,45.88,2190.0,long,-459.9,-0.4554993298742192,100506.22,sl,-459.9
12,45.86,45.5,2191.0,long,-788.76,-0.7847872499831354,99717.46,sl,-788.76
13,44.04,44.12,2264.0,long,181.12,0.1816331864048683,99898.58,sl,181.12
14,44.22,43.83,2259.0,long,-881.01,-0.8819044274703404,99017.57,sl,-881.01
15,44.85,45.16,2192.0,short,679.52,0.6862620442008422,99697.09000000001,sl,679.52
16,42.74,42.98,2319.0,short,556.56,0.5582509980983396,100253.65000000001,sl,556.56
17,42.75,42.68,2345.0,long,-164.15,-0.16373468696650942,100089.50000000001,sl,-164.15
18,42.05,41.87,2380.0,long,-428.4,-0.4280169248522572,99661.10000000002,sl,-428.4
19,42.52,42.69,2334.0,short,396.78,0.39812926006235116,100057.88000000002,sl,396.78
20,41.81,42.04,2393.0,long,550.39,0.5500716185471848,100608.27000000002,sl,550.39
21,44.47,44.17,2277.0,short,-683.1,-0.6789700290045737,99925.17000000001,sl,-683.1
22,44.44,44.21,2248.0,long,-517.04,-0.5174271907668507,99408.13000000002,sl,-517.04
23,44.35,45.27,2195.0,short,2019.4,2.031423385592305,101427.53000000001,sl,2019.4
24,43.63,40.92,2324.0,long,-6298.04,-6.20939896692742,95129.49000000002,sl,-6298.04
25,40.28,39.83,2361.0,long,-1062.45,-1.1168461010355462,94067.04000000002,sl,-1062.45
26,38.69,38.44,2431.0,long,-607.75,-0.646081773169433,93459.29000000002,sl,-607.75
27,38.08,38.05,2454.0,long,-73.62,-0.0787722654430608,93385.67000000003,sl,-73.62
28,38.13,38.0,2449.0,long,-318.37,-0.3409195436516116,93067.30000000003,sl,-318.37
29,37.17,37.15,2503.0,long,-50.06,-0.05378903223796112,93017.24000000003,sl,-50.06
30,36.25,36.1,2565.0,long,-384.75,-0.41363299964608696,92632.49000000003,sl,-384.75
31,35.81,35.88,2581.0,short,180.67,0.19503955901433712,92813.16000000003,sl,180.67
32,36.45,36.44,2547.0,short,-25.47,-0.02744222909768398,92787.69000000003,sl,-25.47
33,36.12,36.24,2560.0,short,307.2,0.3310784005938718,93094.89000000003,sl,307.2
34,35.55,35.53,2618.0,long,-52.36,-0.056243688563357215,93042.53000000003,sl,-52.36
35,34.58,34.47,2690.0,long,-295.9,-0.318026605682369,92746.63000000003,sl,-295.9
36,34.4,34.4,2696.0,long,0.0,0.0,92746.63000000003,sl,0.0
37,34.17,34.34,2714.0,long,461.38,0.49746281886468524,93208.01000000004,sl,461.38
38,34.5,34.44,2706.0,short,-162.36,-0.1741910378732471,93045.65000000004,sl,-162.36
39,34.4,34.32,2704.0,long,-216.32,-0.23248803141253774,92829.33000000003,sl,-216.32
40,34.71,34.6,2674.0,long,-294.14,-0.31686106104611533,92535.19000000003,sl,-294.14
41,35.13,35.13,2634.0,short,0.0,0.0,92535.19000000003,sl,0.0
42,31.85,31.7,2919.0,short,-437.85,-0.4731713416268987,92097.34000000003,sl,-437.85
43,30.56,30.86,2984.0,short,895.2,0.9720150440827062,92992.54000000002,sl,895.2
44,30.49,30.41,3057.0,short,-244.56,-0.26298883759923103,92747.98000000003,sl,-244.56
45,31.42,31.17,2975.0,short,-743.75,-0.8019042571061922,92004.23000000003,sl,-743.75
46,30.02,29.76,3064.0,long,-796.64,-0.8658732321329136,91207.59000000003,sl,-796.64
47,30.19,30.05,3021.0,long,-422.94,-0.4637114082281966,90784.65000000002,sl,-422.94
48,30.06,30.26,3020.0,long,604.0,0.6653107105661583,91388.65000000002,sl,604.0
49,30.95,30.75,2971.0,short,-594.2,-0.6501901494332173,90794.45000000003,sl,-594.2
50,31.08,30.9,2938.0,short,-528.84,-0.5824585093031566,90265.61000000003,sl,-528.84
51,31.77,31.61,2855.0,short,-456.8,-0.5060620539760379,89808.81000000003,sl,-456.8
52,31.88,31.85,2817.0,long,-84.51,-0.09409989955328434,89724.30000000003,sl,-84.51
