,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,125.64,125.04,799.0,short,-479.4,-0.47939999999999994,99520.6,,-479.4
2,125.76,125.15,795.0,short,-484.95,-0.48728604932044217,99035.65000000001,sl,-484.95
3,124.79,125.61,788.0,short,646.16,0.6524519200914013,99681.81000000001,sl,646.16
4,124.73,124.38,801.0,short,-280.35,-0.2812448931254358,99401.46,sl,-280.35
5,124.94,124.26,799.0,short,-543.32,-0.546591569178159,98858.14,sl,-543.32
6,123.32,123.28,801.0,short,-32.04,-0.03241007771337798,98826.1,sl,-32.04
7,126.67,127.09,780.0,long,327.6,0.3314913772778648,99153.70000000001,sl,327.6
8,127.07,126.83,780.0,long,-187.2,-0.1887977957453932,98966.50000000001,sl,-187.2
9,124.24,126.28,783.0,short,1597.32,1.6140006972056198,100563.82000000002,sl,1597.32
10,124.74,124.68,806.0,short,-48.36,-0.048088865359331004,100515.46000000002,sl,-48.36
11,125.14,124.79,805.0,short,-281.75,-0.28030513912984123,100233.71000000002,sl,-281.75
12,124.77,124.43,805.0,short,-273.7,-0.2730618272036423,99960.01000000002,sl,-273.7
13,126.16,124.78,801.0,short,-1105.38,-1.1058222183051,98854.63000000002,sl,-1105.38
14,126.72,126.07,784.0,short,-509.6,-0.5155044331256917,98345.03000000001,sl,-509.6
15,124.38,126.42,777.0,short,1585.08,1.6117540459339934,99930.11000000002,sl,1585.08
16,123.89,123.29,810.0,short,-486.0,-0.48633990295817736,99444.11000000002,sl,-486.0
17,124.35,123.97,802.0,short,-304.76,-0.30646360050886867,99139.35000000002,sl,-304.76
18,125.28,124.49,791.0,long,-624.89,-0.6303148043637565,98514.46000000002,sl,-624.89
19,124.18,123.41,798.0,short,-614.46,-0.6237256946848208,97900.00000000001,sl,-614.46
20,122.23,123.43,793.0,short,951.6,0.9720122574055157,98851.60000000002,sl,951.6
21,123.16,121.87,811.0,short,-1046.19,-1.0583440227573453,97805.41000000002,sl,-1046.19
22,123.98,123.11,794.0,short,-690.78,-0.7062799491357378,97114.63000000002,sl,-690.78
23,123.44,123.92,783.0,short,375.84,0.38700657151244866,97490.47000000002,sl,375.84
24,121.83,121.81,800.0,short,-16.0,-0.016411860564422346,97474.47000000002,sl,-16.0
25,120.17,122.45,796.0,short,1814.88,1.861902916732966,99289.35000000002,sl,1814.88
26,121.0,120.71,822.0,short,-238.38,-0.24008617238404717,99050.97000000002,sl,-238.38
27,120.88,121.37,816.0,short,399.84,0.403670958497428,99450.81000000001,sl,399.84
28,121.25,120.93,822.0,short,-263.04,-0.26449256672720917,99187.77000000002,sl,-263.04
29,120.99,121.19,818.0,short,163.6,0.16493968964117245,99351.37000000002,sl,163.6
30,121.64,121.04,820.0,short,-492.0,-0.49521209420665246,98859.37000000002,sl,-492.0
31,121.96,121.71,812.0,short,-203.0,-0.2053421946751228,98656.37000000002,sl,-203.0
32,122.1,122.27,806.0,short,137.02,0.1388861155138791,98793.39000000003,sl,137.02
33,121.88,121.05,816.0,short,-677.28,-0.6855519382420219,98116.11000000003,sl,-677.28
34,122.39,122.04,803.0,short,-281.05,-0.286446333838551,97835.06000000003,sl,-281.05
35,123.98,125.91,789.0,long,1522.77,1.5564665673021507,99357.83000000003,sl,1522.77
36,125.94,125.58,788.0,long,-283.68,-0.28551348192688986,99074.15000000004,sl,-283.68
37,125.55,124.07,789.0,long,-1167.72,-1.1786323677770636,97906.43000000004,sl,-1167.72
38,124.46,125.34,786.0,long,691.68,0.7064704534727696,98598.11000000003,sl,691.68
39,125.46,125.09,785.0,long,-290.45,-0.29457968311968646,98307.66000000003,sl,-290.45
40,125.17,125.03,785.0,long,-109.9,-0.11179189902394175,98197.76000000004,sl,-109.9
41,125.11,124.68,784.0,long,-337.12,-0.3433072200424937,97860.64000000004,sl,-337.12
42,129.23,131.46,757.0,long,1688.11,1.7250142651836318,99548.75000000004,sl,1688.11
43,131.27,131.09,758.0,long,-136.44,-0.1370584763746405,99412.31000000004,sl,-136.44
44,129.59,129.18,767.0,long,-314.47,-0.31632903410050517,99097.84000000004,sl,-314.47
45,128.75,128.41,769.0,long,-261.46,-0.2638402613013562,98836.38000000003,sl,-261.46
46,129.56,131.94,762.0,long,1813.56,1.8349113959859713,100649.94000000003,sl,1813.56
47,132.01,131.7,762.0,long,-236.22,-0.23469462574940425,100413.72000000003,sl,-236.22
48,131.86,131.48,761.0,long,-289.18,-0.28798853383780615,100124.54000000004,sl,-289.18
49,131.81,131.44,759.0,long,-280.83,-0.280480689349484,99843.71000000004,sl,-280.83
50,131.45,131.18,759.0,long,-204.93,-0.20525078645414913,99638.78000000004,sl,-204.93
51,131.07,131.38,760.0,long,235.6,0.23645411957071322,99874.38000000005,sl,235.6
52,131.2,130.97,761.0,long,-175.03,-0.17525014923747204,99699.35000000005,sl,-175.03
53,130.66,130.38,763.0,long,-213.64,-0.21428424558434922,99485.71000000005,sl,-213.64
54,130.26,130.34,763.0,long,61.04,0.06135554543461565,99546.75000000004,sl,61.04
55,129.61,129.5,768.0,long,-84.48,-0.08486464902169079,99462.27000000005,sl,-84.48
