,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,6.55,6.71,15267.0,long,2442.72,2.44272,102442.72,,2442.72
2,6.72,6.64,15244.0,long,-1219.52,-1.190440862952487,101223.2,sl,-1219.52
3,6.64,6.59,15244.0,long,-762.2,-0.752989433252456,100461.0,sl,-762.2
4,7.11,7.18,13991.0,short,979.37,0.9748758224584665,101440.37,sl,979.37
5,6.75,7.09,14307.0,short,4864.38,4.795309796287218,106304.75,sl,4864.38
6,6.8,6.8,15633.0,short,0.0,0.0,106304.75,sl,0.0
7,6.93,6.78,15679.0,short,-2351.85,-2.212365863237532,103952.9,sl,-2351.85
8,6.89,6.9,15065.0,short,150.65,0.14492140190413158,104103.54999999999,sl,150.65
9,6.95,6.91,15065.0,short,-602.6,-0.5788467348135583,103500.94999999998,sl,-602.6
10,6.98,6.96,14870.0,short,-297.4,-0.28734035774550865,103203.54999999999,sl,-297.4
11,7.06,6.99,14764.0,short,-1033.48,-1.001399661155067,102170.06999999999,sl,-1033.48
12,7.01,7.09,14574.0,long,1165.92,1.1411561135271808,103335.98999999999,sl,1165.92
13,7.11,7.03,14533.0,long,-1162.64,-1.125106557744306,102173.34999999999,sl,-1162.64
14,7.05,6.99,14492.0,long,-869.52,-0.8510242641549877,101303.82999999999,sl,-869.52
15,6.8,6.83,14832.0,short,444.96,0.4392331464664268,101748.79,sl,444.96
16,6.8,6.79,14985.0,short,-149.85,-0.14727447864490575,101598.93999999999,sl,-149.85
17,6.84,6.79,14963.0,short,-748.15,-0.736375792897052,100850.79,sl,-748.15
18,6.97,6.87,14679.0,short,-1467.9,-1.455516610231809,99382.89,sl,-1467.9
19,7.11,7.02,14157.0,short,-1274.13,-1.2820416069607155,98108.76,sl,-1274.13
20,7.12,7.07,13876.0,short,-693.8,-0.7071743644502285,97414.95999999999,sl,-693.8
21,7.14,7.16,13605.0,short,272.1,0.27932054789120686,97687.06,sl,272.1
22,6.76,6.8,14365.0,short,574.6,0.5882048246717632,98261.66,sl,574.6
23,6.77,6.76,14535.0,short,-145.35,-0.14792137645547612,98116.31,sl,-145.35
24,6.81,6.78,14471.0,short,-434.13,-0.44246466260298617,97682.18,sl,-434.13
25,6.97,6.85,14260.0,short,-1711.2,-1.7518036554876233,95970.98,sl,-1711.2
26,6.93,6.97,13769.0,short,550.76,0.5738818130230617,96521.73999999999,sl,550.76
27,6.98,6.94,13908.0,short,-556.32,-0.5763675623750671,95965.41999999998,sl,-556.32
28,6.99,6.97,13768.0,short,-275.36,-0.28693669032032587,95690.05999999998,sl,-275.36
29,7.02,6.98,13709.0,short,-548.36,-0.5730584765021571,95141.69999999998,sl,-548.36
30,7.07,7.03,13533.0,short,-541.32,-0.56896187476154,94600.37999999998,sl,-541.32
31,7.09,7.08,13361.0,short,-133.61,-0.14123621913569487,94466.76999999997,sl,-133.61
32,7.05,7.06,13380.0,short,133.8,0.1416371068895444,94600.56999999998,sl,133.8
33,7.1,7.05,13418.0,short,-670.9,-0.7091923441898924,93929.66999999998,sl,-670.9
34,7.14,7.14,13155.0,short,0.0,0.0,93929.66999999998,sl,0.0
35,7.12,7.14,13155.0,short,263.1,0.28010318784256355,94192.76999999999,sl,263.1
36,6.89,6.88,13690.0,short,-136.9,-0.14534024214385033,94055.87,sl,-136.9
37,6.64,6.88,13670.0,short,3280.8,3.4881395493976086,97336.67,sl,3280.8
38,6.57,6.64,14659.0,short,1026.13,1.0542070116021023,98362.8,sl,1026.13
39,6.64,6.59,14926.0,short,-746.3,-0.7587217931982415,97616.5,sl,-746.3
40,6.66,6.66,14657.0,short,0.0,0.0,97616.5,sl,0.0
41,6.7,6.68,14613.0,short,-292.26,-0.299396106191064,97324.24,sl,-292.26
42,6.56,6.67,14591.0,short,1605.01,1.6491369467668073,98929.25,sl,1605.01
43,6.58,6.57,15057.0,short,-150.57,-0.1521996780527498,98778.68,sl,-150.57
44,6.6,6.57,15034.0,short,-451.02,-0.4565965044278785,98327.65999999999,sl,-451.02
45,6.62,6.59,14920.0,short,-447.6,-0.45521270413635395,97880.05999999998,sl,-447.6
46,7.08,7.11,13824.0,long,414.72,0.4237022331208216,98294.77999999998,sl,414.72
47,7.14,6.45,13766.0,long,-9498.54,-9.663320880315315,88796.23999999999,sl,-9498.54
48,5.83,5.8,15309.0,short,-459.27,-0.5172178461610537,88336.96999999999,sl,-459.27
49,5.79,5.82,15178.0,short,455.34,0.5154580239734282,88792.30999999998,sl,455.34
50,5.82,5.78,15361.0,short,-614.44,-0.6919968632418733,88177.86999999998,sl,-614.44
51,5.8,5.83,15124.0,short,453.72,0.514550873138578,88631.58999999998,sl,453.72
52,5.81,5.81,0.0,long,0.0,0.0,88631.58999999998,sl,0.0
53,5.81,5.76,15255.0,long,-762.75,-0.8605848095470251,87868.83999999998,sl,-762.75
54,6.28,6.45,13991.0,long,2378.47,2.7068412420148036,90247.30999999998,sl,2378.47
55,6.44,6.39,14013.0,long,-700.65,-0.7763666307616262,89546.65999999999,sl,-700.65
56,6.39,6.32,14013.0,long,-980.91,-1.0954177408738641,88565.74999999999,sl,-980.91
57,6.34,6.3,13969.0,long,-558.76,-0.6308985132514545,88006.98999999999,sl,-558.76
58,6.29,6.16,13991.0,long,-1818.83,-2.0666881119329275,86188.15999999999,sl,-1818.83
59,6.15,6.09,14014.0,long,-840.84,-0.9755864378587501,85347.31999999999,sl,-840.84
60,6.12,6.12,13945.0,short,0.0,0.0,85347.31999999999,sl,0.0
