,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,6.57,6.57,15220.0,short,0.0,0.0,100000.0,,0.0
2,6.78,7.16,14749.0,long,5604.62,5.60462,105604.62,sl,5604.62
3,7.2,7.26,14546.0,short,872.76,0.8264411159284508,106477.37999999999,sl,872.76
4,7.47,7.54,14121.0,short,988.47,0.92833801883555,107465.84999999999,sl,988.47
5,7.2,7.13,14925.0,long,-1044.75,-0.9721692984329442,106421.09999999999,sl,-1044.75
6,7.14,7.12,14904.0,long,-298.08,-0.28009483081832454,106123.01999999999,sl,-298.08
7,7.06,7.01,15138.0,short,-756.9,-0.7132288545878172,105366.12,sl,-756.9
8,7.05,7.0,15052.0,short,-752.6,-0.714271342628921,104613.51999999999,sl,-752.6
9,7.04,6.99,14859.0,long,-742.95,-0.710185452128941,103870.56999999999,sl,-742.95
10,6.89,6.84,15185.0,short,-759.25,-0.7309577679221363,103111.31999999999,sl,-759.25
11,7.06,7.01,14605.0,long,-730.25,-0.7082151600813569,102381.06999999999,sl,-730.25
12,7.07,7.08,14481.0,long,144.81,0.14144216308737545,102525.87999999999,sl,144.81
13,7.46,7.48,13706.0,short,274.12,0.267366639525552,102799.99999999999,sl,274.12
14,7.39,7.43,13835.0,short,553.4,0.5383268482490272,103353.39999999998,sl,553.4
15,7.12,7.07,14618.0,short,-730.9,-0.7071852498321295,102622.49999999999,sl,-730.9
16,6.76,6.82,15047.0,short,902.82,0.8797485931447784,103525.31999999999,sl,902.82
17,6.93,6.97,14852.0,short,594.08,0.5738499528424544,104119.4,sl,594.08
18,6.99,6.98,14916.0,short,-149.16,-0.14325860502461596,103970.23999999999,sl,-149.16
19,7.07,7.03,14789.0,short,-591.56,-0.5689705054061623,103378.68,sl,-591.56
20,7.03,6.9,14705.0,long,-1911.65,-1.8491723825454147,101467.03,sl,-1911.65
21,6.77,6.86,14987.0,long,1348.83,1.3293283542447236,102815.86,sl,1348.83
22,6.55,6.55,15697.0,long,0.0,0.0,102815.86,sl,0.0
23,6.57,6.66,15649.0,long,1408.41,1.369837299420537,104224.27,sl,1408.41
24,6.74,6.72,15509.0,short,-310.18,-0.29760822503242285,103914.09000000001,sl,-310.18
25,6.57,6.54,15816.0,long,-474.48,-0.45660795374332774,103439.61000000002,sl,-474.48
26,7.32,7.26,14131.0,long,-847.86,-0.8196666634763993,102591.75000000001,sl,-847.86
27,7.16,7.11,14328.0,long,-716.4,-0.6983017640307333,101875.35000000002,sl,-716.4
28,7.11,7.11,14328.0,long,0.0,0.0,101875.35000000002,sl,0.0
29,7.47,7.39,13785.0,short,-1102.8,-1.082499348468496,100772.55000000002,sl,-1102.8
30,7.57,7.51,13418.0,short,-805.08,-0.7989080359681282,99967.47000000002,sl,-805.08
31,5.99,6.3,15867.0,short,4918.77,4.920370596555059,104886.24000000002,sl,4918.77
32,5.63,5.74,18629.0,long,2049.19,1.9537262466458896,106935.43000000002,sl,2049.19
33,5.7,5.66,18760.0,long,-750.4,-0.7017318768905683,106185.03000000003,sl,-750.4
34,5.61,5.52,18927.0,long,-1703.43,-1.604209180898663,104481.60000000003,sl,-1703.43
35,5.72,5.7,18330.0,short,-366.6,-0.350875178021776,104115.00000000003,sl,-366.6
36,5.8,5.76,18075.0,short,-723.0,-0.6944244345195215,103392.00000000003,sl,-723.0
37,5.82,5.77,17918.0,short,-895.9,-0.8665080470442584,102496.10000000003,sl,-895.9
38,5.79,5.74,17702.0,long,-885.1,-0.8635450519580743,101611.00000000003,sl,-885.1
39,5.74,5.71,17702.0,long,-531.06,-0.5226402653256043,101079.94000000003,sl,-531.06
40,5.73,5.71,17702.0,short,-354.04,-0.35025742991141456,100725.90000000004,sl,-354.04
41,5.74,6.1,17548.0,long,6317.28,6.271753342486885,107043.18000000004,sl,6317.28
42,6.09,6.06,17576.0,long,-527.28,-0.4925862628520563,106515.90000000004,sl,-527.28
43,6.07,6.45,17547.0,long,6667.86,6.259966821854762,113183.76000000004,sl,6667.86
