,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,144.63,144.43,691.0,long,-138.2,-0.1382,99861.8,,-138.2
2,145.27,145.26,687.0,long,-6.87,-0.006879507479336444,99854.93000000001,sl,-6.87
3,145.53,145.37,686.0,long,-109.76,-0.10991946016085535,99745.17000000001,sl,-109.76
4,145.44,146.16,685.0,long,493.2,0.49446003250082177,100238.37000000001,sl,493.2
5,145.79,145.25,687.0,long,-370.98,-0.37009779787919533,99867.39000000001,sl,-370.98
6,145.25,144.57,687.0,long,-467.16,-0.467780323486976,99400.23000000001,sl,-467.16
7,144.45,144.28,688.0,long,-116.96,-0.11766572371110205,99283.27,sl,-116.96
8,144.21,143.76,688.0,long,-309.6,-0.3118350151037531,98973.67,sl,-309.6
9,143.85,144.6,688.0,long,516.0,0.5213507794547783,99489.67,sl,516.0
10,141.0,141.36,705.0,long,253.8,0.2551018613289199,99743.47,sl,253.8
11,141.09,141.64,706.0,long,388.3,0.3892986678726938,100131.77,sl,388.3
12,141.32,142.32,708.0,long,708.0,0.7070682961062208,100839.77,sl,708.0
13,142.46,141.84,707.0,long,-438.34,-0.4346896070865691,100401.43000000001,sl,-438.34
14,141.9,141.87,707.0,long,-21.21,-0.02112519712119638,100380.22,sl,-21.21
15,141.89,141.5,707.0,long,-275.73,-0.2746855904479986,100104.49,sl,-275.73
16,139.55,139.55,717.0,long,0.0,0.0,100104.49,sl,0.0
17,138.78,138.57,722.0,short,-151.62,-0.15146173763035006,99952.87000000001,sl,-151.62
18,136.09,138.66,720.0,short,1850.4,1.85127250473148,101803.27,sl,1850.4
19,134.31,135.71,750.0,short,1050.0,1.0314010542097518,102853.27,sl,1050.0
20,135.48,134.29,765.0,short,-910.35,-0.8850958263164603,101942.92,sl,-910.35
21,136.4,134.96,755.0,short,-1087.2,-1.0664791630453592,100855.72,sl,-1087.2
22,137.01,136.38,739.0,short,-465.57,-0.46161982681795344,100390.15,sl,-465.57
23,137.59,136.77,734.0,short,-601.88,-0.5995408912129327,99788.26999999999,sl,-601.88
24,137.9,137.8,724.0,short,-72.4,-0.07255361777491484,99715.87,sl,-72.4
25,134.2,134.99,738.0,short,583.02,0.5846812548494037,100298.89,sl,583.02
26,134.52,133.89,749.0,short,-471.87,-0.4704638306565506,99827.02,sl,-471.87
27,134.87,134.52,742.0,short,-259.7,-0.260150007482944,99567.32,sl,-259.7
28,135.1,135.26,736.0,short,117.76,0.11827173815665622,99685.08,sl,117.76
29,134.09,135.32,736.0,short,905.28,0.9081399142178549,100590.36,sl,905.28
30,134.68,134.18,749.0,short,-374.5,-0.3723020774555335,100215.86,sl,-374.5
31,134.7,134.71,743.0,short,7.43,0.00741399614791511,100223.29,sl,7.43
32,135.02,135.12,741.0,short,74.1,0.07393491073781354,100297.39,sl,74.1
33,135.6,135.38,740.0,short,-162.8,-0.16231728462724704,100134.59,sl,-162.8
34,138.52,137.47,722.0,long,-758.1,-0.7570810446220432,99376.48999999999,sl,-758.1
35,135.94,137.65,721.0,short,1232.91,1.2406455490629626,100609.4,sl,1232.91
36,137.65,136.37,737.0,short,-943.36,-0.9376459853651845,99666.04,sl,-943.36
37,137.47,137.89,722.0,short,303.24,0.3042560936503548,99969.28,sl,303.24
38,137.63,137.23,726.0,long,-290.4,-0.2904892382940039,99678.88,sl,-290.4
39,137.88,136.84,722.0,long,-750.88,-0.7532989937286614,98928.0,sl,-750.88
40,162.27,163.74,609.0,long,895.23,0.9049308588064046,99823.23,sl,895.23
41,163.51,161.33,610.0,long,-1329.8,-1.3321548501285723,98493.43,sl,-1329.8
42,163.21,162.86,603.0,long,-211.05,-0.21427825185903268,98282.37999999999,sl,-211.05
43,162.46,162.05,604.0,long,-247.64,-0.2519678501884061,98034.73999999999,sl,-247.64
44,161.87,162.25,605.0,long,229.9,0.23450870579143682,98264.63999999998,sl,229.9
