,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,143.32,143.15,697.0,long,-118.49,-0.11849,99881.51,,-118.49
2,143.26,143.0,697.0,long,-181.22,-0.18143498231053976,99700.29,sl,-181.22
3,142.65,141.99,698.0,long,-460.68,-0.4620648545756488,99239.61,sl,-460.68
4,144.17,143.74,690.0,short,-296.7,-0.29897336355916754,98942.91,sl,-296.7
5,145.01,144.57,682.0,long,-300.08,-0.30328600604126155,98642.83,sl,-300.08
6,145.62,146.09,675.0,short,317.25,0.3216148604009029,98960.08,sl,317.25
7,141.39,141.41,699.0,long,13.98,0.014126908547365766,98974.06,sl,13.98
8,141.55,141.29,699.0,long,-181.74,-0.18362387073946448,98792.31999999999,sl,-181.74
9,142.32,142.43,693.0,short,76.23,0.07716186845293238,98868.54999999999,sl,76.23
10,140.72,141.36,702.0,long,449.28,0.45442155265754375,99317.82999999999,sl,449.28
11,143.36,142.35,697.0,short,-703.97,-0.7088052568204521,98613.85999999999,sl,-703.97
12,142.64,142.66,691.0,short,13.82,0.014014257225100003,98627.68,sl,13.82
13,143.46,144.21,683.0,short,512.25,0.5193775216044827,99139.93,sl,512.25
14,142.12,142.87,697.0,long,522.75,0.5272850202738695,99662.68,sl,522.75
15,139.65,139.2,713.0,long,-320.85,-0.32193595436125144,99341.82999999999,sl,-320.85
16,137.95,137.88,720.0,long,-50.4,-0.05073391541106099,99291.43,sl,-50.4
17,140.04,140.08,708.0,short,28.32,0.02852209903714752,99319.75,sl,28.32
18,138.61,139.31,716.0,long,501.2,0.5046327643796928,99820.95,sl,501.2
19,138.62,139.04,720.0,long,302.4,0.30294241840014546,100123.34999999999,sl,302.4
20,138.74,135.8,721.0,long,-2119.74,-2.117128521968152,98003.60999999999,sl,-2119.74
21,136.16,134.83,719.0,long,-956.27,-0.9757497708502779,97047.33999999998,sl,-956.27
22,136.3,135.35,712.0,long,-676.4,-0.6969794329241792,96370.93999999999,sl,-676.4
23,135.75,135.32,709.0,long,-304.87,-0.3163505513176483,96066.06999999999,sl,-304.87
24,134.9,134.46,712.0,long,-313.28,-0.32610889567981705,95752.79,sl,-313.28
25,134.6,134.44,711.0,long,-113.76,-0.11880593766510616,95639.03,sl,-113.76
26,135.6,135.35,706.0,short,-176.5,-0.18454808669640418,95462.53,sl,-176.5
27,136.45,136.65,699.0,long,139.8,0.14644489309051417,95602.33,sl,139.8
28,137.57,136.88,698.0,short,-481.62,-0.503774332696703,95120.71,sl,-481.62
29,137.67,137.54,691.0,short,-89.83,-0.09443789896017386,95030.88,sl,-89.83
30,137.68,137.56,690.0,short,-82.8,-0.08712957303983715,94948.08,sl,-82.8
31,138.78,137.81,688.0,short,-667.36,-0.7028683465742541,94280.72,sl,-667.36
32,137.2,137.98,683.0,short,532.74,0.5650572036361199,94813.46,sl,532.74
33,159.09,163.74,595.0,long,2766.75,2.9180983375145257,97580.21,sl,2766.75
34,164.01,163.31,597.0,short,-417.9,-0.42826306686570964,97162.31000000001,sl,-417.9
35,162.15,162.0,599.0,long,-89.85,-0.09247412911446834,97072.46,sl,-89.85
