,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,73.54,76.65,1359.0,long,4226.49,4.22649,104226.49,,4226.49
2,76.48,75.65,1362.0,long,-1130.46,-1.0846186991426077,103096.03,sl,-1130.46
3,75.21,74.64,1370.0,long,-780.9,-0.7574491471689064,102315.13,sl,-780.9
4,74.81,74.6,1367.0,long,-287.07,-0.2805743392985964,102028.06,sl,-287.07
5,74.78,74.42,1364.0,long,-491.04,-0.4812793656960644,101537.02,sl,-491.04
6,78.58,78.24,1297.0,short,-440.98,-0.43430465065844953,101096.04000000001,sl,-440.98
7,78.01,78.14,1293.0,short,168.09,0.16626764015682513,101264.13,sl,168.09
8,78.28,78.04,1297.0,short,-311.28,-0.30739413847726726,100952.85,sl,-311.28
9,83.77,84.17,1205.0,long,482.0,0.47745061184503457,101434.85,sl,482.0
10,84.25,83.75,1203.0,long,-601.5,-0.592991462007387,100833.35,sl,-601.5
11,86.84,87.46,1161.0,long,719.82,0.7138709563849659,101553.17000000001,sl,719.82
12,87.57,88.49,1159.0,long,1066.28,1.0499721475951955,102619.45000000001,sl,1066.28
13,89.08,89.89,1151.0,long,932.31,0.9085119828648467,103551.76000000001,sl,932.31
14,89.81,89.83,1153.0,long,23.06,0.022269056556836885,103574.82,sl,23.06
15,89.7,89.09,1154.0,long,-703.94,-0.679643952072521,102870.88,sl,-703.94
16,89.03,88.6,1155.0,long,-496.65,-0.4827896874217465,102374.23000000001,sl,-496.65
17,92.07,92.11,1111.0,long,44.44,0.04340936190680017,102418.67000000001,sl,44.44
18,92.92,92.42,1108.0,short,-554.0,-0.5409170027300686,101864.67000000001,sl,-554.0
19,90.46,92.85,1097.0,short,2621.83,2.5738364439800367,104486.50000000001,sl,2621.83
20,92.53,93.51,1129.0,long,1106.42,1.0589119168505021,105592.92000000001,sl,1106.42
21,93.65,93.82,1127.0,long,191.59,0.18144208910976228,105784.51000000001,sl,191.59
22,93.77,94.33,1128.0,long,631.68,0.5971384657356733,106416.19,sl,631.68
23,94.75,93.6,1123.0,long,-1291.45,-1.2135841360229116,105124.74,sl,-1291.45
24,93.54,93.68,1123.0,long,157.22,0.14955566120781844,105281.96,sl,157.22
