,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,69.88,70.12,1431.0,long,343.44,0.34343999999999997,100343.44,,343.44
2,70.24,70.41,1428.0,long,242.76,0.24192911863496008,100586.2,sl,242.76
3,70.23,71.05,1432.0,long,1174.24,1.1673967204248694,101760.44,sl,1174.24
4,72.19,71.86,1416.0,short,-467.28,-0.4591961276896994,101293.16,sl,-467.28
5,73.32,73.85,1371.0,short,726.63,0.7173534718435084,102019.79000000001,sl,726.63
6,74.25,73.61,1385.0,short,-886.4,-0.8688510337063033,101133.39000000001,sl,-886.4
7,73.8,75.45,1370.0,long,2260.5,2.2351668425235225,103393.89000000001,sl,2260.5
8,76.5,76.42,1352.0,short,-108.16,-0.10460966310485076,103285.73000000001,sl,-108.16
9,79.09,78.05,1323.0,short,-1375.92,-1.3321491749150631,101909.81000000001,sl,-1375.92
10,77.54,77.95,1314.0,long,538.74,0.5286439058222168,102448.55000000002,sl,538.74
11,79.63,79.39,1290.0,short,-309.6,-0.30220047038245046,102138.95000000001,sl,-309.6
12,81.14,80.8,1258.0,long,-427.72,-0.41876287155879316,101711.23000000001,sl,-427.72
13,80.74,80.67,1259.0,long,-88.13,-0.08664726599019595,101623.1,sl,-88.13
14,83.81,83.27,1220.0,short,-658.8,-0.6482778029798343,100964.3,sl,-658.8
15,84.47,84.33,1197.0,short,-167.58,-0.165979460066578,100796.72,sl,-167.58
16,87.76,86.7,1162.0,short,-1231.72,-1.2219842074226226,99565.0,sl,-1231.72
17,88.87,88.71,1120.0,long,-179.2,-0.17998292572691205,99385.8,sl,-179.2
18,90.89,90.77,1094.0,short,-131.28,-0.13209130479404502,99254.52,sl,-131.28
19,91.84,91.17,1088.0,short,-728.96,-0.7344350665339976,98525.56,sl,-728.96
20,92.12,91.85,1072.0,short,-289.44,-0.29377148427271055,98236.12,sl,-289.44
21,92.2,92.29,1064.0,short,95.76,0.09747941999337922,98331.87999999999,sl,95.76
22,90.46,92.88,1058.0,short,2560.36,2.6037944154022075,100892.23999999999,sl,2560.36
23,90.46,90.05,1120.0,short,-459.2,-0.45513906718693137,100433.04,sl,-459.2
24,92.32,91.85,1093.0,short,-513.71,-0.5114950219569178,99919.32999999999,sl,-513.71
25,92.59,93.51,1079.0,long,992.68,0.993481441478841,100912.00999999998,sl,992.68
26,93.65,94.05,1072.0,short,428.8,0.424924644747439,101340.80999999998,sl,428.8
27,90.2,90.44,1123.0,long,269.52,0.2659540613500129,101610.32999999999,sl,269.52
28,89.91,89.39,1130.0,long,-587.6,-0.5782876603195759,101022.72999999998,sl,-587.6
29,89.07,89.12,1134.0,long,56.7,0.05612598273675638,101079.42999999998,sl,56.7
30,88.98,89.42,1130.0,short,497.2,0.4918903875892455,101576.62999999998,sl,497.2
31,90.53,90.46,1122.0,long,-78.54,-0.07732093494340186,101498.08999999998,sl,-78.54
32,89.64,89.28,1132.0,long,-407.52,-0.40150509236183657,101090.56999999998,sl,-407.52
33,90.51,90.69,1114.0,short,200.52,0.1983567804593446,101291.08999999998,sl,200.52
34,91.1,90.44,1119.0,short,-738.54,-0.7291263229569354,100552.54999999999,sl,-738.54
35,89.51,90.78,1107.0,short,1405.89,1.3981644423736646,101958.43999999999,sl,1405.89
36,88.87,89.46,1139.0,short,672.01,0.6591018850425724,102630.44999999998,sl,672.01
37,89.61,88.97,1153.0,short,-737.92,-0.7190068834346922,101892.52999999998,sl,-737.92
38,86.81,86.76,1173.0,long,-58.65,-0.057560647478279325,101833.87999999999,sl,-58.65
39,86.75,86.5,1173.0,long,-293.25,-0.287968994209,101540.62999999999,sl,-293.25
40,90.93,90.73,1119.0,short,-223.8,-0.22040438393970968,101316.82999999999,sl,-223.8
41,91.46,91.28,1107.0,long,-199.26,-0.1966701879638358,101117.56999999999,sl,-199.26
42,98.4,98.82,1023.0,short,429.66,0.42491131857697934,101547.23,sl,429.66
43,96.0,98.11,1057.0,long,2230.27,2.196288367491659,103777.5,sl,2230.27
44,100.33,99.93,1038.0,short,-415.2,-0.40008672400086726,103362.3,sl,-415.2
45,100.61,100.26,1030.0,short,-360.5,-0.34877319873880513,103001.8,sl,-360.5
46,99.21,99.08,1038.0,long,-134.94,-0.13100741928781826,102866.86,sl,-134.94
47,100.26,100.04,1028.0,short,-226.16,-0.21985700739771777,102640.7,sl,-226.16
48,100.16,100.08,1025.0,short,-82.0,-0.07989033589989157,102558.7,sl,-82.0
