,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,29.33,29.33,3409.0,short,0.0,0.0,100000.0,,0.0
2,29.33,29.33,3409.0,short,0.0,0.0,100000.0,sl,0.0
3,29.25,29.3,3412.0,short,170.6,0.1706,100170.6,sl,170.6
4,29.15,29.25,3424.0,short,342.4,0.341816860436096,100513.0,sl,342.4
5,29.0,29.07,3457.0,short,241.99,0.24075492722334424,100754.99,sl,241.99
6,28.99,28.99,3475.0,short,0.0,0.0,100754.99,sl,0.0
7,29.0,28.94,3481.0,short,-208.86,-0.20729494390302655,100546.13,sl,-208.86
8,29.02,29.01,3465.0,short,-34.65,-0.034461793805490075,100511.48000000001,sl,-34.65
9,29.0,28.97,3469.0,short,-104.07,-0.1035404115032432,100407.41,sl,-104.07
10,29.07,29.05,3456.0,short,-69.12,-0.06883954082671787,100338.29000000001,sl,-69.12
11,29.27,29.28,3428.0,long,34.28,0.03416442516610558,100372.57,sl,34.28
12,29.35,29.28,3419.0,long,-239.33,-0.2384416379893431,100133.24,sl,-239.33
13,28.91,29.05,3446.0,short,482.44,0.48179805227514855,100615.68000000001,sl,482.44
14,28.95,28.84,3488.0,short,-383.68,-0.3813322138259166,100232.00000000001,sl,-383.68
15,28.99,28.92,3465.0,short,-242.55,-0.24198858647936786,99989.45000000001,sl,-242.55
16,28.98,28.99,3449.0,short,34.49,0.034493639078922826,100023.94000000002,sl,34.49
17,29.44,29.69,3397.0,long,849.25,0.8490467382108722,100873.19000000002,sl,849.25
18,29.65,29.49,3402.0,long,-544.32,-0.5396081952003302,100328.87000000001,sl,-544.32
19,29.47,29.32,3404.0,long,-510.6,-0.5089262940966044,99818.27,sl,-510.6
20,29.53,29.52,3380.0,long,-33.8,-0.033861536570409405,99784.47,sl,-33.8
21,29.5,29.62,3382.0,long,405.84,0.40671659627996215,100190.31,sl,405.84
22,29.66,29.64,3377.0,long,-67.54,-0.06741170877702644,100122.77,sl,-67.54
23,29.62,29.58,3380.0,long,-135.2,-0.13503421848995986,99987.57,sl,-135.2
24,29.61,29.61,3376.0,long,0.0,0.0,99987.57,sl,0.0
25,30.02,30.7,3330.0,long,2264.4,2.2646814999104388,102251.97,sl,2264.4
26,30.75,30.75,3325.0,long,0.0,0.0,102251.97,sl,0.0
27,30.72,30.6,3328.0,long,-399.36,-0.3905646023250212,101852.61,sl,-399.36
28,30.66,30.7,3322.0,long,132.88,0.1304630288806541,101985.49,sl,132.88
29,30.79,30.92,3312.0,long,430.56,0.4221777039067028,102416.05,sl,430.56
30,31.01,31.08,3302.0,long,231.14,0.22568728241325453,102647.19,sl,231.14
31,31.12,31.17,3298.0,long,164.9,0.1606473591727158,102812.09,sl,164.9
32,31.1,30.93,3305.0,long,-561.85,-0.5464824224466208,102250.23999999999,sl,-561.85
33,30.65,30.92,3336.0,long,900.72,0.8808976878685078,103150.95999999999,sl,900.72
34,30.89,31.48,3339.0,long,1970.01,1.9098319589076052,105120.96999999999,sl,1970.01
35,31.51,31.67,3336.0,long,533.76,0.5077578717167469,105654.72999999998,sl,533.76
36,31.68,31.63,3335.0,long,-166.75,-0.15782539977150103,105487.97999999998,sl,-166.75
37,31.65,31.69,3332.0,long,133.28,0.12634614863228968,105621.25999999998,sl,133.28
38,33.79,33.55,3148.0,short,-755.52,-0.715310535019181,104865.73999999998,sl,-755.52
39,33.67,33.87,3114.0,long,622.8,0.5939022601661897,105488.53999999998,sl,622.8
40,33.85,33.81,3116.0,long,-124.64,-0.11815501475326137,105363.89999999998,sl,-124.64
41,33.83,33.8,3114.0,long,-93.42,-0.08866414398100299,105270.47999999998,sl,-93.42
42,33.85,33.7,3109.0,long,-466.35,-0.4430016848028052,104804.12999999998,sl,-466.35
43,33.72,33.72,3108.0,long,0.0,0.0,104804.12999999998,sl,0.0
44,33.41,33.44,3134.0,short,94.02,0.08971020512264165,104898.14999999998,sl,94.02
45,33.51,33.35,3145.0,short,-503.2,-0.47970340754341245,104394.94999999998,sl,-503.2
46,33.42,33.53,3113.0,short,342.43,0.32801395086639734,104737.37999999998,sl,342.43
47,33.45,33.42,3133.0,short,-93.99,-0.08973873511061668,104643.38999999997,sl,-93.99
48,33.47,33.43,3130.0,short,-125.2,-0.11964444194707381,104518.18999999997,sl,-125.2
49,33.61,33.76,3109.0,long,466.35,0.4461902755874362,104984.53999999998,sl,466.35
