,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,9.36,9.5,10526.0,short,1473.64,1.47364,101473.64,,1473.64
2,9.25,9.48,10703.0,short,2461.69,2.4259403722976725,103935.33,sl,2461.69
3,9.31,9.35,11116.0,short,444.64,0.4278044818831094,104379.97,sl,444.64
4,9.3,9.29,11235.0,short,-112.35,-0.10763559330396434,104267.62,sl,-112.35
5,9.19,9.18,11358.0,short,-113.58,-0.10893122908147324,104154.04,sl,-113.58
6,9.05,9.09,11458.0,short,458.32,0.44004053995409115,104612.36,sl,458.32
7,8.74,9.03,11584.0,short,3359.36,3.2112457839589896,107971.72,sl,3359.36
8,8.57,8.64,12496.0,short,874.72,0.8101380620777368,108846.44,sl,874.72
9,9.02,8.59,12671.0,short,-5448.53,-5.0057034479033025,103397.91,sl,-5448.53
10,9.09,8.9,11617.0,short,-2207.23,-2.1346949856143125,101190.68000000001,sl,-2207.23
11,10.12,11.01,9999.0,long,8899.11,8.794396875285353,110089.79000000001,sl,8899.11
12,11.05,10.91,9962.0,long,-1394.68,-1.2668568084288288,108695.11000000002,sl,-1394.68
13,10.95,11.16,9926.0,long,2084.46,1.9177127655512742,110779.57000000002,sl,2084.46
14,11.25,10.97,9847.0,long,-2757.16,-2.4888704659171355,108022.41000000002,sl,-2757.16
15,11.08,10.99,9749.0,long,-877.41,-0.8122481251806914,107145.00000000001,sl,-877.41
16,11.01,11.15,9731.0,long,1362.34,1.2714919034952632,108507.34000000001,sl,1362.34
17,11.22,11.81,9670.0,long,5705.3,5.257985312330023,114212.64000000001,sl,5705.3
18,11.86,11.97,9630.0,long,1059.3,0.9274805310515543,115271.94000000002,sl,1059.3
19,11.85,11.56,9727.0,long,-2820.83,-2.4471089841985827,112451.11000000002,sl,-2820.83
20,11.65,11.41,9652.0,long,-2316.48,-2.05998855858337,110134.63000000002,sl,-2316.48
21,11.3,11.18,9746.0,long,-1169.52,-1.0619003305318226,108965.11000000002,sl,-1169.52
22,11.23,11.5,9703.0,long,2619.81,2.4042649982182365,111584.92000000001,sl,2619.81
23,12.08,12.32,9237.0,long,2216.88,1.9867200693427032,113801.80000000002,sl,2216.88
24,12.33,12.71,9229.0,long,3507.02,3.0816911507550846,117308.82000000002,sl,3507.02
25,12.83,12.5,9143.0,long,-3017.19,-2.5720060946823944,114291.63000000002,sl,-3017.19
26,12.58,12.37,9085.0,long,-1907.85,-1.6692823437726803,112383.78000000001,sl,-1907.85
27,12.6,12.51,8919.0,long,-802.71,-0.7142578760031029,111581.07,sl,-802.71
28,12.55,12.67,8890.0,long,1066.8,0.9560761516267946,112647.87000000001,sl,1066.8
29,12.72,12.67,8855.0,long,-442.75,-0.3930389451660293,112205.12000000001,sl,-442.75
30,12.7,12.81,8835.0,long,971.85,0.8661369463354256,113176.97000000002,sl,971.85
31,12.85,12.85,8807.0,long,0.0,0.0,113176.97000000002,sl,0.0
32,12.87,12.8,8793.0,long,-615.51,-0.5438473922742408,112561.46000000002,sl,-615.51
33,12.77,12.65,8814.0,long,-1057.68,-0.9396466605888018,111503.78000000003,sl,-1057.68
34,12.94,12.88,8616.0,long,-516.96,-0.4636255380759288,110986.82000000002,sl,-516.96
35,12.89,12.77,8610.0,long,-1033.2,-0.9309213472374466,109953.62000000002,sl,-1033.2
36,13.08,13.11,8406.0,long,252.18,0.229351248280866,110205.80000000002,sl,252.18
37,13.13,13.05,8393.0,long,-671.44,-0.6092601296846445,109534.36000000002,sl,-671.44
38,13.09,13.67,8367.0,long,4852.86,4.430445387182615,114387.22000000002,sl,4852.86
39,13.61,13.78,8404.0,long,1428.68,1.2489856821417635,115815.90000000001,sl,1428.68
40,13.73,13.79,8435.0,long,506.1,0.43698663136926796,116322.00000000001,sl,506.1
41,13.89,13.31,8374.0,long,-4856.92,-4.175409638761369,111465.08000000002,sl,-4856.92
42,13.24,13.23,8418.0,long,-84.18,-0.07552140993394522,111380.90000000002,sl,-84.18
43,13.27,13.74,8393.0,long,3944.71,3.5416395450207347,115325.61000000003,sl,3944.71
44,13.68,13.54,8430.0,long,-1180.2,-1.0233633275384364,114145.41000000003,sl,-1180.2
45,14.22,14.22,8027.0,short,0.0,0.0,114145.41000000003,sl,0.0
46,14.41,14.18,8049.0,short,-1851.27,-1.621852337295034,112294.14000000003,sl,-1851.27
47,14.24,14.28,7885.0,long,315.4,0.2808695093083218,112609.54000000002,sl,315.4
48,14.35,14.69,7847.0,long,2667.98,2.369230883990823,115277.52000000002,sl,2667.98
49,14.73,14.2,7826.0,long,-4147.78,-3.598082262699613,111129.74000000002,sl,-4147.78
