,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,9.4,9.48,10638.0,long,851.04,0.8510399999999999,100851.04,,851.04
2,9.21,9.1,10950.0,long,-1204.5,-1.1943357252438846,99646.54,sl,-1204.5
3,9.05,9.08,10974.0,short,329.22,0.33038778867786084,99975.76,sl,329.22
4,8.06,7.97,12544.0,short,-1128.96,-1.1292337262552443,98846.79999999999,sl,-1128.96
5,8.61,8.51,11615.0,short,-1161.5,-1.1750506844935802,97685.29999999999,sl,-1161.5
6,9.05,9.02,10829.0,short,-324.87,-0.3325679503466745,97360.43,sl,-324.87
7,10.15,9.04,10769.0,short,-11953.59,-12.277667631500806,85406.84,sl,-11953.59
8,10.39,10.06,8489.0,short,-2801.37,-3.280030030381641,82605.47,sl,-2801.37
9,10.64,10.33,7996.0,short,-2478.76,-3.000721380799601,80126.71,sl,-2478.76
10,12.15,11.95,6705.0,short,-1341.0,-1.6735992280227157,78785.71,sl,-1341.0
11,11.31,11.18,6966.0,long,-905.58,-1.1494216400410684,77880.13,sl,-905.58
12,11.36,11.6,6713.0,short,1611.12,2.0687176562237375,79491.25,sl,1611.12
13,11.01,11.46,7219.0,long,3248.55,4.086676206500716,82739.8,sl,3248.55
14,11.08,11.34,7467.0,long,1941.42,2.3464161141312885,84681.22,sl,1941.42
15,11.85,11.59,7306.0,short,-1899.56,-2.2431892218841436,82781.66,sl,-1899.56
16,12.49,12.34,6708.0,short,-1006.2,-1.2154866186544218,81775.46,sl,-1006.2
17,12.66,12.58,6500.0,short,-520.0,-0.6358875877922301,81255.46,sl,-520.0
18,12.86,12.84,6328.0,short,-126.56,-0.15575568706398313,81128.90000000001,sl,-126.56
19,13.06,13.0,6240.0,short,-374.4,-0.4614878298608756,80754.50000000001,sl,-374.4
20,12.88,12.94,6240.0,short,374.4,0.46362741395216356,81128.90000000001,sl,374.4
21,13.24,13.12,6183.0,short,-741.96,-0.9145446320608316,80386.94,sl,-741.96
22,13.64,13.73,5854.0,short,526.86,0.6554049700112978,80913.8,sl,526.86
23,13.35,13.35,6060.0,long,0.0,0.0,80913.8,sl,0.0
24,13.13,12.98,6162.0,long,-924.3,-1.1423267724417836,79989.5,sl,-924.3
25,13.12,13.11,6101.0,short,-61.01,-0.07627251076703817,79928.49,sl,-61.01
26,13.65,13.51,5916.0,short,-828.24,-1.036226256745248,79100.25,sl,-828.24
27,13.75,13.81,5727.0,short,343.62,0.4344107635563731,79443.87,sl,343.62
28,13.61,13.54,5837.0,long,-408.59,-0.5143128097863309,79035.28,sl,-408.59
29,14.22,14.15,5585.0,short,-390.95,-0.4946525146744593,78644.33,sl,-390.95
30,14.23,14.28,5526.0,long,276.3,0.3513285700316857,78920.63,sl,276.3
31,14.65,14.53,5431.0,short,-651.72,-0.8257916846330294,78268.91,sl,-651.72
32,14.86,14.88,5260.0,short,105.2,0.13440841325118746,78374.11,sl,105.2
33,14.23,14.24,5507.0,long,55.07,0.07026555070290431,78429.18000000001,sl,55.07
34,14.28,14.21,5492.0,long,-384.44,-0.4901747028338177,78044.74,sl,-384.44
35,14.05,13.82,5554.0,long,-1277.42,-1.6367791090084995,76767.32,sl,-1277.42
36,13.02,13.6,5896.0,long,3419.68,4.454603860080044,80187.0,sl,3419.68
