,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,467.11,469.06,214.0,long,417.3,0.41730000000000006,100417.3,,417.3
2,468.67,467.29,214.0,long,-295.32,-0.2940927509502844,100121.98,sl,-295.32
3,465.11,463.64,215.0,long,-316.05,-0.31566495189168253,99805.93,sl,-316.05
4,463.95,466.54,215.0,long,556.85,0.5579327801464302,100362.78,sl,556.85
5,466.12,467.26,215.0,long,245.1,0.24421404030458305,100607.88,sl,245.1
6,463.96,464.53,216.0,short,123.12,0.12237610016233319,100731.0,sl,123.12
7,445.73,444.32,225.0,long,-317.25,-0.3149477320785061,100413.75,sl,-317.25
8,445.0,445.14,225.0,long,31.5,0.03137020577361168,100445.25,sl,31.5
9,444.45,443.61,225.0,long,-189.0,-0.1881622077699045,100256.25,sl,-189.0
10,456.54,459.4,218.0,short,623.48,0.6218864160588492,100879.73,sl,623.48
11,460.92,457.67,218.0,long,-708.5,-0.7023214673552358,100171.23,sl,-708.5
12,456.23,455.73,219.0,short,-109.5,-0.10931282365206059,100061.73,sl,-109.5
13,461.42,460.38,217.0,short,-225.68,-0.2255407736804071,99836.05,sl,-225.68
14,465.86,464.44,214.0,short,-303.88,-0.304379029418732,99532.17,sl,-303.88
15,466.6,465.57,213.0,short,-219.39,-0.22042119648350877,99312.78,sl,-219.39
16,465.46,469.0,213.0,long,754.02,0.7592376328605442,100066.8,sl,754.02
17,468.28,468.17,213.0,short,-23.43,-0.02341435920804902,100043.37000000001,sl,-23.43
18,461.77,462.47,216.0,long,151.2,0.1511344529877392,100194.57,sl,151.2
19,477.85,475.69,210.0,short,-453.6,-0.45271914436081717,99740.97,sl,-453.6
20,478.42,479.77,207.0,short,279.45,0.28017573921729455,100020.42,sl,279.45
21,398.9,403.45,250.0,long,1137.5,1.137267769921382,101157.92,sl,1137.5
22,394.71,392.37,256.0,long,-599.04,-0.5921829946681387,100558.88,sl,-599.04
23,391.27,388.8,257.0,long,-634.79,-0.6312620029180913,99924.09000000001,sl,-634.79
24,388.88,392.63,254.0,short,952.5,0.953223592028709,100876.59000000001,sl,952.5
25,390.96,393.11,258.0,long,554.7,0.5498798085859167,101431.29000000001,sl,554.7
26,384.47,384.34,263.0,long,-34.19,-0.03370754724700829,101397.1,sl,-34.19
27,384.45,380.5,263.0,long,-1038.85,-1.0245362046843547,100358.25,sl,-1038.85
28,366.43,376.95,266.0,short,2798.32,2.7883308048914763,103156.57,sl,2798.32
29,357.27,359.04,287.0,short,507.99,0.4924456096204051,103664.56000000001,sl,507.99
30,359.77,358.48,288.0,long,-371.52,-0.35838670419283114,103293.04000000001,sl,-371.52
31,356.06,351.11,290.0,long,-1435.5,-1.389735455554411,101857.54000000001,sl,-1435.5
32,350.1,349.11,290.0,long,-287.1,-0.28186425864987513,101570.44,sl,-287.1
33,349.66,347.92,290.0,long,-504.6,-0.49679808416700766,101065.84,sl,-504.6
34,342.6,341.46,294.0,long,-335.16,-0.33162540379617883,100730.68,sl,-335.16
35,338.73,336.51,299.0,short,-663.78,-0.6589650739973164,100066.9,sl,-663.78
36,351.23,351.32,284.0,short,25.56,0.025542911792011146,100092.45999999999,sl,25.56
37,347.91,349.96,287.0,long,588.35,0.587806514097066,100680.81,sl,588.35
38,352.5,352.56,285.0,short,17.1,0.016984368719321987,100697.91,sl,17.1
39,361.53,360.0,279.0,short,-426.87,-0.4239114793941602,100271.04000000001,sl,-426.87
40,365.36,365.17,274.0,short,-52.06,-0.05191927798893878,100218.98000000001,sl,-52.06
41,365.74,365.33,274.0,short,-112.34,-0.11209453538641083,100106.64000000001,sl,-112.34
42,365.81,365.83,273.0,short,5.46,0.005454183658546526,100112.10000000002,sl,5.46
43,360.71,360.36,277.0,short,-96.95,-0.09684144074492493,100015.15000000002,sl,-96.95
44,365.55,366.09,273.0,short,147.42,0.1473976692531081,100162.57000000002,sl,147.42
45,353.59,352.12,283.0,long,-416.01,-0.41533479023152053,99746.56000000003,sl,-416.01
46,351.57,348.79,283.0,long,-786.74,-0.7887389800710919,98959.82000000002,sl,-786.74
47,354.58,351.45,281.0,short,-879.53,-0.8887748583212861,98080.29000000002,sl,-879.53
48,354.95,355.56,275.0,short,167.75,0.1710333442121755,98248.04000000002,sl,167.75
49,349.66,351.69,280.0,long,568.4,0.5785357143002546,98816.44000000002,sl,568.4
50,349.65,348.72,283.0,short,-263.19,-0.26634232117651674,98553.25000000001,sl,-263.19
51,354.02,353.69,278.0,short,-91.74,-0.09308673229954363,98461.51000000001,sl,-91.74
52,350.59,354.5,277.0,short,1083.07,1.0999932867168094,99544.58000000002,sl,1083.07
53,352.66,352.77,282.0,short,31.02,0.031161917605157404,99575.60000000002,sl,31.02
54,347.82,346.99,286.0,long,-237.38,-0.2383917345213084,99338.22000000002,sl,-237.38
55,343.65,341.85,289.0,long,-520.2,-0.5236655136361412,98818.02000000002,sl,-520.2
56,341.63,338.9,289.0,long,-788.97,-0.7984070111908737,98029.05000000002,sl,-788.97
57,336.92,335.61,290.0,long,-379.9,-0.3875381838342817,97649.15000000002,sl,-379.9
