,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,251.65,252.91,395.0,short,497.7,0.4977,100497.7,,497.7
2,251.53,251.52,399.0,short,-3.99,-0.003970240114947904,100493.70999999999,sl,-3.99
3,252.35,251.16,400.0,short,-476.0,-0.47366148587807144,100017.70999999999,sl,-476.0
4,255.55,252.41,396.0,short,-1243.44,-1.2432198257688565,98774.26999999999,sl,-1243.44
5,255.25,254.36,388.0,short,-345.32,-0.3496052160142515,98428.94999999998,sl,-345.32
6,256.55,255.41,385.0,short,-438.9,-0.4459053967354117,97990.04999999999,sl,-438.9
7,255.91,256.79,381.0,short,335.28,0.34215718840841497,98325.32999999999,sl,335.28
8,256.77,255.76,384.0,short,-387.84,-0.3944456631877056,97937.48999999999,sl,-387.84
9,256.45,256.7,381.0,short,95.25,0.09725591292976776,98032.73999999999,sl,95.25
10,257.06,256.24,382.0,short,-313.24,-0.3195259053250986,97719.49999999999,sl,-313.24
11,253.34,252.87,386.0,short,-181.42,-0.18565383572367852,97538.07999999999,sl,-181.42
12,250.01,251.3,388.0,short,500.52,0.5131534268462123,98038.59999999999,sl,500.52
13,250.82,249.83,392.0,short,-388.08,-0.3958440859008595,97650.51999999999,sl,-388.08
14,250.26,250.3,390.0,short,15.6,0.01597533735611444,97666.12,sl,15.6
15,249.56,250.27,390.0,short,276.9,0.2835169452825606,97943.01999999999,sl,276.9
16,248.49,248.76,393.0,short,106.11,0.1083385013041256,98049.12999999999,sl,106.11
17,246.98,247.79,395.0,short,319.95,0.3263160009680861,98369.07999999999,sl,319.95
18,247.6,246.71,398.0,short,-354.22,-0.36009282591643643,98014.85999999999,sl,-354.22
19,248.47,247.77,395.0,short,-276.5,-0.2821000815590616,97738.35999999999,sl,-276.5
20,248.43,248.58,393.0,short,58.95,0.0603140875291953,97797.30999999998,sl,58.95
21,248.51,248.07,394.0,short,-173.36,-0.17726458938390027,97623.94999999998,sl,-173.36
22,248.3,248.57,392.0,short,105.84,0.10841601881505514,97729.78999999998,sl,105.84
23,248.76,248.39,393.0,short,-145.41,-0.1487877954101815,97584.37999999998,sl,-145.41
24,248.07,248.37,392.0,short,117.6,0.12051108999206638,97701.97999999998,sl,117.6
25,248.17,248.16,393.0,short,-3.93,-0.0040224363927936786,97698.04999999999,sl,-3.93
26,248.61,248.18,393.0,short,-168.99,-0.17297172256764595,97529.05999999998,sl,-168.99
27,249.03,248.4,392.0,short,-246.96,-0.25321683608967427,97282.09999999998,sl,-246.96
28,247.8,248.38,392.0,long,227.36,0.23371206008093995,97509.45999999998,sl,227.36
29,248.5,248.95,392.0,long,176.4,0.18090552444860228,97685.85999999997,sl,176.4
30,249.59,252.44,391.0,long,1114.35,1.1407485177486283,98800.20999999998,sl,1114.35
31,252.62,251.85,391.0,long,-301.07,-0.30472607295065474,98499.13999999997,sl,-301.07
32,252.02,252.16,390.0,long,54.6,0.055431956055656956,98553.73999999998,sl,54.6
33,252.23,251.9,390.0,long,-128.7,-0.13058865143017406,98425.03999999998,sl,-128.7
34,252.01,251.21,390.0,long,-312.0,-0.31699250515925625,98113.03999999998,sl,-312.0
35,251.15,249.82,390.0,long,-518.7,-0.5286759028157726,97594.33999999998,sl,-518.7
36,249.74,249.43,390.0,long,-120.9,-0.12388013485208264,97473.43999999999,sl,-120.9
37,248.2,250.15,389.0,short,758.55,0.7782119929285353,98231.98999999999,sl,758.55
38,249.14,248.21,395.0,short,-367.35,-0.37396167989674245,97864.63999999998,sl,-367.35
39,249.51,249.35,392.0,short,-62.72,-0.06408852063421477,97801.91999999998,sl,-62.72
40,249.38,249.42,392.0,short,15.68,0.016032405089797832,97817.59999999998,sl,15.68
41,250.95,249.6,391.0,short,-527.85,-0.5396268156241824,97289.74999999997,sl,-527.85
42,249.21,249.51,389.0,short,116.7,0.11995097119686302,97406.44999999997,sl,116.7
43,249.68,249.23,390.0,short,-175.5,-0.18017287356227443,97230.94999999997,sl,-175.5
44,250.84,249.62,389.0,short,-474.58,-0.4880956115311021,96756.36999999997,sl,-474.58
45,239.52,239.21,403.0,long,-124.93,-0.12911811387715358,96631.43999999997,sl,-124.93
46,239.37,239.43,403.0,long,24.18,0.025022911797650958,96655.61999999997,sl,24.18
47,239.43,239.43,0.0,long,0.0,0.0,96655.61999999997,sl,0.0
48,239.43,238.35,403.0,long,-435.24,-0.4502997342523902,96220.37999999996,sl,-435.24
49,239.85,238.55,403.0,short,-523.9,-0.5444792464964285,95696.47999999997,sl,-523.9
50,239.32,239.57,399.0,short,99.75,0.10423580888241661,95796.22999999997,sl,99.75
51,239.81,239.68,399.0,short,-51.87,-0.05414618090920698,95744.35999999997,sl,-51.87
52,240.3,239.79,399.0,short,-203.49,-0.2125347122274357,95540.86999999997,sl,-203.49
53,240.34,240.46,397.0,short,47.64,0.04986347727417598,95588.50999999997,sl,47.64
54,230.43,229.77,416.0,short,-274.56,-0.2872311745417939,95313.94999999997,sl,-274.56
55,228.24,230.18,414.0,short,803.16,0.8426468528478783,96117.10999999997,sl,803.16
56,229.33,228.4,420.0,short,-390.6,-0.406379259634419,95726.50999999997,sl,-390.6
57,230.31,228.95,418.0,short,-568.48,-0.5938584828800301,95158.02999999997,sl,-568.48
58,231.68,230.48,412.0,short,-494.4,-0.5195567835946163,94663.62999999998,sl,-494.4
59,227.76,230.77,410.0,short,1234.1,1.3036685789463178,95897.72999999998,sl,1234.1
60,226.19,227.75,421.0,short,656.76,0.6848545841491765,96554.48999999998,sl,656.76
61,225.98,226.11,427.0,short,55.51,0.057490853092383394,96609.99999999997,sl,55.51
62,227.74,227.2,425.0,short,-229.5,-0.23755304833868135,96380.49999999997,sl,-229.5
63,225.93,227.74,423.0,short,765.63,0.7943826811440076,97146.12999999998,sl,765.63
64,206.49,211.04,460.0,short,2093.0,2.15448623635342,99239.12999999998,sl,2093.0
65,209.34,207.21,478.0,short,-1018.14,-1.025946116214441,98220.98999999998,sl,-1018.14
66,208.59,207.15,474.0,short,-682.56,-0.6949227451281036,97538.42999999998,sl,-682.56
67,207.01,208.8,467.0,short,835.93,0.8570263023507761,98374.35999999997,sl,835.93
68,208.8,207.52,474.0,short,-606.72,-0.6167460708257723,97767.63999999997,sl,-606.72
69,211.17,209.33,467.0,short,-859.28,-0.8789002168815778,96908.35999999997,sl,-859.28
70,207.6,207.96,465.0,short,167.4,0.17274051485341416,97075.75999999997,sl,167.4
71,207.49,207.4,468.0,short,-42.12,-0.04338879242356693,97033.63999999997,sl,-42.12
72,213.45,213.57,454.0,long,54.48,0.056145476970667095,97088.11999999997,sl,54.48
73,213.71,212.49,454.0,long,-553.88,-0.5704920437227543,96534.23999999996,sl,-553.88
74,212.38,211.82,454.0,long,-254.24,-0.2633676921266486,96279.99999999996,sl,-254.24
75,216.03,216.55,445.0,long,231.4,0.2403406730369756,96511.39999999995,sl,231.4
76,216.09,215.32,446.0,long,-343.42,-0.3558336113661186,96167.97999999995,sl,-343.42
77,215.13,213.88,447.0,long,-558.75,-0.5810145955025782,95609.22999999995,sl,-558.75
78,215.53,216.34,443.0,long,358.83,0.375308952911764,95968.05999999995,sl,358.83
79,216.17,217.08,443.0,long,403.13,0.4200668430725808,96371.18999999996,sl,403.13
80,217.07,217.22,443.0,long,66.45,0.06895214223254899,96437.63999999996,sl,66.45
81,221.9,223.41,434.0,long,655.34,0.6795479441429719,97092.97999999995,sl,655.34
82,223.27,223.26,434.0,long,-4.34,-0.00446994211115984,97088.63999999996,sl,-4.34
