,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,250.2,250.54,399.0,long,135.66,0.13566,100135.66,,135.66
2,253.69,254.24,394.0,long,216.7,0.21640642304649513,100352.36,sl,216.7
3,255.32,254.02,395.0,short,-513.5,-0.5116969845053968,99838.86,sl,-513.5
4,256.14,255.57,390.0,short,-222.3,-0.22265879237803798,99616.56,sl,-222.3
5,257.4,257.16,387.0,short,-92.88,-0.09323750990799119,99523.68,sl,-92.88
6,251.0,251.94,396.0,long,372.24,0.3740215393964532,99895.92,sl,372.24
7,251.28,250.97,397.0,long,-123.07,-0.12319822471228055,99772.84999999999,sl,-123.07
8,254.7,257.0,391.0,long,899.3,0.9013474106432763,100672.15,sl,899.3
9,262.68,260.66,386.0,short,-779.72,-0.7745141034536365,99892.43,sl,-779.72
10,264.15,263.74,378.0,short,-154.98,-0.1551468915111986,99737.45,sl,-154.98
11,265.63,266.36,374.0,short,273.02,0.2737387009593688,100010.47,sl,273.02
12,259.59,260.34,385.0,long,288.75,0.2887197710399721,100299.22,sl,288.75
13,258.95,255.28,387.0,long,-1420.29,-1.4160528865528563,98878.93000000001,sl,-1420.29
14,256.9,254.8,384.0,long,-806.4,-0.815542805732222,98072.53000000001,sl,-806.4
15,253.71,252.91,386.0,long,-308.8,-0.31486900562267534,97763.73000000001,sl,-308.8
16,248.49,247.51,394.0,short,-386.12,-0.39495219750719407,97377.61000000002,sl,-386.12
17,246.98,248.15,394.0,long,460.98,0.4733942432967907,97838.59000000001,sl,460.98
18,248.43,247.27,393.0,long,-455.88,-0.4659511139725132,97382.71,sl,-455.88
19,248.07,247.66,392.0,long,-160.72,-0.16503956400473965,97221.99,sl,-160.72
20,247.67,248.08,392.0,long,160.72,0.16531239486046315,97382.71,sl,160.72
21,247.39,248.38,393.0,long,389.07,0.39952677431137407,97771.78000000001,sl,389.07
22,250.45,249.43,390.0,long,-397.8,-0.40686586661304514,97373.98000000001,sl,-397.8
23,249.61,249.04,390.0,long,-222.3,-0.2282950743104061,97151.68000000001,sl,-222.3
24,248.84,249.88,390.0,long,405.6,0.4174914937137474,97557.28000000001,sl,405.6
25,247.88,247.58,393.0,long,-117.9,-0.12085207787670997,97439.38000000002,sl,-117.9
26,243.14,241.62,400.0,long,-608.0,-0.623977697723446,96831.38000000002,sl,-608.0
27,243.02,242.4,399.0,short,-247.38,-0.2554750329903384,96584.00000000001,sl,-247.38
28,244.02,243.35,396.0,short,-265.32,-0.2747038847013998,96318.68000000001,sl,-265.32
29,242.5,243.87,394.0,short,539.78,0.5604105039645476,96858.46,sl,539.78
30,241.91,243.46,400.0,long,620.0,0.6401092893692507,97478.46,sl,620.0
31,242.58,242.65,401.0,short,28.07,0.02879610531393294,97506.53000000001,sl,28.07
32,238.37,239.15,409.0,long,319.02,0.327178087457322,97825.55000000002,sl,319.02
33,240.3,239.79,407.0,short,-207.57,-0.21218383132014076,97617.98000000001,sl,-207.57
34,238.0,237.56,410.0,long,-180.4,-0.18480202110307956,97437.58000000002,sl,-180.4
35,236.43,236.82,412.0,long,160.68,0.16490557339375625,97598.26000000001,sl,160.68
36,233.76,232.45,417.0,long,-546.27,-0.5597128473396964,97051.99,sl,-546.27
37,231.42,230.43,419.0,long,-414.81,-0.4274100922608593,96637.18000000001,sl,-414.81
38,231.2,231.56,417.0,long,150.12,0.1553439369816048,96787.3,sl,150.12
39,230.83,229.93,419.0,long,-377.1,-0.38961723283943245,96410.2,sl,-377.1
